wheat_date,wheat_time,wheat_open,wheat_high,wheat_low,wheat_close,wheat_volume
2022/2/1,0:00,762.500,762.500,762.250,762.500,70
2022/2/1,0:03,762.500,762.500,762.500,762.500,31
2022/2/1,0:04,762.500,762.500,762.500,762.500,68
2022/2/1,0:05,762.250,762.250,761.750,762.250,22
2022/2/1,0:06,762.500,762.500,762.250,762.250,3
2022/2/1,0:08,762.000,762.000,761.750,761.750,3
2022/2/1,0:09,762.000,762.250,762.000,762.250,3
2022/2/1,0:10,762.250,762.250,762.000,762.250,3
2022/2/1,0:11,762.500,763.000,762.500,762.500,10
2022/2/1,0:12,762.750,762.750,762.250,762.250,8
2022/2/1,0:14,762.000,762.000,761.500,761.500,28
2022/2/1,0:15,761.500,761.750,761.500,761.750,3
2022/2/1,0:16,761.750,761.750,761.750,761.750,7
2022/2/1,0:19,761.750,761.750,761.500,761.500,10
2022/2/1,0:21,761.500,761.500,761.500,761.500,1
2022/2/1,0:22,761.500,761.500,761.500,761.500,2
2022/2/1,0:25,761.750,761.750,761.750,761.750,3
2022/2/1,0:28,761.750,761.750,761.500,761.500,3
2022/2/1,0:29,761.500,761.500,761.500,761.500,2
2022/2/1,0:30,761.500,761.500,761.500,761.500,1
2022/2/1,0:32,761.750,761.750,761.750,761.750,3
2022/2/1,0:33,761.750,761.750,761.750,761.750,1
2022/2/1,0:34,762.000,762.000,762.000,762.000,1
2022/2/1,0:37,761.750,762.250,761.750,762.250,3
2022/2/1,0:38,761.750,762.500,761.750,762.250,72
2022/2/1,0:39,762.250,762.250,762.250,762.250,2
2022/2/1,0:40,762.250,762.250,761.500,761.500,21
2022/2/1,0:41,761.500,761.750,761.500,761.750,84
2022/2/1,0:42,762.000,762.000,762.000,762.000,5
2022/2/1,0:43,762.000,762.000,762.000,762.000,4
2022/2/1,0:45,762.000,762.250,762.000,762.250,8
2022/2/1,0:47,762.500,762.500,762.500,762.500,4
2022/2/1,0:48,762.750,762.750,762.500,762.500,21
2022/2/1,0:50,762.250,762.250,762.250,762.250,1
2022/2/1,0:52,762.500,762.500,762.500,762.500,1
2022/2/1,0:53,762.750,762.750,762.750,762.750,7
2022/2/1,0:54,762.750,762.750,762.750,762.750,1
2022/2/1,0:55,762.500,762.500,762.500,762.500,1
2022/2/1,0:57,762.750,762.750,762.750,762.750,18
2022/2/1,0:58,762.500,762.500,762.500,762.500,8
2022/2/1,0:59,762.500,762.750,762.500,762.750,13
2022/2/1,1:00,762.500,762.500,762.250,762.250,27
2022/2/1,1:01,762.000,762.500,762.000,762.500,39
2022/2/1,1:05,762.250,762.500,762.250,762.500,8
2022/2/1,1:06,762.500,762.500,762.500,762.500,2
2022/2/1,1:07,762.750,762.750,762.750,762.750,2
2022/2/1,1:08,763.000,763.250,763.000,763.250,16
2022/2/1,1:09,763.250,763.750,763.250,763.750,12
2022/2/1,1:10,763.500,763.750,763.500,763.750,4
2022/2/1,1:11,763.500,763.500,763.500,763.500,2
2022/2/1,1:12,763.750,763.750,763.500,763.500,6
2022/2/1,1:14,763.000,763.000,763.000,763.000,1
2022/2/1,1:16,763.000,763.000,763.000,763.000,2
2022/2/1,1:18,763.000,763.000,763.000,763.000,2
2022/2/1,1:19,763.000,763.000,763.000,763.000,1
2022/2/1,1:22,763.250,763.250,763.250,763.250,2
2022/2/1,1:23,763.250,763.250,763.000,763.000,4
2022/2/1,1:24,763.000,763.500,763.000,763.250,20
2022/2/1,1:26,763.500,763.500,763.500,763.500,2
2022/2/1,1:28,763.250,763.250,763.250,763.250,3
2022/2/1,1:29,763.500,763.500,763.500,763.500,3
2022/2/1,1:30,763.250,763.250,763.000,763.000,3
2022/2/1,1:31,763.000,763.000,763.000,763.000,5
2022/2/1,1:32,763.000,763.000,763.000,763.000,7
2022/2/1,1:33,762.750,762.750,762.750,762.750,6
2022/2/1,1:34,762.750,763.000,762.750,763.000,2
2022/2/1,1:35,762.750,762.750,762.750,762.750,1
2022/2/1,1:36,763.000,763.000,762.750,762.750,13
2022/2/1,1:38,763.000,763.250,763.000,763.250,31
2022/2/1,1:39,763.250,763.250,763.000,763.000,4
2022/2/1,1:40,763.250,763.250,763.250,763.250,2
2022/2/1,1:42,763.000,763.000,762.500,762.500,12
2022/2/1,1:43,762.500,762.750,762.500,762.750,10
2022/2/1,1:45,762.500,762.500,762.500,762.500,8
2022/2/1,1:46,762.750,762.750,762.750,762.750,2
2022/2/1,1:49,762.750,762.750,762.750,762.750,3
2022/2/1,1:50,762.750,763.000,762.750,763.000,2
2022/2/1,1:53,763.000,763.000,763.000,763.000,2
2022/2/1,1:55,763.250,763.250,762.750,762.750,44
2022/2/1,1:57,763.000,763.000,763.000,763.000,2
2022/2/1,1:59,762.750,762.750,762.750,762.750,1
2022/2/1,2:00,762.500,762.750,762.500,762.500,23
2022/2/1,2:01,762.750,762.750,762.500,762.750,8
2022/2/1,2:02,763.000,763.250,762.750,762.750,8
2022/2/1,2:03,763.000,763.000,763.000,763.000,1
2022/2/1,2:04,763.000,763.000,763.000,763.000,2
2022/2/1,2:05,763.250,763.250,763.250,763.250,1
2022/2/1,2:06,763.000,763.000,763.000,763.000,1
2022/2/1,2:07,763.250,763.250,763.250,763.250,7
2022/2/1,2:08,763.500,763.500,763.500,763.500,11
2022/2/1,2:09,763.500,763.750,763.500,763.750,14
2022/2/1,2:10,763.750,763.750,763.250,763.250,5
2022/2/1,2:11,763.750,763.750,763.500,763.500,12
2022/2/1,2:13,763.500,763.500,763.500,763.500,3
2022/2/1,2:14,763.500,763.750,763.500,763.750,7
2022/2/1,2:17,763.750,763.750,763.500,763.500,30
2022/2/1,2:19,763.500,765.500,763.500,765.500,161
2022/2/1,2:20,765.750,765.750,765.750,765.750,12
2022/2/1,2:21,765.750,766.250,765.750,766.250,19
2022/2/1,2:22,766.250,766.500,766.250,766.500,14
2022/2/1,2:23,766.250,766.500,765.500,765.750,11
2022/2/1,2:24,765.750,766.250,765.750,766.250,6
2022/2/1,2:25,766.000,766.250,766.000,766.250,10
2022/2/1,2:26,766.250,766.250,766.250,766.250,4
2022/2/1,2:27,766.000,766.000,765.500,765.750,12
2022/2/1,2:28,765.750,766.000,765.750,766.000,10
2022/2/1,2:29,765.750,765.750,765.750,765.750,3
2022/2/1,2:30,765.750,765.750,765.750,765.750,1
2022/2/1,2:31,766.000,766.000,766.000,766.000,7
2022/2/1,2:32,766.250,766.250,766.000,766.000,2
2022/2/1,2:33,766.000,766.500,766.000,766.500,26
2022/2/1,2:34,766.500,766.500,766.500,766.500,3
2022/2/1,2:35,766.250,766.250,766.250,766.250,20
2022/2/1,2:37,766.000,766.000,766.000,766.000,1
2022/2/1,2:38,766.000,766.000,766.000,766.000,1
2022/2/1,2:39,766.000,766.000,766.000,766.000,6
2022/2/1,2:40,766.000,766.250,766.000,766.250,7
2022/2/1,2:41,766.500,766.750,766.250,766.250,13
2022/2/1,2:42,766.250,766.250,766.250,766.250,1
2022/2/1,2:43,766.500,766.750,766.500,766.750,5
2022/2/1,2:44,766.500,766.500,766.500,766.500,1
2022/2/1,2:45,766.250,766.250,766.250,766.250,7
2022/2/1,2:46,766.250,766.250,766.000,766.000,7
2022/2/1,2:47,766.500,766.500,766.500,766.500,7
2022/2/1,2:48,766.500,766.500,766.500,766.500,3
2022/2/1,2:49,766.500,767.000,766.500,767.000,42
2022/2/1,2:50,767.000,767.000,766.750,766.750,16
2022/2/1,2:51,766.750,767.000,766.500,766.500,14
2022/2/1,2:52,766.500,767.000,766.500,767.000,13
2022/2/1,2:53,767.000,767.000,766.750,767.000,11
2022/2/1,2:54,767.000,767.000,767.000,767.000,1
2022/2/1,2:55,767.250,767.250,767.250,767.250,10
2022/2/1,2:57,767.500,767.500,767.250,767.250,47
2022/2/1,2:58,766.750,767.250,766.750,767.000,14
2022/2/1,3:00,766.750,766.750,766.500,766.500,9
2022/2/1,3:01,766.750,766.750,766.750,766.750,5
2022/2/1,3:02,766.750,766.750,766.750,766.750,14
2022/2/1,3:03,767.000,767.000,766.750,766.750,19
2022/2/1,3:05,766.500,766.500,765.000,765.250,96
2022/2/1,3:06,765.000,765.500,765.000,765.250,10
2022/2/1,3:07,765.500,765.500,765.250,765.250,7
2022/2/1,3:08,765.250,765.250,765.250,765.250,1
2022/2/1,3:10,765.000,765.000,765.000,765.000,5
2022/2/1,3:11,764.750,765.000,764.750,765.000,12
2022/2/1,3:14,765.000,765.250,765.000,765.250,10
2022/2/1,3:16,765.250,765.500,765.000,765.500,38
2022/2/1,3:18,765.500,765.500,765.500,765.500,1
2022/2/1,3:19,765.250,765.250,765.250,765.250,1
2022/2/1,3:20,765.500,765.750,765.500,765.500,5
2022/2/1,3:21,765.500,765.500,764.250,764.500,80
2022/2/1,3:22,764.500,764.500,764.500,764.500,4
2022/2/1,3:23,764.500,765.000,764.500,765.000,10
2022/2/1,3:24,765.000,765.000,764.500,764.750,9
2022/2/1,3:25,764.750,765.250,764.250,764.500,37
2022/2/1,3:26,764.250,764.750,764.250,764.750,2
2022/2/1,3:28,764.250,764.250,764.250,764.250,4
2022/2/1,3:29,764.500,764.500,764.500,764.500,9
2022/2/1,3:30,764.500,764.500,764.500,764.500,1
2022/2/1,3:31,764.500,765.000,764.500,765.000,18
2022/2/1,3:32,765.250,765.250,764.750,764.750,3
2022/2/1,3:33,764.500,764.500,763.250,763.750,64
2022/2/1,3:34,763.750,763.750,763.250,763.250,6
2022/2/1,3:35,763.500,763.500,763.250,763.500,9
2022/2/1,3:36,763.500,763.750,763.250,763.750,15
2022/2/1,3:37,764.000,764.000,763.250,763.750,41
2022/2/1,3:42,764.000,764.750,764.000,764.500,32
2022/2/1,3:43,764.750,764.750,764.250,764.250,12
2022/2/1,3:44,764.250,764.500,764.000,764.000,9
2022/2/1,3:45,764.250,764.750,764.250,764.750,12
2022/2/1,3:46,765.000,766.250,765.000,766.250,57
2022/2/1,3:47,766.250,767.000,766.250,766.750,93
2022/2/1,3:48,766.750,767.500,766.500,767.500,163
2022/2/1,3:49,767.250,768.000,767.250,767.250,97
2022/2/1,3:50,767.250,767.250,765.500,765.750,61
2022/2/1,3:51,765.250,765.250,765.250,765.250,6
2022/2/1,3:52,765.500,765.750,765.500,765.750,10
