corn_date,corn_time,corn_open,corn_high,corn_low,corn_close,corn_volume,predict
2018-01-03,00:00:00,353.75,353.75,353.75,353.75,55,0
2018-01-03,01:00:00,353.75,354.0,353.75,354.0,476,0
2018-01-03,02:00:00,354.0,354.5,353.75,354.75,2164,0
2018-01-03,03:00:00,354.5,354.25,354.25,354.75,632,0
2018-01-03,04:00:00,354.25,354.0,354.0,354.5,538,0
2018-01-03,05:00:00,354.0,354.25,353.75,354.5,499,0
2018-01-03,06:00:00,354.5,354.25,354.25,354.75,731,0
2018-01-03,07:00:00,354.5,353.75,353.5,354.5,1608,0
2018-01-03,08:00:00,354.0,353.0,352.5,354.5,17025,-1
2018-01-03,09:00:00,352.75,352.5,352.25,353.25,13752,-1
2018-01-03,10:00:00,352.25,353.0,352.25,353.25,14329,-1
2018-01-03,11:00:00,352.75,353.0,352.5,353.25,13032,0
2018-01-03,12:00:00,353.0,353.0,352.5,353.25,20535,0
2018-01-03,13:00:00,353.0,353.0,352.75,353.5,12605,0
2018-01-03,19:00:00,353.0,353.0,352.5,353.5,2931,-1
2018-01-03,20:00:00,353.0,352.75,352.5,353.0,443,-1
2018-01-03,21:00:00,353.0,353.0,352.75,353.0,230,-1
2018-01-03,22:00:00,353.0,353.0,352.75,353.0,51,0
2018-01-03,23:00:00,352.75,353.0,352.75,353.0,61,0
2018-01-04,00:00:00,352.75,353.25,352.75,353.25,82,0
2018-01-04,01:00:00,353.25,353.25,353.25,353.5,262,0
2018-01-04,02:00:00,353.5,353.25,353.0,353.5,749,0
2018-01-04,03:00:00,353.25,353.0,353.0,353.25,487,-1
2018-01-04,04:00:00,353.0,352.75,352.5,353.0,489,-1
2018-01-04,05:00:00,352.5,352.75,352.5,353.0,232,0
2018-01-04,06:00:00,352.75,352.25,352.25,352.75,767,0
2018-01-04,07:00:00,352.25,352.5,352.0,352.75,1682,0
2018-01-04,08:00:00,352.5,350.5,350.25,352.5,21728,0
2018-01-04,09:00:00,350.5,350.5,350.25,351.0,16732,-1
2018-01-04,10:00:00,350.75,351.5,350.5,352.0,25289,0
2018-01-04,11:00:00,351.5,351.5,351.25,352.0,17220,0
2018-01-04,12:00:00,351.75,351.5,350.75,351.75,12817,0
2018-01-04,13:00:00,351.5,351.0,351.0,351.75,13834,0
2018-01-04,19:00:00,350.75,351.0,350.5,351.0,1007,-1
2018-01-04,20:00:00,351.0,350.75,350.75,351.0,85,-1
2018-01-04,21:00:00,351.0,351.0,350.75,351.0,73,0
2018-01-04,22:00:00,350.75,351.0,350.75,351.0,22,0
2018-01-04,23:00:00,351.0,350.75,350.75,351.0,15,0
2018-01-05,00:00:00,350.75,350.75,350.75,351.0,138,-1
2018-01-05,01:00:00,350.75,351.0,350.75,351.0,47,-1
2018-01-05,02:00:00,351.0,350.75,350.75,351.0,479,-1
2018-01-05,03:00:00,351.0,351.25,350.75,351.5,502,0
2018-01-05,04:00:00,351.5,352.0,351.25,352.0,1200,0
2018-01-05,05:00:00,352.0,352.0,351.75,352.0,495,0
2018-01-05,06:00:00,352.0,352.0,352.0,352.25,1388,0
2018-01-05,07:00:00,352.0,350.75,350.5,352.25,3134,0
2018-01-05,08:00:00,350.75,350.75,350.25,351.5,13094,-1
2018-01-05,09:00:00,350.75,350.75,350.5,351.25,29015,-1
2018-01-05,10:00:00,351.0,350.75,350.5,351.0,23879,0
2018-01-05,11:00:00,351.0,351.0,350.75,351.5,13383,0
2018-01-05,12:00:00,350.75,351.25,350.75,351.25,11868,-1
2018-01-05,13:00:00,351.25,351.25,351.0,351.5,8577,-1
2018-01-07,19:00:00,350.75,351.25,350.5,351.25,2934,0
