mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_low,mini_dow_close,mini_dow_volume,predict
2018-01-02,17:00:00,24796.0,24785.0,24768.0,24796.0,1065,0
2018-01-02,18:00:00,24785.0,24797.0,24785.0,24807.0,1187,0
2018-01-02,19:00:00,24796.0,24792.0,24781.0,24801.0,1178,0
2018-01-02,20:00:00,24792.0,24802.0,24792.0,24806.0,538,0
2018-01-02,21:00:00,24803.0,24799.0,24796.0,24808.0,570,0
2018-01-02,22:00:00,24799.0,24807.0,24797.0,24813.0,415,0
2018-01-02,23:00:00,24807.0,24806.0,24803.0,24810.0,289,0
2018-01-03,00:00:00,24806.0,24802.0,24801.0,24810.0,389,0
2018-01-03,01:00:00,24802.0,24809.0,24802.0,24817.0,1256,0
2018-01-03,02:00:00,24809.0,24817.0,24806.0,24826.0,1269,0
2018-01-03,03:00:00,24816.0,24821.0,24815.0,24825.0,917,0
2018-01-03,04:00:00,24822.0,24819.0,24809.0,24824.0,1030,0
2018-01-03,05:00:00,24819.0,24811.0,24809.0,24822.0,1098,0
2018-01-03,06:00:00,24811.0,24816.0,24802.0,24820.0,1400,0
2018-01-03,07:00:00,24816.0,24820.0,24812.0,24830.0,1819,0
2018-01-03,08:00:00,24820.0,24849.0,24801.0,24853.0,14569,0
2018-01-03,09:00:00,24849.0,24841.0,24835.0,24879.0,16665,0
2018-01-03,10:00:00,24842.0,24831.0,24820.0,24852.0,8904,0
2018-01-03,11:00:00,24830.0,24863.0,24828.0,24870.0,8117,0
2018-01-03,12:00:00,24864.0,24832.0,24830.0,24875.0,5237,0
2018-01-03,13:00:00,24832.0,24856.0,24830.0,24862.0,7491,0
2018-01-03,14:00:00,24856.0,24893.0,24852.0,24908.0,12232,0
2018-01-03,15:00:00,24894.0,24875.0,24860.0,24896.0,5400,0
2018-01-03,16:00:00,24875.0,24879.0,24873.0,24880.0,167,0
2018-01-03,17:00:00,24884.0,24887.0,24879.0,24891.0,1465,0
2018-01-03,18:00:00,24888.0,24887.0,24884.0,24903.0,1535,0
2018-01-03,19:00:00,24888.0,24887.0,24878.0,24893.0,963,0
2018-01-03,20:00:00,24886.0,24899.0,24883.0,24902.0,584,0
2018-01-03,21:00:00,24900.0,24920.0,24900.0,24928.0,1612,0
2018-01-03,22:00:00,24920.0,24926.0,24920.0,24932.0,829,0
2018-01-03,23:00:00,24926.0,24942.0,24924.0,24949.0,2080,0
