mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_low,mini_dow_close,mini_dow_volume,predict
2018-01-02,14:00:00,24758.0,24778.0,24754.0,24780.0,2818,0
2018-01-02,14:30:00,24780.0,24791.0,24759.0,24792.0,6239,0
2018-01-02,15:00:00,24791.0,24768.0,24763.0,24801.0,4846,0
2018-01-02,15:30:00,24770.0,24787.0,24770.0,24787.0,495,0
2018-01-02,16:00:00,24785.0,24789.0,24782.0,24789.0,96,0
2018-01-02,17:00:00,24796.0,24778.0,24768.0,24796.0,650,0
2018-01-02,17:30:00,24777.0,24785.0,24770.0,24786.0,415,0
2018-01-02,18:00:00,24785.0,24796.0,24785.0,24797.0,446,0
2018-01-02,18:30:00,24796.0,24797.0,24790.0,24807.0,741,0
2018-01-02,19:00:00,24796.0,24797.0,24791.0,24797.0,364,0
2018-01-02,19:30:00,24797.0,24792.0,24781.0,24801.0,814,0
2018-01-02,20:00:00,24792.0,24805.0,24792.0,24806.0,345,0
2018-01-02,20:30:00,24804.0,24802.0,24801.0,24805.0,193,0
2018-01-02,21:00:00,24803.0,24805.0,24797.0,24808.0,411,0
2018-01-02,21:30:00,24805.0,24799.0,24796.0,24805.0,159,0
2018-01-02,22:00:00,24799.0,24802.0,24797.0,24804.0,128,0
2018-01-02,22:30:00,24802.0,24807.0,24802.0,24813.0,287,0
2018-01-02,23:00:00,24807.0,24808.0,24804.0,24810.0,130,0
2018-01-02,23:30:00,24807.0,24806.0,24803.0,24808.0,159,0
2018-01-03,00:00:00,24806.0,24805.0,24805.0,24810.0,182,0
2018-01-03,00:30:00,24805.0,24802.0,24801.0,24808.0,207,0
2018-01-03,01:00:00,24802.0,24811.0,24802.0,24814.0,378,0
2018-01-03,01:30:00,24813.0,24809.0,24802.0,24817.0,878,0
2018-01-03,02:00:00,24809.0,24821.0,24806.0,24822.0,771,0
2018-01-03,02:30:00,24822.0,24817.0,24816.0,24826.0,498,0
2018-01-03,03:00:00,24816.0,24820.0,24816.0,24825.0,418,0
2018-01-03,03:30:00,24821.0,24821.0,24815.0,24822.0,499,0
2018-01-03,04:00:00,24822.0,24819.0,24809.0,24823.0,581,0
2018-01-03,04:30:00,24819.0,24819.0,24812.0,24824.0,449,0
2018-01-03,05:00:00,24819.0,24815.0,24814.0,24822.0,613,0
2018-01-03,05:30:00,24816.0,24811.0,24809.0,24817.0,485,0
2018-01-03,06:00:00,24811.0,24806.0,24802.0,24812.0,534,0
2018-01-03,06:30:00,24806.0,24816.0,24804.0,24820.0,866,0
2018-01-03,07:00:00,24816.0,24816.0,24812.0,24821.0,705,0
2018-01-03,07:30:00,24817.0,24820.0,24816.0,24830.0,1114,0
2018-01-03,08:00:00,24820.0,24818.0,24818.0,24826.0,1263,0
2018-01-03,08:30:00,24818.0,24849.0,24801.0,24853.0,13306,0
2018-01-03,09:00:00,24849.0,24866.0,24836.0,24870.0,8718,0
2018-01-03,09:30:00,24866.0,24841.0,24835.0,24879.0,7947,0
2018-01-03,10:00:00,24842.0,24848.0,24838.0,24852.0,3522,0
2018-01-03,10:30:00,24848.0,24831.0,24820.0,24850.0,5382,0
2018-01-03,11:00:00,24830.0,24841.0,24828.0,24850.0,3309,0
2018-01-03,11:30:00,24841.0,24863.0,24838.0,24870.0,4808,0
2018-01-03,12:00:00,24864.0,24860.0,24860.0,24875.0,2268,0
2018-01-03,12:30:00,24859.0,24832.0,24830.0,24860.0,2969,0
2018-01-03,13:00:00,24832.0,24844.0,24830.0,24854.0,4271,0
2018-01-03,13:30:00,24845.0,24856.0,24841.0,24862.0,3220,0
2018-01-03,14:00:00,24856.0,24862.0,24852.0,24867.0,2688,0
2018-01-03,14:30:00,24862.0,24893.0,24857.0,24908.0,9544,0
2018-01-03,15:00:00,24894.0,24878.0,24871.0,24896.0,4281,0
2018-01-03,15:30:00,24878.0,24875.0,24860.0,24887.0,1119,0
2018-01-03,16:00:00,24875.0,24879.0,24873.0,24880.0,167,0
2018-01-03,17:00:00,24884.0,24883.0,24880.0,24891.0,898,0
2018-01-03,17:30:00,24884.0,24887.0,24879.0,24890.0,567,0
2018-01-03,18:00:00,24888.0,24888.0,24886.0,24903.0,1216,0
2018-01-03,18:30:00,24888.0,24887.0,24884.0,24892.0,319,0
2018-01-03,19:00:00,24888.0,24888.0,24878.0,24893.0,610,0
2018-01-03,19:30:00,24889.0,24887.0,24881.0,24892.0,353,0
2018-01-03,20:00:00,24886.0,24892.0,24883.0,24892.0,217,0
2018-01-03,20:30:00,24892.0,24899.0,24890.0,24902.0,367,0
2018-01-03,21:00:00,24900.0,24906.0,24900.0,24917.0,710,0
2018-01-03,21:30:00,24905.0,24920.0,24904.0,24928.0,902,0
2018-01-03,22:00:00,24920.0,24929.0,24920.0,24932.0,550,0
2018-01-03,22:30:00,24929.0,24926.0,24924.0,24930.0,279,0
2018-01-03,23:00:00,24926.0,24935.0,24924.0,24945.0,1446,0
2018-01-03,23:30:00,24935.0,24942.0,24934.0,24949.0,634,0
2018-01-04,00:00:00,24942.0,24934.0,24932.0,24943.0,578,0
