mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_low,mini_nasdaq_close,mini_nasdaq_volume,predict
2018-01-02,17:00:00,6513.25,6516.5,6511.25,6516.75,1524,0
2018-01-02,18:00:00,6516.5,6519.5,6516.25,6522.25,1326,0
2018-01-02,19:00:00,6519.5,6520.0,6516.25,6520.5,987,0
2018-01-02,20:00:00,6520.25,6522.25,6519.75,6525.0,1128,0
2018-01-02,21:00:00,6522.5,6521.75,6520.75,6523.5,580,0
2018-01-02,22:00:00,6522.0,6521.0,6520.75,6522.25,224,0
2018-01-02,23:00:00,6521.0,6521.75,6520.25,6522.75,407,0
2018-01-03,00:00:00,6521.5,6522.0,6519.0,6522.75,510,0
2018-01-03,01:00:00,6521.5,6524.25,6521.5,6524.75,1101,0
2018-01-03,02:00:00,6524.25,6527.75,6522.75,6528.5,2279,0
2018-01-03,03:00:00,6528.0,6528.75,6525.5,6531.5,2370,0
2018-01-03,04:00:00,6528.75,6528.75,6525.75,6529.75,1524,0
2018-01-03,05:00:00,6528.5,6527.5,6526.75,6530.0,1261,0
2018-01-03,06:00:00,6527.25,6525.5,6522.5,6527.75,1877,0
2018-01-03,07:00:00,6525.5,6521.0,6520.75,6526.75,2995,0
2018-01-03,08:00:00,6521.0,6557.5,6520.25,6559.0,42809,0
2018-01-03,09:00:00,6557.75,6569.75,6557.0,6573.75,42457,0
2018-01-03,10:00:00,6569.75,6572.0,6565.5,6577.75,21438,0
2018-01-03,11:00:00,6572.0,6584.0,6571.25,6589.0,16568,0
2018-01-03,12:00:00,6583.75,6572.5,6572.0,6587.0,14000,0
2018-01-03,13:00:00,6572.25,6581.0,6570.25,6585.5,22476,0
2018-01-03,14:00:00,6580.75,6583.5,6577.0,6591.25,28156,0
2018-01-03,15:00:00,6583.25,6582.25,6579.0,6588.5,12974,0
2018-01-03,16:00:00,6582.75,6583.75,6582.5,6583.75,54,0
2018-01-03,17:00:00,6583.75,6583.75,6580.0,6586.0,1443,0
2018-01-03,18:00:00,6583.75,6586.25,6583.75,6592.75,2338,0
2018-01-03,19:00:00,6586.75,6582.75,6580.75,6587.5,1389,0
2018-01-03,20:00:00,6583.25,6586.5,6580.75,6587.75,695,0
2018-01-03,21:00:00,6587.0,6590.5,6586.75,6592.25,1252,0
2018-01-03,22:00:00,6590.75,6592.25,6590.75,6594.75,896,0
2018-01-03,23:00:00,6592.25,6597.75,6591.75,6599.0,1572,0
2018-01-04,00:00:00,6597.75,6597.5,6594.5,6598.75,1106,0
2018-01-04,01:00:00,6597.25,6596.75,6595.25,6598.5,1354,0
2018-01-04,02:00:00,6596.5,6597.75,6595.75,6601.75,2357,0
2018-01-04,03:00:00,6597.5,6600.5,6596.5,6602.0,1558,0
2018-01-04,04:00:00,6600.5,6594.75,6593.75,6601.25,1641,0
2018-01-04,05:00:00,6594.75,6597.5,6592.75,6598.5,2115,0
2018-01-04,06:00:00,6597.75,6601.0,6597.25,6605.5,3108,0
2018-01-04,07:00:00,6601.25,6612.25,6601.25,6617.5,9508,0
2018-01-04,08:00:00,6612.25,6597.25,6586.5,6616.0,61874,0
2018-01-04,09:00:00,6597.25,6603.75,6592.25,6613.5,42663,0
2018-01-04,10:00:00,6604.0,6597.0,6591.5,6606.0,29580,0
2018-01-04,11:00:00,6597.0,6595.25,6593.25,6606.25,19454,0
2018-01-04,12:00:00,6595.25,6595.5,6588.0,6597.75,17267,0
2018-01-04,13:00:00,6595.5,6597.75,6591.5,6601.5,15681,0
2018-01-04,14:00:00,6597.5,6597.0,6593.25,6602.75,21569,0
2018-01-04,15:00:00,6597.25,6606.25,6593.75,6608.0,11043,0
