mini_russell_date,mini_russell_time,mini_russell_open,mini_russell_high,mini_russell_low,mini_russell_close,mini_russell_volume,predict
2018-07-16,23:00:00,1684.3,1684.7,1684.3,1685.1,76,1
2018-07-17,00:00:00,1684.7,1682.2,1681.8,1684.7,234,1
2018-07-17,01:00:00,1682.2,1681.9,1681.3,1683.4,331,0
2018-07-17,02:00:00,1681.8,1683.3,1680.3,1683.6,575,1
2018-07-17,03:00:00,1683.3,1683.7,1683.1,1684.8,643,1
2018-07-17,04:00:00,1683.8,1684.1,1683.3,1684.5,388,1
2018-07-17,05:00:00,1684.0,1682.5,1681.4,1684.3,693,1
2018-07-17,06:00:00,1682.6,1684.2,1682.3,1684.8,939,1
2018-07-17,07:00:00,1684.1,1683.7,1683.0,1686.7,2201,1
2018-07-17,08:00:00,1683.7,1688.0,1680.9,1690.6,14942,1
2018-07-17,09:00:00,1687.9,1691.8,1687.9,1695.3,16071,1
2018-07-17,10:00:00,1691.8,1689.7,1688.1,1692.1,13308,1
2018-07-17,11:00:00,1689.7,1690.8,1688.1,1691.7,9108,1
2018-07-17,12:00:00,1690.9,1692.2,1690.8,1694.2,7763,1
2018-07-17,13:00:00,1692.0,1690.2,1689.9,1693.0,5653,1
2018-07-17,14:00:00,1690.2,1690.3,1688.7,1693.0,14044,1
2018-07-17,15:00:00,1690.2,1690.8,1688.7,1691.7,9232,0
2018-07-17,16:00:00,1690.9,1691.1,1690.2,1691.1,10,0
2018-07-17,17:00:00,1691.4,1691.4,1691.0,1692.7,201,1
2018-07-17,18:00:00,1691.1,1691.4,1690.6,1691.7,152,1
2018-07-17,19:00:00,1691.3,1692.0,1691.1,1692.6,124,1
2018-07-17,20:00:00,1692.3,1691.6,1691.3,1692.6,285,1
2018-07-17,21:00:00,1691.5,1692.0,1691.0,1692.3,122,1
2018-07-17,22:00:00,1692.0,1691.5,1691.2,1692.0,89,0
2018-07-17,23:00:00,1691.5,1691.2,1690.4,1691.5,91,0
2018-07-18,00:00:00,1691.1,1690.3,1689.8,1691.1,76,0
2018-07-18,01:00:00,1690.2,1690.7,1689.7,1691.1,201,0
2018-07-18,02:00:00,1690.8,1690.3,1689.4,1691.2,455,1
2018-07-18,03:00:00,1690.2,1689.5,1688.2,1690.2,586,0
2018-07-18,04:00:00,1689.6,1690.2,1689.3,1690.5,239,0
2018-07-18,05:00:00,1689.9,1689.0,1688.3,1690.1,203,0
2018-07-18,06:00:00,1689.1,1687.9,1687.7,1689.6,513,0
2018-07-18,07:00:00,1687.8,1686.8,1685.7,1688.1,1515,0
2018-07-18,08:00:00,1686.8,1685.4,1683.7,1689.7,12747,1
2018-07-18,09:00:00,1685.5,1684.0,1680.1,1686.4,16860,0
2018-07-18,10:00:00,1684.0,1691.1,1683.5,1691.3,11590,1
2018-07-18,11:00:00,1691.1,1689.9,1688.7,1691.7,7259,1
2018-07-18,12:00:00,1690.0,1687.1,1685.4,1690.6,4916,1
2018-07-18,13:00:00,1687.1,1692.7,1687.0,1693.4,5297,1
2018-07-18,14:00:00,1692.8,1694.7,1692.1,1695.2,7907,1
2018-07-18,15:00:00,1694.6,1694.0,1693.2,1694.9,7311,1
2018-07-18,16:00:00,1694.0,1694.1,1693.0,1694.2,103,1
2018-07-18,17:00:00,1694.7,1694.4,1693.4,1694.7,102,1
2018-07-18,18:00:00,1694.6,1694.8,1694.5,1695.1,100,1
2018-07-18,19:00:00,1694.7,1695.8,1694.1,1696.9,723,1
2018-07-18,20:00:00,1695.8,1696.6,1695.5,1696.9,236,1
2018-07-18,21:00:00,1696.6,1696.2,1695.8,1696.8,145,1
2018-07-18,22:00:00,1696.2,1695.4,1695.1,1696.3,109,1
2018-07-18,23:00:00,1695.1,1694.7,1694.4,1695.1,84,0
2018-07-19,00:00:00,1694.8,1694.3,1694.2,1695.3,160,0
2018-07-19,01:00:00,1694.3,1693.9,1692.6,1694.5,455,0
2018-07-19,02:00:00,1693.8,1691.8,1691.7,1694.4,815,0
2018-07-19,03:00:00,1691.7,1692.7,1690.8,1693.2,828,0
2018-07-19,04:00:00,1692.2,1691.1,1690.9,1692.9,479,0
2018-07-19,05:00:00,1691.1,1690.1,1688.8,1691.2,820,0
2018-07-19,06:00:00,1690.2,1688.8,1688.8,1690.7,665,0
2018-07-19,07:00:00,1688.9,1688.7,1687.7,1689.0,1726,0
2018-07-19,08:00:00,1688.7,1690.0,1687.0,1693.9,14748,1
2018-07-19,09:00:00,1690.0,1699.3,1690.0,1700.5,15047,1
2018-07-19,10:00:00,1699.3,1702.7,1698.6,1703.1,10979,1
2018-07-19,11:00:00,1702.6,1701.0,1700.0,1704.1,6787,1
2018-07-19,12:00:00,1701.1,1705.6,1699.0,1706.0,9371,1
2018-07-19,13:00:00,1705.6,1705.6,1704.3,1707.2,8249,1
2018-07-19,14:00:00,1705.6,1704.7,1702.4,1706.6,19116,1
2018-07-19,15:00:00,1704.7,1705.2,1703.6,1706.5,11100,1
2018-07-19,16:00:00,1705.2,1704.7,1704.7,1705.3,61,1
2018-07-19,17:00:00,1704.3,1704.6,1703.5,1705.6,416,1
2018-07-19,18:00:00,1704.4,1704.8,1704.4,1705.9,139,1
2018-07-19,19:00:00,1704.9,1706.9,1704.8,1707.0,274,1
2018-07-19,20:00:00,1706.9,1699.1,1697.8,1707.5,1546,1
2018-07-19,21:00:00,1699.1,1701.3,1698.2,1702.7,299,0
2018-07-19,22:00:00,1700.9,1701.9,1700.3,1702.2,63,0
2018-07-19,23:00:00,1702.1,1702.2,1701.8,1702.5,63,0
2018-07-20,00:00:00,1701.9,1704.5,1701.9,1704.7,300,1
2018-07-20,01:00:00,1704.4,1702.9,1702.0,1704.7,474,1
2018-07-20,02:00:00,1702.9,1704.7,1702.2,1705.0,627,1
2018-07-20,03:00:00,1704.8,1703.9,1703.9,1705.4,532,1
2018-07-20,04:00:00,1703.8,1706.1,1703.6,1706.2,933,1
2018-07-20,05:00:00,1706.1,1703.2,1700.1,1706.1,2453,1
2018-07-20,06:00:00,1703.1,1704.9,1702.9,1705.3,805,1
2018-07-20,07:00:00,1704.8,1703.8,1703.2,1705.6,3149,1
2018-07-20,08:00:00,1703.8,1705.9,1701.4,1706.1,19261,1
2018-07-20,09:00:00,1705.9,1699.2,1698.5,1707.3,15958,1
2018-07-20,10:00:00,1699.2,1703.5,1698.1,1704.9,8323,0
2018-07-20,11:00:00,1703.6,1706.3,1702.9,1707.6,5156,1
2018-07-20,12:00:00,1706.3,1705.1,1704.5,1707.0,3977,1
2018-07-20,13:00:00,1705.2,1702.4,1700.6,1706.0,5807,0
2018-07-20,14:00:00,1702.5,1700.0,1697.5,1703.4,20569,0
2018-07-20,15:00:00,1700.1,1699.4,1698.3,1700.6,8243,0
2018-07-20,16:00:00,1698.9,1699.0,1698.7,1699.6,23,0
2018-07-22,17:00:00,1699.7,1699.8,1699.1,1701.4,197,1
2018-07-22,18:00:00,1699.8,1699.1,1698.9,1699.9,51,1
2018-07-22,19:00:00,1698.9,1696.5,1696.2,1699.5,306,0
2018-07-22,20:00:00,1696.5,1695.2,1694.1,1696.6,442,0
2018-07-22,21:00:00,1695.0,1694.9,1693.1,1695.6,277,0
2018-07-22,22:00:00,1694.8,1695.1,1693.9,1695.1,173,0
2018-07-22,23:00:00,1695.4,1695.7,1694.4,1695.8,58,1
2018-07-23,00:00:00,1696.0,1696.7,1696.0,1696.9,128,1
2018-07-23,01:00:00,1696.5,1696.3,1696.1,1697.6,381,1
2018-07-23,02:00:00,1696.4,1694.9,1693.9,1696.6,1163,0
2018-07-23,03:00:00,1695.0,1696.2,1694.5,1696.9,482,1
2018-07-23,04:00:00,1696.2,1696.4,1695.5,1697.1,531,1
2018-07-23,05:00:00,1696.2,1694.2,1693.8,1697.0,564,1
2018-07-23,06:00:00,1694.2,1696.1,1694.2,1696.4,574,0
2018-07-23,07:00:00,1696.3,1696.4,1695.5,1697.2,1090,1
