mini_sp_date,mini_sp_time,mini_sp_open,mini_sp_high,mini_sp_low,mini_sp_close,mini_sp_volume,predict
2018-01-02,17:00:00,2693.75,2693.75,2692.25,2694.25,7381,0
2018-01-02,18:00:00,2693.5,2694.75,2693.5,2695.75,5592,0
2018-01-02,19:00:00,2694.75,2695.0,2694.25,2695.25,4386,0
2018-01-02,20:00:00,2695.0,2696.0,2695.0,2696.75,3894,0
2018-01-02,21:00:00,2696.25,2696.0,2695.5,2696.75,2687,0
2018-01-02,22:00:00,2696.0,2696.25,2695.5,2696.5,1922,0
2018-01-02,23:00:00,2696.0,2696.5,2696.0,2697.0,1424,0
2018-01-03,00:00:00,2696.5,2696.0,2695.75,2696.75,1081,0
2018-01-03,01:00:00,2696.0,2696.5,2695.75,2697.0,4164,0
2018-01-03,02:00:00,2696.5,2697.5,2696.25,2698.0,13805,0
2018-01-03,03:00:00,2697.75,2697.25,2696.75,2698.0,9977,0
2018-01-03,04:00:00,2697.25,2698.25,2697.0,2698.5,12974,0
2018-01-03,05:00:00,2698.25,2697.0,2697.0,2698.75,7090,0
2018-01-03,06:00:00,2697.0,2696.75,2695.75,2697.5,10700,0
2018-01-03,07:00:00,2696.75,2696.75,2695.75,2697.75,12909,0
2018-01-03,08:00:00,2696.5,2703.25,2696.25,2703.75,148518,0
2018-01-03,09:00:00,2703.5,2705.75,2703.0,2708.5,180317,0
2018-01-03,10:00:00,2705.75,2706.5,2705.25,2707.75,85636,0
2018-01-03,11:00:00,2706.5,2710.5,2706.0,2712.5,97849,0
2018-01-03,12:00:00,2710.5,2708.0,2707.5,2711.5,70383,0
2018-01-03,13:00:00,2708.0,2710.25,2707.5,2711.5,105829,0
2018-01-03,14:00:00,2710.25,2712.5,2709.75,2714.25,129495,0
2018-01-03,15:00:00,2712.75,2709.25,2708.25,2713.0,161013,0
2018-01-03,16:00:00,2709.0,2709.25,2709.0,2709.5,441,-1
2018-01-03,17:00:00,2710.25,2710.0,2709.0,2710.5,6813,0
2018-01-03,18:00:00,2710.0,2710.0,2709.5,2712.25,9403,0
2018-01-03,19:00:00,2710.0,2709.25,2708.5,2710.5,6480,0
2018-01-03,20:00:00,2709.25,2710.5,2709.0,2711.0,2841,0
2018-01-03,21:00:00,2710.75,2712.0,2710.5,2712.75,5258,0
2018-01-03,22:00:00,2712.0,2712.0,2711.75,2713.0,3026,0
2018-01-03,23:00:00,2712.0,2713.75,2712.0,2714.25,6259,0
2018-01-04,00:00:00,2713.75,2712.75,2712.5,2714.0,3287,0
2018-01-04,01:00:00,2712.75,2712.5,2712.25,2713.5,5272,0
2018-01-04,02:00:00,2712.5,2713.5,2712.5,2714.25,13992,0
2018-01-04,03:00:00,2713.5,2715.5,2713.25,2716.0,11344,0
2018-01-04,04:00:00,2715.5,2713.25,2713.25,2715.5,14769,0
2018-01-04,05:00:00,2713.25,2715.25,2713.0,2715.25,10988,0
2018-01-04,06:00:00,2715.25,2715.25,2714.75,2717.25,13437,0
2018-01-04,07:00:00,2715.5,2718.0,2715.5,2719.0,26250,0
2018-01-04,08:00:00,2718.0,2725.0,2717.75,2726.0,202705,0
2018-01-04,09:00:00,2725.0,2725.75,2723.75,2729.0,198142,0
2018-01-04,10:00:00,2725.5,2723.5,2721.5,2726.5,132629,0
2018-01-04,11:00:00,2723.5,2725.5,2722.75,2726.5,90399,0
2018-01-04,12:00:00,2725.5,2726.75,2724.5,2727.0,68651,0
2018-01-04,13:00:00,2726.75,2726.5,2725.0,2728.0,67814,0
2018-01-04,14:00:00,2726.5,2724.0,2723.0,2727.0,137452,0
2018-01-04,15:00:00,2723.75,2724.75,2722.25,2725.75,100246,0
2018-01-04,16:00:00,2724.75,2725.0,2724.75,2725.0,490,0
2018-01-04,17:00:00,2725.0,2725.5,2724.75,2726.5,6959,0
2018-01-04,18:00:00,2725.5,2725.5,2725.0,2726.0,3701,0
2018-01-04,19:00:00,2725.5,2724.75,2724.5,2726.0,4489,0
2018-01-04,20:00:00,2724.75,2725.25,2723.75,2725.5,3985,0
2018-01-04,21:00:00,2725.25,2725.5,2724.75,2725.75,1610,0
2018-01-04,22:00:00,2725.5,2726.25,2725.25,2726.25,1975,0
2018-01-04,23:00:00,2726.25,2726.25,2726.0,2726.5,2451,0
2018-01-05,00:00:00,2726.25,2726.0,2726.0,2726.75,2456,0
