soybean_date,soybean_time,soybean_open,soybean_high,soybean_low,soybean_close,soybean_volume,predict
2018-01-02,23:00:00,966.0,967.25,965.75,967.25,510,0
2018-01-03,00:00:00,967.25,966.5,966.5,967.5,581,0
2018-01-03,01:00:00,966.5,967.0,966.5,967.25,173,0
2018-01-03,02:00:00,967.0,967.0,967.0,967.5,442,0
2018-01-03,03:00:00,967.25,965.25,963.5,967.25,1553,0
2018-01-03,04:00:00,965.25,965.25,964.75,966.0,424,-1
2018-01-03,05:00:00,965.25,966.75,964.75,966.75,602,0
2018-01-03,06:00:00,966.25,968.25,965.75,968.25,1803,0
2018-01-03,07:00:00,968.25,969.5,968.25,970.0,2755,0
2018-01-03,08:00:00,969.5,966.5,965.0,969.75,6760,0
2018-01-03,09:00:00,966.5,966.0,965.5,967.5,7337,-1
2018-01-03,10:00:00,966.0,968.5,965.75,968.5,5026,0
2018-01-03,11:00:00,968.25,967.5,967.25,969.0,4798,0
2018-01-03,12:00:00,967.5,969.0,967.5,969.0,3375,0
2018-01-03,13:00:00,969.0,969.0,968.25,969.5,4410,0
2018-01-03,19:00:00,968.5,967.75,967.0,968.5,1192,-1
2018-01-03,20:00:00,967.5,968.0,967.0,968.25,440,-1
2018-01-03,21:00:00,968.0,967.5,967.25,968.25,214,0
2018-01-03,22:00:00,967.5,967.25,967.0,967.75,173,-1
2018-01-03,23:00:00,967.0,967.75,967.0,967.75,290,0
2018-01-04,00:00:00,967.75,967.75,967.25,967.75,276,0
2018-01-04,01:00:00,967.5,968.25,967.5,968.5,299,0
2018-01-04,02:00:00,968.5,967.0,966.5,968.5,626,0
2018-01-04,03:00:00,966.75,967.25,966.75,967.75,446,-1
2018-01-04,04:00:00,967.5,966.5,966.5,967.75,583,-1
2018-01-04,05:00:00,966.75,966.0,966.0,966.75,847,-1
2018-01-04,06:00:00,966.25,966.5,965.5,966.5,667,-1
2018-01-04,07:00:00,966.25,965.5,965.25,967.25,2311,0
2018-01-04,08:00:00,965.75,960.25,960.0,966.0,15903,-1
2018-01-04,09:00:00,960.25,960.0,959.25,960.75,10234,-1
2018-01-04,10:00:00,960.0,965.0,959.75,965.0,11557,0
2018-01-04,11:00:00,964.75,967.0,963.75,969.0,13885,0
2018-01-04,12:00:00,967.0,966.5,965.5,967.75,6215,0
2018-01-04,13:00:00,966.5,967.25,966.5,968.0,5418,0
2018-01-04,19:00:00,968.0,969.25,967.5,969.75,2764,0
2018-01-04,20:00:00,969.25,970.75,969.0,970.75,1323,0
2018-01-04,21:00:00,970.75,970.5,970.25,972.0,1112,0
2018-01-04,22:00:00,970.5,970.0,970.0,970.5,117,0
2018-01-04,23:00:00,970.25,970.5,969.75,971.0,796,0
2018-01-05,00:00:00,970.75,970.75,970.0,971.0,703,0
2018-01-05,01:00:00,970.75,970.25,970.25,971.25,321,0
2018-01-05,02:00:00,970.5,971.0,970.0,971.5,590,0
2018-01-05,03:00:00,971.0,971.0,970.75,971.75,914,0
2018-01-05,04:00:00,971.25,975.25,970.75,977.0,5619,0
2018-01-05,05:00:00,975.25,974.5,974.25,975.75,651,0
2018-01-05,06:00:00,974.5,973.5,973.5,974.75,988,0
2018-01-05,07:00:00,973.25,970.5,969.75,973.5,3328,-1
2018-01-05,08:00:00,970.5,973.25,968.75,973.75,12297,0
2018-01-05,09:00:00,973.25,972.25,971.25,974.5,8772,0
2018-01-05,10:00:00,972.25,971.75,969.5,972.75,6930,0
2018-01-05,11:00:00,971.5,970.25,970.0,971.75,4021,-1
2018-01-05,12:00:00,970.25,970.75,969.25,971.25,3902,-1
2018-01-05,13:00:00,970.75,969.75,969.5,971.0,4734,-1
2018-01-07,19:00:00,969.75,970.75,968.75,971.25,3220,0
2018-01-07,20:00:00,970.75,970.0,969.5,971.5,1163,0
2018-01-07,21:00:00,970.0,970.25,969.5,970.5,389,-1
2018-01-07,22:00:00,970.5,970.0,970.0,971.0,563,0
2018-01-07,23:00:00,970.0,966.5,965.75,970.0,1271,-1
2018-01-08,00:00:00,966.5,966.25,965.5,967.25,706,-1
2018-01-08,01:00:00,966.25,966.5,965.75,966.5,396,-1
2018-01-08,02:00:00,966.5,966.25,966.0,967.25,426,0
2018-01-08,03:00:00,966.25,967.5,966.25,968.25,827,0
2018-01-08,04:00:00,967.5,968.0,967.5,968.5,573,0
2018-01-08,05:00:00,968.0,968.25,968.0,969.0,582,0
2018-01-08,06:00:00,968.25,969.75,968.25,969.75,1018,0
2018-01-08,07:00:00,969.5,967.75,967.25,969.75,1672,0
2018-01-08,08:00:00,968.75,970.0,967.0,971.0,9713,0
2018-01-08,09:00:00,969.75,961.5,961.25,969.75,20800,0
2018-01-08,10:00:00,961.5,962.75,960.5,963.25,8164,-1
2018-01-08,11:00:00,963.0,963.0,961.75,963.75,5413,-1
2018-01-08,12:00:00,963.25,964.75,963.0,964.75,4597,0
2018-01-08,13:00:00,964.75,967.0,964.5,967.5,7214,0
2018-01-08,19:00:00,966.75,966.25,964.0,967.5,2634,0
2018-01-08,20:00:00,966.25,967.25,966.25,967.75,954,0
2018-01-08,21:00:00,967.25,967.5,967.25,967.5,170,0
2018-01-08,22:00:00,967.75,967.5,967.5,968.5,251,0
2018-01-08,23:00:00,967.5,967.5,967.25,968.0,322,0
2018-01-09,00:00:00,967.5,966.25,966.0,967.5,487,0
