tx_date,tx_time,tx_open,tx_high,tx_low,tx_close,tx_volume,predict
2017-12-29,11:00:00,440.7,441.25,440.35,441.5,374,0
2017-12-29,12:00:00,441.25,440.85,440.5,441.35,280,0
2017-12-29,13:00:00,440.8,441.2,439.6,441.3,801,0
2018-01-02,08:00:00,440.4,441.0,440.35,441.2,355,0
2018-01-02,09:00:00,441.0,442.35,440.95,442.65,1199,0
2018-01-02,10:00:00,442.3,443.95,441.85,444.45,873,0
2018-01-02,11:00:00,443.95,443.85,443.5,444.3,351,0
2018-01-02,12:00:00,443.85,443.65,443.25,444.1,255,0
2018-01-02,13:00:00,443.65,445.2,443.65,445.2,402,0
2018-01-03,08:00:00,448.05,448.5,446.8,448.5,420,0
2018-01-03,09:00:00,448.4,449.5,447.75,450.35,1630,0
2018-01-03,10:00:00,449.5,449.15,449.05,450.15,479,0
2018-01-03,11:00:00,449.25,449.8,448.85,450.25,289,0
2018-01-03,12:00:00,449.8,449.65,449.4,450.45,371,0
2018-01-03,13:00:00,449.65,449.75,449.45,449.95,378,0
2018-01-04,08:00:00,452.2,451.4,451.05,452.3,341,0
2018-01-04,09:00:00,451.35,450.1,448.9,452.15,1495,0
2018-01-04,10:00:00,450.3,450.8,449.4,450.9,477,-1
2018-01-04,11:00:00,450.75,450.75,450.7,451.35,322,0
2018-01-04,12:00:00,450.8,451.45,450.65,451.7,233,0
2018-01-04,13:00:00,451.45,452.2,451.25,452.35,392,0
2018-01-05,08:00:00,451.95,452.05,451.85,452.35,255,0
2018-01-05,09:00:00,452.05,451.4,451.0,452.85,1376,0
2018-01-05,10:00:00,451.5,451.6,450.0,452.0,916,-1
2018-01-05,11:00:00,451.7,453.0,451.6,453.75,1009,0
2018-01-05,12:00:00,453.0,453.35,452.55,453.45,483,0
2018-01-05,13:00:00,453.35,453.0,452.75,453.6,389,0
2018-01-08,08:00:00,454.55,453.95,453.6,454.95,290,0
2018-01-08,09:00:00,453.9,453.5,451.05,454.0,1615,0
2018-01-08,10:00:00,453.55,452.8,452.2,453.7,445,-1
2018-01-08,11:00:00,452.8,452.55,451.8,452.95,470,-1
2018-01-08,12:00:00,452.55,452.05,451.65,452.8,439,-1
2018-01-08,13:00:00,452.15,452.2,452.15,452.95,472,0
2018-01-09,08:00:00,452.75,452.6,452.35,453.0,203,0
2018-01-09,09:00:00,452.55,451.9,451.3,453.55,1176,0
2018-01-09,10:00:00,452.0,450.7,449.8,452.0,757,-1
2018-01-09,11:00:00,450.7,450.95,450.4,451.25,240,-1
2018-01-09,12:00:00,451.0,450.1,449.85,451.05,313,-1
2018-01-09,13:00:00,450.15,450.45,449.6,450.9,446,0
