wheat_date,wheat_time,wheat_open,wheat_high,wheat_low,wheat_close,wheat_volume,predict
2018-01-03,01:00:00,435.5,435.5,435.5,435.75,228,0
2018-01-03,02:00:00,435.5,435.5,435.25,436.0,634,0
2018-01-03,03:00:00,435.5,435.5,435.25,436.0,419,0
2018-01-03,04:00:00,435.5,436.25,435.5,436.25,959,-1
2018-01-03,05:00:00,436.25,436.0,435.5,436.25,364,0
2018-01-03,06:00:00,436.0,435.5,435.25,436.25,491,0
2018-01-03,07:00:00,435.5,435.5,435.0,435.5,430,-1
2018-01-03,08:00:00,435.0,433.25,432.0,437.0,10626,0
2018-01-03,09:00:00,433.0,435.0,432.75,436.0,7139,0
2018-01-03,10:00:00,435.0,435.25,434.5,435.75,4243,-1
2018-01-03,11:00:00,435.25,435.75,434.5,436.25,5812,0
2018-01-03,12:00:00,436.0,435.75,435.0,436.5,4162,0
2018-01-03,13:00:00,435.75,435.0,434.75,436.75,5947,0
2018-01-03,19:00:00,435.75,434.25,433.75,436.0,2070,-1
2018-01-03,20:00:00,434.25,434.0,433.5,434.25,394,-1
2018-01-03,21:00:00,434.25,434.25,434.0,434.5,180,-1
2018-01-03,22:00:00,434.5,434.0,434.0,434.5,166,0
2018-01-03,23:00:00,434.0,434.0,434.0,434.25,73,0
2018-01-04,00:00:00,434.0,434.25,434.0,434.5,143,0
2018-01-04,01:00:00,434.25,434.25,434.25,434.5,89,0
2018-01-04,02:00:00,434.25,434.25,434.0,434.75,265,0
2018-01-04,03:00:00,434.25,434.25,433.75,434.75,484,-1
2018-01-04,04:00:00,434.5,434.25,434.0,434.5,312,-1
2018-01-04,05:00:00,434.0,434.25,434.0,434.5,374,-1
2018-01-04,06:00:00,434.0,434.0,433.5,434.5,792,-1
2018-01-04,07:00:00,434.0,433.5,433.0,434.5,1589,-1
2018-01-04,08:00:00,433.25,432.75,431.0,433.25,9833,-1
2018-01-04,09:00:00,432.5,433.75,431.75,434.25,6817,0
2018-01-04,10:00:00,433.75,434.75,433.5,435.0,6975,0
2018-01-04,11:00:00,434.75,435.75,433.75,436.0,7144,0
2018-01-04,12:00:00,435.75,435.5,434.75,436.0,3647,0
2018-01-04,13:00:00,435.25,433.5,433.0,435.5,3134,0
2018-01-04,19:00:00,433.0,433.0,432.25,433.25,1214,-1
2018-01-04,20:00:00,432.75,433.0,432.75,433.0,311,-1
2018-01-04,21:00:00,433.0,432.5,432.5,433.0,160,0
2018-01-04,22:00:00,432.5,432.75,432.5,432.75,32,0
2018-01-04,23:00:00,432.5,432.25,432.25,432.75,183,0
2018-01-05,00:00:00,432.25,432.25,432.25,432.75,348,-1
2018-01-05,01:00:00,432.25,432.5,432.0,432.75,295,0
2018-01-05,02:00:00,432.25,432.5,432.25,432.75,1277,-1
2018-01-05,03:00:00,432.5,433.0,432.25,433.0,554,0
2018-01-05,04:00:00,432.75,433.5,432.75,433.75,723,0
2018-01-05,05:00:00,433.25,433.0,433.0,433.5,400,0
