corn_date,corn_time,corn_open,corn_high,corn_close,corn_low,corn_volume,predict
2018-01-18,08:59:00,352.25,354,353.25,352.25,21922,0
2018-01-18,09:59:00,353.5,353.5,352.5,351.5,19432,0
2018-01-18,10:59:00,352.5,353,352.25,352,21360,0
2018-01-18,11:59:00,352,352.25,350.75,350.5,26316,0
2018-01-18,12:59:00,350.75,351.5,351,350.75,21352,0
2018-01-18,13:20:00,351.25,351.75,351.25,351,19160,0
2018-01-18,19:59:00,351.5,352.5,352.25,351.25,1849,0
2018-01-18,20:57:00,352.25,352.25,352.25,352,234,0
2018-01-18,21:55:00,352,352.5,352.5,352,342,0
2018-01-18,22:58:00,352.5,352.5,352.25,352.25,93,0
2018-01-18,23:55:00,352.5,352.5,352.5,352.25,82,0
2018-01-19,00:59:00,352.25,352.5,352.25,352.25,175,0
2018-01-19,01:56:00,352.25,352.5,352.25,352.25,52,0
2018-01-19,02:51:00,352.5,352.5,352.5,352.25,170,0
2018-01-19,03:55:00,352.25,352.5,352.25,352.25,224,0
2018-01-19,04:56:00,352.5,353,352.75,352.25,355,0
2018-01-19,05:57:00,352.75,353,353,352.75,855,0
2018-01-19,06:59:00,352.75,353,353,352.75,231,0
2018-01-19,07:45:00,353,353.5,353,352.5,3437,0
2018-01-19,08:59:00,352.75,354,353.75,352.5,12117,0
2018-01-19,09:59:00,354,354,352.75,352.75,18876,0
2018-01-19,10:59:00,352.75,353,352,351.75,20819,0
2018-01-19,11:59:00,352,352.5,351.75,351.75,12168,0
2018-01-19,12:59:00,351.75,352.25,352,351.75,9741,0
2018-01-19,13:20:00,351.75,352.75,352.5,351.75,19058,0
2018-01-21,19:59:00,353.5,354.5,354,353.5,6247,0
2018-01-21,20:58:00,354,354.25,354,354,710,0
2018-01-21,21:59:00,354.25,354.5,354.25,354,269,0
2018-01-21,22:59:00,354.25,354.25,354.25,354,191,0
2018-01-21,23:59:00,354.5,354.5,354.25,354.25,49,0
2018-01-22,00:59:00,354.25,354.5,354.5,354.25,59,0
2018-01-22,01:56:00,354.5,354.5,354.5,354.25,157,0
2018-01-22,02:52:00,354.25,354.5,354.5,354.25,153,0
2018-01-22,03:59:00,354.25,354.5,354.25,354,915,0
2018-01-22,04:53:00,354.5,354.5,354,354,890,0
2018-01-22,05:58:00,354.25,354.25,354,354,407,0
2018-01-22,06:59:00,354,354.25,354,354,676,0
2018-01-22,07:45:00,354.25,354.5,354.25,354,1861,0
2018-01-22,08:59:00,354,354.25,353,352.75,18592,0
2018-01-22,09:59:00,352.75,353.25,352,351.75,20267,0
2018-01-22,10:59:00,352,352.75,351.75,351.25,27299,0
2018-01-22,11:59:00,351.75,353,352.5,351.75,26055,0
2018-01-22,12:59:00,352.5,353,352.75,352,22240,0
2018-01-22,13:20:00,352.75,352.75,352,351.75,20391,0
2018-01-22,19:59:00,351.75,352,351.25,351,2436,0
2018-01-22,20:58:00,351.25,351.5,351.5,351,696,0
2018-01-22,21:59:00,351.25,351.5,351.25,351.25,234,0
2018-01-22,22:57:00,351.25,351.5,351.5,351.25,282,0
2018-01-22,23:54:00,351.5,351.5,351.25,351,157,0
2018-01-23,00:59:00,351.25,351.5,351.5,351.25,159,0
2018-01-23,01:59:00,351.25,351.5,351.25,351.25,176,0
2018-01-23,02:58:00,351.25,351.5,351.25,351.25,261,0
2018-01-23,03:59:00,351.25,351.5,351,351,585,0
2018-01-23,04:59:00,351.25,351.5,351.25,351,638,0
2018-01-23,05:58:00,351.5,351.5,351.25,351.25,150,0
2018-01-23,06:59:00,351.25,351.5,351,350.75,1699,0
2018-01-23,07:45:00,351,351.5,351.5,351,1186,0
2018-01-23,08:59:00,351.5,351.75,351.25,350.75,14704,0
2018-01-23,09:59:00,351.25,351.5,350.5,350.25,29501,0
2018-01-23,10:59:00,350.5,350.75,350,349.5,34186,0
2018-01-23,11:59:00,350,350.25,350,349.5,21112,0
2018-01-23,12:59:00,349.75,350.25,350,349.5,17771,0
2018-01-23,13:20:00,350,352,351.5,350,26627,0
2018-01-23,19:59:00,351.25,351.75,351.5,351,1455,0
2018-01-23,20:55:00,351.5,352,351.75,351.5,363,0
2018-01-23,21:58:00,352,352,351.75,351.5,190,0
2018-01-23,22:50:00,351.5,351.75,351.75,351.5,43,0
2018-01-23,23:59:00,351.75,351.75,350.25,350.25,1116,0
2018-01-24,00:59:00,350.25,351.5,349.75,349.75,4435,0
2018-01-24,01:58:00,350,352.5,352.25,349.75,5147,0
2018-01-24,02:59:00,352.5,353.5,353.25,352.25,2609,0
2018-01-24,03:58:00,353.25,353.5,353.25,352.75,1365,0
2018-01-24,04:58:00,353.25,353.5,353,352.75,1648,0
2018-01-24,05:58:00,353.25,353.25,352.25,352.25,1207,0
2018-01-24,06:58:00,352.5,353.5,353.5,352.25,2860,0
2018-01-24,07:45:00,353.5,354,353.75,353.25,3956,0
2018-01-24,08:59:00,353.5,355,354.5,353.5,29432,0
2018-01-24,09:59:00,354.25,356,355.75,354.25,34389,0
2018-01-24,10:59:00,355.75,356.5,356.5,354.75,36992,0
2018-01-24,11:59:00,356.25,357,355.75,355.75,48680,0
2018-01-24,12:59:00,355.75,356.75,356.5,355.25,27097,0
2018-01-24,13:20:00,356.5,356.75,356.5,356.25,20260,0
2018-01-24,19:59:00,356,356.5,356.5,355.75,2693,0
2018-01-24,20:58:00,356.5,356.5,356.25,356.25,1252,0
2018-01-24,21:59:00,356.5,356.75,356.5,356.25,640,0
2018-01-24,22:57:00,356.5,356.75,356.75,356.25,299,0
2018-01-24,23:59:00,356.75,356.75,356.5,356.25,422,0
2018-01-25,00:59:00,356.25,356.75,356.5,356.25,456,0
2018-01-25,01:59:00,356.5,356.75,356.5,356.5,166,0
2018-01-25,02:56:00,356.75,357,356.75,356.5,1163,0
2018-01-25,03:59:00,356.75,357,357,356.5,526,0
2018-01-25,04:58:00,357,357,357,356.75,329,0
2018-01-25,05:59:00,356.75,357,356.75,356.75,1157,0
2018-01-25,06:59:00,357,357.5,357.5,356.75,3390,0
2018-01-25,07:45:00,357.25,357.5,357.25,356.5,3990,0
2018-01-25,08:59:00,357.5,358,355.5,355.5,27778,0
2018-01-25,09:59:00,355.5,357,356,355.25,17754,0
2018-01-25,10:59:00,356,357,354.75,354.75,38400,0
2018-01-25,11:59:00,354.75,356.25,356,354.5,24120,0
2018-01-25,12:59:00,356,357,356.75,355.75,10292,0
2018-01-25,13:20:00,356.75,357,355.5,355,14009,0
2018-01-25,19:59:00,355,355.5,355.25,354.75,2764,0
2018-01-25,20:56:00,355.5,355.75,355.75,355.25,155,0
2018-01-25,21:58:00,355.75,355.75,355.75,355.5,40,0
2018-01-25,22:55:00,355.5,355.75,355.75,355.5,10,0
2018-01-25,23:47:00,355.75,355.75,355.5,355.5,39,0
2018-01-26,00:58:00,355.5,356,356,355.5,88,0
2018-01-26,01:59:00,356,356.5,356.25,355.75,582,0
2018-01-26,02:56:00,356.5,356.5,356,355.75,488,0
2018-01-26,03:55:00,356,356.5,356,355.75,429,0
2018-01-26,04:59:00,356,356.25,355.75,355.5,339,0
2018-01-26,05:59:00,355.75,356.25,356,355.75,612,0
2018-01-26,06:59:00,356,356.25,355.25,355.25,1157,0
2018-01-26,07:45:00,355.25,356.25,355.75,355.25,1649,0
2018-01-26,08:59:00,355.25,356.75,356,354.75,15508,0
2018-01-26,09:59:00,356.25,356.75,356,355.75,11582,0
2018-01-26,10:59:00,356.25,356.25,355.5,354.5,18555,0
2018-01-26,11:59:00,355.5,356.5,355.5,355,26651,0
2018-01-26,12:59:00,355.5,356.75,356.75,355.5,14885,0
2018-01-26,13:20:00,356.75,357,356.25,356,18776,0
2018-01-28,19:59:00,356.75,358.5,358.5,356.75,12250,0
2018-01-28,20:59:00,358.5,358.5,358.5,358,1619,0
2018-01-28,21:58:00,358.25,358.5,358.25,358.25,317,0
2018-01-28,22:59:00,358.5,358.5,358.5,358.25,88,0
2018-01-28,23:58:00,358.5,358.5,358.25,358.25,243,0
2018-01-29,00:20:00,358.25,358.5,358.25,358.25,233,0
2018-01-29,01:59:00,358.25,358.5,358.5,358.25,10,0
2018-01-29,02:58:00,358.5,358.75,358.75,358.25,1497,0
2018-01-29,03:59:00,358.75,359,359,358.5,2300,0
2018-01-29,04:57:00,358.75,359,358.75,358.5,1241,0
2018-01-29,05:59:00,358.75,359,358.5,358.5,1163,0
2018-01-29,06:59:00,358.5,359.25,359.25,358.5,5306,0
2018-01-29,07:45:00,359,359.25,359,358.75,2479,0
2018-01-29,08:59:00,359,359.25,358.75,357,19840,0
2018-01-29,09:59:00,358.75,358.75,357,356.75,17956,0
2018-01-29,10:59:00,357.25,359,357.75,357,25772,0
2018-01-29,11:59:00,357.75,359,359,357.5,14556,0
2018-01-29,12:59:00,358.75,359.25,359,358.5,17332,0
2018-01-29,13:20:00,359.25,359.25,358.5,358.25,14877,0
2018-01-29,19:59:00,359.5,360,359.5,359.25,12132,0
2018-01-29,20:59:00,359.5,359.75,359.5,359,1443,0
2018-01-29,21:59:00,359.25,359.75,359.5,359,755,0
2018-01-29,22:59:00,359.5,359.75,359.5,359.5,282,0
2018-01-29,23:59:00,359.5,359.75,359.5,359.5,190,0
2018-01-30,00:58:00,359.5,359.75,359.75,359.5,298,0
2018-01-30,01:59:00,359.75,359.75,359.5,359.5,246,0
2018-01-30,02:58:00,359.75,359.75,359.75,359.5,262,0
2018-01-30,03:58:00,359.75,359.75,359.5,359.5,1092,0
2018-01-30,04:59:00,359.75,359.75,359.75,359.25,917,0
2018-01-30,05:58:00,359.75,360.5,360.25,359.5,7654,0
2018-01-30,06:59:00,360.5,360.75,360.25,360.25,3396,0
2018-01-30,07:45:00,360.25,360.5,360,359.75,2277,0
2018-01-30,08:59:00,360,361,360.75,359.5,20095,0
2018-01-30,09:59:00,360.75,362.25,360.5,360.25,42171,0
2018-01-30,10:59:00,360.5,361.75,361.5,359.5,23718,0
2018-01-30,11:59:00,361.5,361.75,360.5,360.25,14352,0
2018-01-30,12:59:00,360.25,361.75,361.75,360,15588,0
2018-01-30,13:20:00,361.75,361.75,361.25,361,15504,0
2018-01-30,19:59:00,361.5,362,361.75,361.25,4193,0
2018-01-30,20:59:00,362,362,362,361.75,463,0
2018-01-30,21:59:00,362,362,362,361.75,460,0
2018-01-30,22:59:00,362,362,362,361.75,95,0
2018-01-30,23:51:00,361.75,362,362,361.75,194,0
2018-01-31,00:58:00,362,362,362,361.75,172,0
2018-01-31,01:59:00,362,362,361.75,361.75,683,0
2018-01-31,02:57:00,362,362,361.5,361.25,3355,0
2018-01-31,03:59:00,361.5,361.5,361,361,2213,0
2018-01-31,04:59:00,361.25,361.25,360.5,359.75,3854,0
2018-01-31,05:59:00,360.5,360.75,360.75,359.75,2034,0
2018-01-31,06:59:00,360.75,360.75,360,359.5,2338,0
2018-01-31,07:45:00,360,361,360.75,359.75,3327,0
2018-01-31,08:59:00,361.25,361.25,360,359.5,23077,0
2018-01-31,09:59:00,360.25,361.5,361,360,17096,0
2018-01-31,10:59:00,361,361.75,360.5,360,18123,0
2018-01-31,11:59:00,360.5,361,360.5,360.25,15995,0
2018-01-31,12:59:00,360.5,361.5,361.5,360.25,10094,0
2018-01-31,13:20:00,361.25,361.75,361.5,361,19750,0
2018-01-31,19:59:00,360.75,361,360.75,360.5,2062,0
2018-01-31,20:59:00,360.75,361,360.75,360.75,696,0
2018-01-31,21:58:00,360.75,361,360.75,360.5,1338,0
2018-01-31,22:59:00,360.75,361,361,360.75,125,0
2018-01-31,23:58:00,360.75,361,360.75,360.75,248,0
2018-02-01,00:58:00,361,361,360.5,360.5,215,0
2018-02-01,01:57:00,360.75,360.75,360.75,360.5,66,0
2018-02-01,02:58:00,360.75,360.75,360.25,360.25,1177,0
2018-02-01,03:59:00,360.25,360.5,360.25,360.25,837,0
2018-02-01,04:58:00,360.25,360.25,360,359.75,1221,0
2018-02-01,05:59:00,360,360.5,360.5,360,579,0
2018-02-01,06:59:00,360.25,360.75,360,360,1563,0
2018-02-01,07:45:00,360,361,360.75,360,3246,0
2018-02-01,08:59:00,361,361,359.5,359.5,15761,0
