mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_close,mini_dow_low,mini_dow_volume,predict
2018-01-12,11:59:00,25751,25765,25731,25707,11889,0
2018-01-12,12:59:00,25731,25754,25745,25721,7464,0
2018-01-12,13:59:00,25745,25751,25747,25723,8280,0
2018-01-12,14:59:00,25747,25783,25771,25717,17416,0
2018-01-12,15:59:00,25771,25813,25806,25767,7172,0
2018-01-12,16:00:00,25806,25806,25797,25797,119,0
2018-01-14,17:59:00,25813,25900,25889,25808,3445,0
2018-01-14,18:59:00,25889,25918,25900,25888,2961,0
2018-01-14,19:59:00,25901,25909,25895,25892,1208,0
2018-01-14,20:59:00,25894,25903,25892,25887,1015,0
2018-01-14,21:59:00,25892,25903,25899,25892,451,0
2018-01-14,22:59:00,25899,25908,25906,25898,744,0
2018-01-14,23:59:00,25905,25915,25910,25905,764,0
2018-01-15,00:59:00,25909,25909,25886,25876,1741,0
2018-01-15,01:59:00,25886,25895,25888,25868,2292,0
2018-01-15,02:59:00,25888,25907,25883,25871,2027,0
2018-01-15,03:59:00,25883,25927,25916,25881,2912,0
2018-01-15,04:59:00,25917,25947,25928,25917,3683,0
2018-01-15,05:59:00,25930,25937,25917,25903,1877,0
2018-01-15,06:59:00,25917,25939,25928,25912,1536,0
2018-01-15,07:59:00,25928,25950,25945,25927,2712,0
2018-01-15,08:59:00,25944,25976,25969,25944,5131,0
2018-01-15,09:59:00,25969,25974,25970,25961,3160,0
2018-01-15,10:59:00,25970,25974,25939,25920,3899,0
2018-01-15,11:59:00,25940,25946,25932,25896,3708,0
2018-01-15,12:00:00,25931,25939,25937,25928,109,0
2018-01-15,17:59:00,25937,25987,25947,25932,2716,0
2018-01-15,18:59:00,25947,25959,25955,25937,1407,0
2018-01-15,19:59:00,25955,25971,25965,25949,1264,0
2018-01-15,20:59:00,25966,25976,25975,25963,899,0
2018-01-15,21:59:00,25975,25976,25969,25965,920,0
2018-01-15,22:59:00,25968,25980,25970,25965,814,0
2018-01-15,23:59:00,25970,25986,25979,25970,1130,0
2018-01-16,00:59:00,25980,26005,25992,25980,1855,0
2018-01-16,01:59:00,25991,26007,26001,25986,1823,0
2018-01-16,02:59:00,26002,26046,26017,25998,6194,0
2018-01-16,03:59:00,26017,26057,26046,26007,3009,0
2018-01-16,04:59:00,26047,26059,26038,26028,2330,0
2018-01-16,05:59:00,26037,26046,26022,26015,2357,0
2018-01-16,06:59:00,26022,26028,26023,25996,3110,0
2018-01-16,07:59:00,26022,26022,26017,26004,4383,0
2018-01-16,08:59:00,26017,26056,26052,25974,33001,0
2018-01-16,09:59:00,26051,26061,25922,25919,36225,0
2018-01-16,10:59:00,25922,25950,25939,25892,28887,0
2018-01-16,11:59:00,25939,25960,25910,25898,14550,0
2018-01-16,12:59:00,25909,25917,25835,25830,18898,0
2018-01-16,13:59:00,25836,25847,25717,25682,42732,0
2018-01-16,14:59:00,25718,25815,25777,25710,46774,0
2018-01-16,15:59:00,25778,25854,25840,25768,7399,0
2018-01-16,16:00:00,25840,25840,25833,25828,113,0
2018-01-16,17:59:00,25828,25838,25814,25775,2436,0
2018-01-16,18:59:00,25814,25852,25843,25813,2304,0
2018-01-16,19:59:00,25844,25882,25861,25843,2784,0
2018-01-16,20:59:00,25860,25890,25880,25846,2252,0
2018-01-16,21:59:00,25881,25882,25864,25859,1725,0
2018-01-16,22:59:00,25864,25889,25877,25843,2226,0
2018-01-16,23:59:00,25878,25894,25886,25874,1405,0
2018-01-17,00:59:00,25887,25894,25867,25852,2657,0
2018-01-17,01:59:00,25869,25888,25881,25867,1544,0
2018-01-17,02:59:00,25882,25941,25936,25878,5185,0
