mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_close,mini_nasdaq_low,mini_nasdaq_volume,predict
2018-01-12,11:59:00,6756.25,6767,6766.5,6752,18024,0
2018-01-12,12:59:00,6766.75,6768,6763.5,6758.25,14181,0
2018-01-12,13:59:00,6763.5,6771.5,6762.75,6760,18211,0
2018-01-12,14:59:00,6763,6774,6762.5,6754.5,31456,0
2018-01-12,15:59:00,6762.5,6777.75,6773.75,6760.5,15166,0
2018-01-12,16:00:00,6774.25,6774.25,6772,6772,110,0
2018-01-14,17:59:00,6781.5,6789,6784.75,6776,2193,0
2018-01-14,18:59:00,6784.75,6792,6787,6782.25,2674,0
2018-01-14,19:59:00,6787,6787.5,6785.25,6782.25,1548,0
2018-01-14,20:59:00,6785.5,6789.25,6788.75,6783.5,1073,0
2018-01-14,21:59:00,6788.75,6792.75,6791.5,6788.5,943,0
2018-01-14,22:59:00,6791.5,6795.5,6795.25,6790.25,1059,0
2018-01-14,23:59:00,6795.25,6798.5,6795.75,6794.25,931,0
2018-01-15,00:59:00,6795.5,6796.25,6786.25,6785.25,1166,0
2018-01-15,01:59:00,6786.5,6789.25,6785.5,6782,1453,0
2018-01-15,02:59:00,6785.5,6788.5,6779.5,6777.75,2770,0
2018-01-15,03:59:00,6779.75,6784.5,6784,6778.75,1637,0
2018-01-15,04:59:00,6784.25,6788.75,6778.75,6778,2376,0
2018-01-15,05:59:00,6778.75,6780.5,6779.25,6773,1744,0
2018-01-15,06:59:00,6779,6782,6778.25,6773,1667,0
2018-01-15,07:59:00,6778,6779.75,6777,6774.25,1729,0
2018-01-15,08:59:00,6777.25,6780.75,6776.25,6775.25,3952,0
2018-01-15,09:59:00,6776.25,6784,6782.5,6776.25,3628,0
2018-01-15,10:59:00,6782.5,6783.75,6778.5,6777.5,2573,0
2018-01-15,11:59:00,6778.75,6780.5,6780.25,6773.25,2237,0
2018-01-15,12:00:00,6780.25,6782.25,6780.25,6780.25,142,0
2018-01-15,17:59:00,6779.75,6784.5,6778.75,6776,1521,0
2018-01-15,18:59:00,6779,6781.5,6779.75,6776.5,1065,0
2018-01-15,19:59:00,6780,6784.25,6783.25,6778,1708,0
2018-01-15,20:59:00,6783.25,6790.5,6790.5,6783,1824,0
2018-01-15,21:59:00,6790.25,6793,6790.75,6788,1280,0
2018-01-15,22:59:00,6790.75,6795,6791.5,6790.5,1061,0
2018-01-15,23:59:00,6791.75,6794,6791.25,6788.25,1303,0
2018-01-16,00:59:00,6791.25,6794.5,6791.5,6790.5,1240,0
2018-01-16,01:59:00,6791.5,6796,6794.5,6791,1417,0
2018-01-16,02:59:00,6794.75,6802.5,6798.75,6793.5,4031,0
2018-01-16,03:59:00,6798.75,6809.25,6807,6798.25,3966,0
2018-01-16,04:59:00,6807.25,6817,6815.75,6806.75,3333,0
2018-01-16,05:59:00,6815.75,6819.25,6814.5,6811.25,3860,0
2018-01-16,06:59:00,6814.5,6815,6811.5,6807,4154,0
2018-01-16,07:59:00,6811.5,6816,6812,6808.5,6123,0
2018-01-16,08:59:00,6812,6845.75,6837.25,6805.75,58626,0
2018-01-16,09:59:00,6837.5,6842,6814.75,6807.25,68802,0
2018-01-16,10:59:00,6814.5,6816.5,6793,6786.25,71406,0
2018-01-16,11:59:00,6792.75,6806,6783.5,6777.25,42714,0
2018-01-16,12:59:00,6783.5,6788.75,6766.75,6764.75,44052,0
2018-01-16,13:59:00,6767,6770,6745.5,6729.25,77259,0
2018-01-16,14:59:00,6745.75,6768.5,6750.5,6742,59597,0
2018-01-16,15:59:00,6750.5,6768,6762.5,6744.75,14805,0
2018-01-16,16:00:00,6762.5,6762.5,6761,6760.5,85,0
2018-01-16,17:59:00,6762.75,6765,6751,6744.75,3653,0
2018-01-16,18:59:00,6751,6760.25,6756.25,6749.25,2775,0
2018-01-16,19:59:00,6755.25,6772,6761,6755.25,3889,0
