mini_russell_date,mini_russell_time,mini_russell_open,mini_russell_high,mini_russell_close,mini_russell_low,mini_russell_volume,predict
2018-01-12,11:59:00,1599.5,1600.4,1596.2,1594.9,9995,0
2018-01-12,12:59:00,1596.1,1596.6,1593.1,1592.2,8625,0
2018-01-12,13:59:00,1593.1,1594.3,1592.3,1591,8951,0
2018-01-12,14:59:00,1592.3,1594.7,1593.3,1590.9,13604,0
2018-01-12,15:59:00,1593.3,1596.4,1595.9,1593.2,10713,0
2018-01-12,16:00:00,1595.7,1596.2,1595,1594.6,148,0
2018-01-14,17:59:00,1594.1,1599.6,1599.4,1594.1,625,0
2018-01-14,18:59:00,1599.5,1601.2,1599.4,1599,513,0
2018-01-14,19:59:00,1599.2,1599.7,1599.2,1598.4,200,0
2018-01-14,20:58:00,1598.8,1599.5,1599,1598.7,119,0
2018-01-14,21:59:00,1599.1,1600,1599.8,1599,240,0
2018-01-14,22:59:00,1599.8,1600.1,1600,1599.7,75,0
2018-01-14,23:59:00,1599.8,1600.7,1600.1,1599.8,181,0
2018-01-15,00:58:00,1600.1,1600.1,1597.6,1597.2,186,0
2018-01-15,01:59:00,1597.7,1598.5,1597.7,1596.8,215,0
2018-01-15,02:58:00,1597.7,1598.9,1597.9,1596.9,310,0
2018-01-15,03:59:00,1598,1599.7,1599.7,1597.8,277,0
2018-01-15,04:59:00,1599.8,1600.9,1598.6,1598.5,346,0
2018-01-15,05:59:00,1598.6,1599.3,1598.5,1597.6,258,0
2018-01-15,06:54:00,1598.6,1599.1,1598.9,1597.7,157,0
2018-01-15,07:59:00,1598.8,1599.2,1598.1,1597.5,448,0
2018-01-15,08:59:00,1598.1,1599.3,1594.5,1594.3,2419,0
2018-01-15,09:59:00,1594.6,1596.5,1596.1,1593.6,2968,0
2018-01-15,10:59:00,1596.2,1598.2,1592.1,1591.8,2162,0
2018-01-15,11:59:00,1592.1,1592.3,1592.2,1589.6,1190,0
2018-01-15,12:00:00,1592.3,1593.2,1592.6,1592.3,108,0
2018-01-15,17:57:00,1593.1,1595.1,1594.4,1592.5,318,0
2018-01-15,18:59:00,1594.5,1594.6,1594.4,1592.7,195,0
2018-01-15,19:59:00,1594.4,1596.3,1596.1,1594.4,199,0
2018-01-15,20:57:00,1596.1,1597.1,1596.8,1596.1,190,0
2018-01-15,21:59:00,1596.9,1597.5,1597.1,1596.7,88,0
2018-01-15,22:57:00,1597.4,1598.2,1597.8,1597.4,131,0
2018-01-15,23:59:00,1597.9,1598.4,1598,1597.7,88,0
2018-01-16,00:59:00,1598.1,1599.1,1599,1598.1,173,0
2018-01-16,01:58:00,1598.8,1599.4,1599,1598.5,329,0
2018-01-16,02:59:00,1598.9,1600.8,1598.5,1598.1,733,0
2018-01-16,03:59:00,1598.5,1600.8,1600.5,1598.2,510,0
2018-01-16,04:59:00,1600.6,1602,1601.9,1600.3,653,0
2018-01-16,05:59:00,1601.8,1602.1,1601,1601,610,0
2018-01-16,06:59:00,1601,1601,1599.9,1599,703,0
2018-01-16,07:59:00,1599.8,1602.7,1602.1,1599.1,2014,0
2018-01-16,08:59:00,1602,1603.5,1603.2,1600.4,15365,0
2018-01-16,09:59:00,1603.1,1607.2,1600.8,1600.2,19423,0
2018-01-16,10:59:00,1600.7,1601.6,1596.4,1595.2,14611,0
2018-01-16,11:59:00,1596.3,1597.4,1590.2,1590.1,10462,0
2018-01-16,12:59:00,1590.2,1590.7,1584.3,1584.1,24420,0
2018-01-16,13:59:00,1584.4,1585.2,1577,1570.7,29638,0
2018-01-16,14:59:00,1577.1,1582.4,1575,1574.9,20494,0
2018-01-16,15:59:00,1575,1579.8,1579,1573.2,13708,0
2018-01-16,16:00:00,1579.1,1579.1,1578.7,1578.6,20,0
