mini_sp_date,mini_sp_time,mini_sp_open,mini_sp_high,mini_sp_close,mini_sp_low,mini_sp_volume,predict
2018-01-12,11:59:00,2783,2784.5,2784,2781.25,79665,0
2018-01-12,12:59:00,2784.25,2785.75,2784.5,2781.75,71874,0
2018-01-12,13:59:00,2784.75,2786.75,2785,2783,78442,0
2018-01-12,14:59:00,2785,2788.75,2785.25,2781.5,207460,0
2018-01-12,15:59:00,2785.25,2790,2789.25,2785.25,142690,0
2018-01-12,16:00:00,2789.25,2789.5,2789.25,2789,478,0
2018-01-14,17:59:00,2789.75,2795,2794.25,2789.75,11866,0
2018-01-14,18:59:00,2794.25,2797.5,2794.5,2793.75,11288,0
2018-01-14,19:59:00,2794.75,2795,2794,2793.5,5969,0
2018-01-14,20:59:00,2793.75,2794.5,2793.75,2793.25,4409,0
2018-01-14,21:59:00,2794,2795,2794.75,2793.5,3495,0
2018-01-14,22:59:00,2794.75,2795.25,2795.25,2794.5,2658,0
2018-01-14,23:59:00,2795.25,2796,2796,2795,3354,0
2018-01-15,00:59:00,2795.75,2795.75,2792.75,2792.5,5191,0
2018-01-15,01:59:00,2792.75,2793.5,2793,2791.5,6924,0
2018-01-15,02:59:00,2793,2794.25,2792,2790.75,12408,0
2018-01-15,03:59:00,2792.25,2794.5,2794.25,2791.5,10022,0
2018-01-15,04:59:00,2794.5,2796,2793.25,2793,12676,0
2018-01-15,05:59:00,2793.5,2793.5,2792.5,2791,9984,0
2018-01-15,06:58:00,2792.75,2793.5,2793,2791.25,5313,0
2018-01-15,07:59:00,2792.75,2793.75,2792.75,2792,6701,0
2018-01-15,08:59:00,2793,2794.25,2794,2792.5,12040,0
2018-01-15,09:59:00,2794,2796,2795.75,2793.75,8792,0
2018-01-15,10:59:00,2795.75,2796,2794.25,2793.5,14130,0
2018-01-15,11:59:00,2794.25,2794.5,2794.25,2792.75,5864,0
2018-01-15,12:00:00,2794.25,2795,2794.5,2794.25,970,0
2018-01-15,17:59:00,2794.25,2795.75,2793.5,2793.5,6172,0
2018-01-15,18:59:00,2793.5,2794.25,2793,2792,4843,0
2018-01-15,19:59:00,2793,2794.5,2794.25,2792.75,5355,0
2018-01-15,20:59:00,2794.25,2795.5,2795.25,2794,4089,0
2018-01-15,21:59:00,2795.5,2796,2795.5,2794.75,4058,0
2018-01-15,22:59:00,2795.5,2796.75,2796.25,2795.5,3218,0
2018-01-15,23:59:00,2796.5,2797.25,2797,2796,4462,0
2018-01-16,00:59:00,2797,2798.25,2797.75,2797,4345,0
2018-01-16,01:59:00,2797.5,2798.25,2797.75,2796.75,6227,0
2018-01-16,02:59:00,2797.75,2801.5,2798.5,2797.25,27203,0
2018-01-16,03:59:00,2798.75,2802.5,2801.25,2798,20638,0
2018-01-16,04:59:00,2801.5,2803.5,2803,2801.25,16764,0
2018-01-16,05:59:00,2803.25,2803.5,2801,2800.75,16419,0
2018-01-16,06:59:00,2800.75,2801,2800.5,2798.5,18302,0
2018-01-16,07:59:00,2800.5,2802.25,2802,2799.25,30520,0
2018-01-16,08:59:00,2802,2808.5,2807.5,2800,209142,0
2018-01-16,09:59:00,2807.25,2808,2795.25,2794,258644,0
2018-01-16,10:59:00,2795,2798,2793,2790.5,233162,0
2018-01-16,11:59:00,2793,2796.5,2791,2790,97690,0
2018-01-16,12:59:00,2791,2793,2784.25,2783.75,142331,0
2018-01-16,13:59:00,2784.5,2785.5,2775.75,2769.25,283931,0
2018-01-16,14:59:00,2775.5,2784,2777.75,2774.75,221728,0
2018-01-16,15:59:00,2777.75,2784.5,2783.25,2776.5,146915,0
2018-01-16,16:00:00,2783,2783.25,2783,2782.75,484,0
2018-01-16,17:59:00,2782.75,2783.25,2780.75,2779,14297,0
2018-01-16,18:59:00,2781,2784.25,2782.75,2780.5,12156,0
2018-01-16,19:59:00,2782.5,2785.75,2783,2782.25,15767,0
2018-01-16,20:59:00,2783,2786.5,2785.25,2781.5,8340,0
2018-01-16,21:59:00,2785.25,2785.25,2783.75,2783.5,4488,0
2018-01-16,22:59:00,2784,2784,2783,2781.5,7416,0
2018-01-16,23:59:00,2783,2784.5,2784,2782.75,4996,0
2018-01-17,00:59:00,2784,2784.75,2782.25,2781.75,5036,0
2018-01-17,01:59:00,2782.5,2784.75,2784,2782.25,9485,0
2018-01-17,02:59:00,2784,2789.25,2788.5,2783.5,26310,0
2018-01-17,03:59:00,2788.5,2789,2788.25,2787.5,10990,0
2018-01-17,04:59:00,2788.25,2789.75,2789.5,2787,12881,0
2018-01-17,05:59:00,2789.25,2793,2792.5,2789.25,27630,0
2018-01-17,06:59:00,2792.5,2793,2792,2791.25,19182,0
2018-01-17,07:59:00,2792.25,2793.5,2793.25,2790.75,33418,0
2018-01-17,08:59:00,2793.25,2794.25,2783.25,2780.5,260090,0
2018-01-17,09:59:00,2783.5,2788.5,2788,2780.75,194990,0
2018-01-17,10:59:00,2787.75,2793.5,2792.75,2786.5,127952,0
2018-01-17,11:59:00,2792.75,2799,2798.5,2792.25,107400,0
2018-01-17,12:59:00,2798.75,2802,2800.25,2798,95139,0
2018-01-17,13:59:00,2800.25,2807.5,2806.75,2800.25,104806,0
2018-01-17,14:59:00,2806.75,2809.5,2803.25,2802,193522,0
2018-01-17,15:59:00,2803,2805.5,2803.75,2802,141992,0
2018-01-17,16:00:00,2803.5,2804,2803.5,2803.5,886,0
2018-01-17,17:59:00,2803.25,2807,2806.5,2802.75,10076,0
2018-01-17,18:59:00,2806.25,2806.75,2806.25,2805.25,9667,0
2018-01-17,19:59:00,2806.25,2807.75,2804.75,2804.25,7701,0
2018-01-17,20:59:00,2805,2806.75,2806.25,2804.5,3407,0
2018-01-17,21:59:00,2806.25,2807.75,2807,2806,4801,0
2018-01-17,22:59:00,2807.25,2808,2806.5,2806,4108,0
2018-01-17,23:59:00,2806.5,2806.75,2802,2800.75,12953,0
2018-01-18,00:59:00,2801.75,2805,2804.25,2801.25,6756,0
2018-01-18,01:59:00,2804.25,2806.25,2805.25,2803.75,8436,0
2018-01-18,02:59:00,2805.25,2806.25,2801.5,2801,16722,0
2018-01-18,03:59:00,2801.5,2803.5,2803,2800.25,15079,0
2018-01-18,04:59:00,2803,2804,2803.5,2800.5,11026,0
2018-01-18,05:59:00,2803.5,2806.75,2806.75,2802.75,11419,0
2018-01-18,06:59:00,2806.75,2807.5,2803.25,2802.25,21240,0
2018-01-18,07:59:00,2803,2804,2801.5,2799.75,35139,0
2018-01-18,08:59:00,2801.25,2806.5,2804.5,2799.75,143174,0
2018-01-18,09:59:00,2804.5,2804.75,2799.25,2795.75,170633,0
2018-01-18,10:59:00,2799.25,2803,2797.25,2793.75,182625,0
2018-01-18,11:59:00,2797.25,2801.5,2800.25,2796.75,62980,0
2018-01-18,12:59:00,2800.25,2802.75,2802.5,2797.5,72041,0
2018-01-18,13:59:00,2802.5,2807.75,2805,2801.75,101273,0
2018-01-18,14:59:00,2805.25,2805.5,2800.25,2796.75,144263,0
2018-01-18,15:59:00,2800.25,2802,2797,2794.5,155408,0
2018-01-18,16:00:00,2797,2797.25,2797,2796.75,697,0
2018-01-18,17:59:00,2797,2801,2799,2796.75,12826,0
2018-01-18,18:59:00,2798.75,2799.25,2798,2797.5,7600,0
2018-01-18,19:59:00,2797.75,2799.75,2798.5,2797,7174,0
2018-01-18,20:59:00,2798.5,2799,2795.25,2794.25,11043,0
2018-01-18,21:59:00,2795.5,2795.75,2793.25,2791.75,10315,0
2018-01-18,22:59:00,2793.25,2795,2794,2792.5,6661,0
2018-01-18,23:59:00,2794,2795,2794.5,2793.25,3242,0
2018-01-19,00:59:00,2794.5,2795.5,2794.5,2793.5,3781,0
2018-01-19,01:59:00,2794.25,2795.75,2795.5,2793.5,7472,0
2018-01-19,02:59:00,2795.5,2799,2798.5,2795,16720,0
2018-01-19,03:59:00,2798.75,2804.25,2803.5,2798.5,23308,0
2018-01-19,04:59:00,2803.5,2806,2804.75,2803.25,15582,0
2018-01-19,05:59:00,2804.75,2805.75,2804.75,2804,11122,0
2018-01-19,06:59:00,2804.75,2805.5,2803.5,2803.25,14355,0
2018-01-19,07:59:00,2803.25,2804,2800,2796,54461,0
2018-01-19,08:59:00,2800,2808.25,2805.5,2799,234860,0
2018-01-19,09:59:00,2805.5,2807.75,2803,2800.5,202001,0
2018-01-19,10:59:00,2802.75,2805.25,2802.75,2799.5,116116,0
2018-01-19,11:59:00,2803,2806.25,2804.5,2802,65640,0
2018-01-19,12:59:00,2804.75,2805.25,2803.75,2802.5,49223,0
2018-01-19,13:59:00,2803.75,2809.75,2808.5,2803.75,86389,0
2018-01-19,14:59:00,2808.5,2812.5,2811.5,2807,154960,0
2018-01-19,15:59:00,2811.5,2815,2813.25,2809.25,166271,0
2018-01-19,16:00:00,2813.25,2813.5,2812.75,2812.5,999,0
2018-01-21,17:59:00,2804,2809.25,2807.25,2802,15975,0
2018-01-21,18:59:00,2807.25,2808.25,2807.5,2806,6527,0
2018-01-21,19:59:00,2807.5,2809,2808.75,2806.5,6923,0
2018-01-21,20:59:00,2808.75,2810.5,2808.25,2807.75,6338,0
