soybean_date,soybean_time,soybean_open,soybean_high,soybean_close,soybean_low,soybean_volume,predict
2018-01-17,08:59:00,968.25,968.5,964.75,963.5,8801,0
2018-01-17,09:59:00,964.75,967.25,966,961.25,15127,0
2018-01-17,10:59:00,966,966.25,964.75,963.75,8345,0
2018-01-17,11:59:00,964.75,968.5,966,964.25,9031,0
2018-01-17,12:59:00,966.25,968.75,968,966,5923,0
2018-01-17,13:20:00,968,969.25,969.25,967.5,5975,0
2018-01-17,19:59:00,968.75,968.75,968.25,968,1229,0
2018-01-17,20:59:00,968.25,969.25,968.75,968.25,613,0
2018-01-17,21:57:00,968.75,969.25,969,968.75,133,0
2018-01-17,22:50:00,969,969,968.5,968.5,17,0
2018-01-17,23:59:00,968.5,968.75,968.5,968.25,166,0
2018-01-18,00:59:00,968.25,968.75,968.25,968.25,108,0
2018-01-18,01:59:00,968.25,969.25,969.25,968.25,170,0
2018-01-18,02:59:00,969.25,969.25,969.25,968.5,434,0
2018-01-18,03:57:00,969,969.5,968.75,968.5,246,0
2018-01-18,04:59:00,968.75,969,968.5,968.25,253,0
2018-01-18,05:58:00,968.5,968.75,968.5,968.25,153,0
2018-01-18,06:59:00,968.5,969,967.75,967.5,401,0
2018-01-18,07:45:00,967.75,968,968,967,886,0
2018-01-18,08:59:00,967.25,974.25,973.5,966.5,15192,0
2018-01-18,09:59:00,973.25,974.25,971.25,970.25,11622,0
2018-01-18,10:59:00,971.5,973.25,972.25,970.75,8135,0
2018-01-18,11:59:00,972.25,974.75,972.25,971.25,8928,0
2018-01-18,12:59:00,972.25,973,972.5,971.5,3150,0
2018-01-18,13:20:00,972.5,973.25,972.5,971.75,5883,0
2018-01-18,19:59:00,972.5,975,975,972,2879,0
2018-01-18,20:58:00,974.75,975,974.75,974.5,763,0
2018-01-18,21:57:00,974.5,975,974.75,974.5,204,0
2018-01-18,22:58:00,975,975,974.5,974.5,87,0
2018-01-18,23:59:00,974.75,975,975,974.5,598,0
2018-01-19,00:59:00,975,975.5,975.25,974.75,709,0
2018-01-19,01:57:00,975.25,975.5,975.5,975.25,328,0
2018-01-19,02:59:00,975.25,975.75,975.5,975.25,789,0
2018-01-19,03:58:00,975.75,976.25,975.75,975.25,832,0
2018-01-19,04:57:00,975.5,976.5,976.5,975.25,955,0
2018-01-19,05:59:00,976.25,977,977,976.25,1466,0
2018-01-19,06:58:00,977,978.25,978,976.75,2249,0
2018-01-19,07:45:00,978,978,976.75,976,2969,0
2018-01-19,08:59:00,977,982.75,982.5,976.75,26594,1
2018-01-19,09:59:00,982.75,982.75,977.25,976.5,17072,0
2018-01-19,10:59:00,977.5,979.25,979,976,8883,0
2018-01-19,11:59:00,978.75,979.75,978.25,977.5,5912,0
2018-01-19,12:59:00,978.25,979,977.75,977.5,4844,0
2018-01-19,13:20:00,977.75,978,975,975,7060,0
2018-01-21,19:57:00,980.5,984,982.5,980,9201,0
2018-01-21,20:59:00,982.75,983.25,983.25,982.25,909,0
2018-01-21,21:57:00,983,983.25,982.5,982.25,431,0
2018-01-21,22:59:00,982.5,982.5,982,981.75,301,0
2018-01-21,23:58:00,982,982.5,982.25,982,121,0
2018-01-22,00:59:00,982.25,983,982.25,981.75,524,0
2018-01-22,01:59:00,982.25,983.25,983.25,982,243,0
2018-01-22,02:59:00,983.25,984,984,983,967,0
2018-01-22,03:59:00,983.75,985,984.75,983.75,1385,0
2018-01-22,04:59:00,984.75,985,985,984.25,637,0
2018-01-22,05:59:00,985,985,984.75,984.25,468,0
2018-01-22,06:59:00,984.75,985.75,985,984.5,1341,0
2018-01-22,07:45:00,985,985.75,985,984.5,1841,0
2018-01-22,08:59:00,985,987.25,984,983,18024,0
2018-01-22,09:59:00,983.75,985.25,982.5,982.25,12892,0
2018-01-22,10:59:00,982.5,986.5,984.5,982,11955,0
2018-01-22,11:59:00,984.25,985.75,983.5,983.25,6098,0
2018-01-22,12:59:00,983.5,984.75,984.75,983,5034,0
2018-01-22,13:20:00,984.75,985,983.25,983,6999,0
2018-01-22,19:59:00,983,984,983.75,982.75,2034,0
2018-01-22,20:59:00,984,984.25,984,983.5,563,0
2018-01-22,21:58:00,983.75,984.25,984.25,983.5,308,0
2018-01-22,22:59:00,984.25,985,984.75,984,242,0
2018-01-22,23:59:00,984.75,985,985,984.25,238,0
2018-01-23,00:59:00,984.75,986,985.75,984.75,1057,0
2018-01-23,01:57:00,985.75,986.25,986,985.25,372,0
2018-01-23,02:59:00,986,986.75,985.75,985.25,1148,0
2018-01-23,03:59:00,985.75,986.25,985.5,985.25,626,0
2018-01-23,04:59:00,985.25,987,986.75,985.25,762,0
2018-01-23,05:59:00,987,987,986.5,986.25,759,0
2018-01-23,06:59:00,986.5,986.75,986.75,986,1366,0
2018-01-23,07:45:00,986.75,988.5,987.75,986.5,3953,0
2018-01-23,08:59:00,987.25,988.75,986.25,985.25,12923,0
2018-01-23,09:59:00,986,986,983.25,979.5,21728,0
2018-01-23,10:59:00,983.25,985.25,984.25,981.25,9614,0
