tf_date,tf_time,tf_open,tf_high,tf_close,tf_low,tf_volume,predict
2018-02-21,13:30:00,1205.6,1207.8,1207.2,1205.6,207,0
2018-02-22,08:59:00,1201.2,1204.2,1202.2,1201.2,161,0
2018-02-22,09:59:00,1202,1204,1200.4,1197,632,0
2018-02-22,10:59:00,1200.2,1207,1207,1199.8,642,0
2018-02-22,11:59:00,1207,1209,1208,1206.8,322,0
2018-02-22,12:59:00,1208.2,1208.4,1207.8,1206.6,176,0
2018-02-22,13:45:00,1207.8,1210.8,1210.8,1207,499,0
2018-02-23,08:59:00,1215,1217.6,1216.8,1214.8,192,0
2018-02-23,09:59:00,1216.4,1224,1222.4,1216.2,973,0
2018-02-23,10:59:00,1222.2,1226,1225.4,1221.6,415,0
2018-02-23,11:59:00,1225,1225,1223.8,1222.4,176,0
2018-02-23,12:58:00,1223.8,1224.4,1223.2,1222.6,96,0
2018-02-23,13:45:00,1223.2,1224,1223.4,1220.2,373,0
2018-02-26,08:59:00,1229.2,1230.8,1228.6,1227.6,246,0
2018-02-26,09:59:00,1228.6,1228.6,1225,1223.8,653,0
2018-02-26,10:59:00,1224.8,1226.6,1226,1224,134,0
2018-02-26,11:59:00,1226,1227,1226.2,1225.8,91,0
2018-02-26,12:59:00,1226.2,1227.4,1226.6,1226.2,69,0
2018-02-26,13:45:00,1226.6,1226.6,1224,1223.6,248,0
2018-02-27,08:59:00,1229.6,1230,1230,1227.6,179,0
2018-02-27,09:59:00,1230,1231.6,1225.8,1225,619,0
2018-02-27,10:57:00,1226,1227.6,1226.2,1225.2,145,0
2018-02-27,11:58:00,1226,1226.2,1225.4,1224.6,106,0
2018-02-27,12:59:00,1225.2,1225.8,1222.8,1222.2,253,0
2018-02-27,13:45:00,1222.8,1223.6,1221.8,1219.4,346,1
2018-03-01,08:59:00,1205,1211.4,1208.4,1201,323,0
2018-03-01,09:58:00,1208.6,1218.6,1217.6,1208.6,1080,0
2018-03-01,10:58:00,1218,1220.2,1219.6,1216,210,0
2018-03-01,11:59:00,1219.8,1222,1220,1219.6,207,0
2018-03-01,12:57:00,1220,1222,1221.8,1218.6,192,0
2018-03-01,13:45:00,1221.6,1222,1218.8,1217.2,232,1
2018-03-02,08:59:00,1207.8,1211.2,1209.2,1207.4,200,0
2018-03-02,09:59:00,1209.2,1213,1208.4,1202.6,1032,0
2018-03-02,10:59:00,1208.6,1211.2,1208.4,1205.2,311,0
2018-03-02,11:59:00,1208.2,1210.6,1208,1208,153,0
2018-03-02,12:59:00,1208.2,1211,1209.2,1207.6,265,0
2018-03-02,13:45:00,1209,1209.2,1208.8,1207.6,298,0
2018-03-05,08:59:00,1210,1210.8,1208.8,1207.6,147,0
2018-03-05,09:59:00,1208.8,1212.2,1209.8,1205,750,1
2018-03-05,10:59:00,1209.4,1209.4,1201.2,1199.2,664,0
2018-03-05,11:59:00,1201.2,1202,1202,1198.4,231,0
2018-03-05,12:59:00,1202,1203.8,1199.6,1199.2,203,0
2018-03-05,13:45:00,1199.6,1201.6,1198.8,1198,412,0
2018-03-06,08:59:00,1207.6,1210,1210,1207,224,0
2018-03-06,09:59:00,1209.4,1211.6,1206.2,1206,754,0
2018-03-06,10:59:00,1206.2,1207.4,1204.2,1203.4,371,0
2018-03-06,11:58:00,1204.4,1207.2,1206.8,1204.4,144,0
2018-03-06,12:57:00,1206.8,1208,1207,1206,132,0
2018-03-06,13:45:00,1206.8,1209.4,1209,1206.2,245,1
2018-03-07,08:59:00,1202,1202.8,1202.6,1200.6,226,0
2018-03-07,09:59:00,1202.8,1209,1208.8,1202.4,700,0
2018-03-07,10:59:00,1209,1210,1206.4,1206,265,0
2018-03-07,11:59:00,1206.2,1206.2,1205.2,1203.6,293,0
2018-03-07,12:58:00,1204.8,1204.8,1203.8,1202,173,0
2018-03-07,13:45:00,1203.6,1204.4,1201,1200.2,249,0
2018-03-08,08:59:00,1205.4,1207.4,1207,1205.4,130,0
2018-03-08,09:58:00,1207.6,1208.6,1207.8,1205.2,600,0
2018-03-08,10:59:00,1207.8,1209,1207.8,1207,353,0
2018-03-08,11:59:00,1207.8,1208.4,1206.2,1206.2,202,0
2018-03-08,12:58:00,1206.2,1207.4,1207,1206,62,0
2018-03-08,13:45:00,1207,1208,1206.2,1205.8,225,0
2018-03-09,08:59:00,1211.6,1214,1212.4,1211.6,212,0
2018-03-09,09:59:00,1212.2,1212.2,1208.4,1207.8,654,0
2018-03-09,10:59:00,1208.4,1209.4,1209.2,1205.2,311,0
2018-03-09,11:57:00,1208.8,1209.6,1208.6,1208.4,121,0
2018-03-09,12:59:00,1208.8,1209.2,1208,1206.4,163,0
2018-03-09,13:45:00,1208,1209,1208.2,1207.8,209,0
2018-03-12,08:59:00,1218,1219.2,1218.6,1217.4,195,0
2018-03-12,09:59:00,1218.8,1232.8,1232.2,1218.6,1927,0
2018-03-12,10:59:00,1232.2,1233.6,1232,1230,441,0
2018-03-12,11:59:00,1231.8,1234.6,1234.6,1230.6,325,0
2018-03-12,12:58:00,1234.6,1234.6,1233.6,1232.8,243,0
2018-03-12,13:45:00,1233.6,1237,1236.8,1232.4,428,0
2018-03-13,08:59:00,1234,1234.8,1233.6,1233.2,133,0
2018-03-13,09:59:00,1233.6,1234.8,1234.4,1230.8,722,0
2018-03-13,10:58:00,1234.4,1234.4,1233,1231.6,295,0
2018-03-13,11:59:00,1233,1234,1232.6,1230.8,190,0
2018-03-13,12:58:00,1232.8,1234.6,1234.2,1232.8,192,0
2018-03-13,13:45:00,1234.2,1237.6,1235.6,1234.2,349,0
2018-03-14,08:59:00,1230.6,1232.2,1231.2,1228,167,0
2018-03-14,09:59:00,1231,1235.4,1232.6,1229.4,759,0
2018-03-14,10:59:00,1232.4,1234.4,1230.4,1230.2,210,0
2018-03-14,11:57:00,1230.4,1230.4,1229.2,1227.2,455,0
2018-03-14,12:55:00,1229.2,1231,1231,1229,183,0
2018-03-14,13:45:00,1230.8,1233.2,1229,1229,273,0
2018-03-15,08:59:00,1228.2,1228.2,1225,1223.6,222,0
2018-03-15,09:59:00,1225,1229.8,1229.2,1224,627,0
2018-03-15,10:59:00,1229.2,1232.2,1231.8,1228.4,243,0
2018-03-15,11:57:00,1231.8,1233.4,1231.6,1230.8,150,0
2018-03-15,12:55:00,1231.8,1231.8,1231.2,1230.6,74,0
2018-03-15,13:45:00,1231,1231,1228.6,1227.4,345,0
2018-03-16,08:59:00,1228.8,1228.8,1225.4,1224.8,105,0
2018-03-16,09:59:00,1225,1226.2,1224.8,1222.2,689,0
2018-03-16,10:57:00,1224.6,1225.4,1222.2,1221.8,414,0
