wheat_date,wheat_time,wheat_open,wheat_high,wheat_close,wheat_low,wheat_volume,predict
2018-01-17,08:59:00,417,419,418.5,415.5,8364,0
2018-01-17,09:59:00,418.25,420.25,420,418.25,8643,0
2018-01-17,10:59:00,420,421,420,419,6642,0
2018-01-17,11:59:00,420,421.5,420.25,419.75,4576,0
2018-01-17,12:59:00,420.25,423.25,422.5,420.25,5502,0
2018-01-17,13:20:00,422.25,422.75,421.5,421,4006,0
2018-01-17,19:59:00,422.25,422.5,422.25,421.25,1331,0
2018-01-17,20:58:00,422.5,422.5,422.25,422.25,175,0
2018-01-17,21:54:00,422.25,422.75,422.25,422.25,142,0
2018-01-17,22:57:00,422.5,422.5,422.5,422.25,35,0
2018-01-17,23:53:00,422.25,422.5,422,421.75,179,0
2018-01-18,00:51:00,422,422.25,422,421.75,74,0
2018-01-18,01:59:00,422,423.5,423.5,422,457,0
2018-01-18,02:58:00,423.5,423.5,422.75,422.5,287,0
2018-01-18,03:59:00,422.75,423.25,423.25,422.5,228,0
2018-01-18,04:59:00,423.25,423.75,423.25,423,567,0
2018-01-18,05:59:00,423.5,423.5,423.5,423,317,0
2018-01-18,06:59:00,423.25,424,423.5,423.25,1043,0
2018-01-18,07:45:00,423.5,424,423.5,423.25,506,0
2018-01-18,08:59:00,423.25,425.75,424,423,8284,0
2018-01-18,09:59:00,424,425.25,423.75,421.75,8019,0
2018-01-18,10:59:00,423.75,425.5,425,423,4979,0
2018-01-18,11:59:00,424.75,425.25,424,423.75,4157,0
2018-01-18,12:59:00,423.75,425,424.5,423.75,3636,0
2018-01-18,13:20:00,424.75,425.5,424.75,424.25,5017,0
2018-01-18,19:57:00,425.25,426.75,426.25,425,936,0
2018-01-18,20:53:00,426.25,426.5,426,426,143,0
2018-01-18,21:57:00,426.25,426.75,426.5,426.25,147,0
2018-01-18,22:43:00,426.5,426.75,426.5,426.5,52,0
2018-01-18,23:49:00,426.75,427,427,426.5,210,0
2018-01-19,00:58:00,427,427,426.75,426.75,180,0
2018-01-19,01:58:00,427,427.25,426.75,426.5,155,0
2018-01-19,02:58:00,426.5,427.25,426.75,426.5,226,0
2018-01-19,03:59:00,427,427,426,425.75,563,0
2018-01-19,04:54:00,425.75,426.25,426.25,425.75,63,0
2018-01-19,05:59:00,426,426.5,426.25,426,231,0
2018-01-19,06:59:00,426,427,426.75,426,445,0
2018-01-19,07:45:00,426.75,427,426,426,695,0
2018-01-19,08:59:00,426.25,426.5,425.75,423.25,5869,1
2018-01-19,09:59:00,425.5,425.75,423,423,4740,0
2018-01-19,10:59:00,422.75,424,422,421.5,6422,0
2018-01-19,11:59:00,422,423.5,423,421.75,3077,0
2018-01-19,12:59:00,423,423.25,422.5,422,2272,0
2018-01-19,13:20:00,422.75,423.75,423.25,422.25,2848,0
2018-01-21,19:59:00,424.5,427,426.25,424,2204,0
2018-01-21,20:55:00,426,426.5,426.25,426,206,0
2018-01-21,21:56:00,426.25,426.5,426.25,426.25,131,0
2018-01-21,22:58:00,426.25,426.5,426.25,425.75,137,0
2018-01-21,23:57:00,426.25,426.5,426.25,426.25,87,0
2018-01-22,00:59:00,426.25,426.25,426,426,93,0
2018-01-22,01:58:00,426.25,426.5,426,425.75,282,0
2018-01-22,02:51:00,426.25,426.75,426.5,426,648,0
2018-01-22,03:59:00,426.5,426.75,426.25,426.25,564,0
2018-01-22,04:57:00,426.25,426.5,426.5,426.25,86,0
2018-01-22,05:59:00,426.25,426.75,426.75,426.25,152,0
2018-01-22,06:56:00,426.75,427.25,427.25,426.5,578,0
2018-01-22,07:45:00,427.25,427.25,426.75,426.5,564,0
2018-01-22,08:59:00,426.5,427.5,425.75,425.25,6400,0
2018-01-22,09:59:00,425.75,426.25,424.75,423.75,5913,0
2018-01-22,10:59:00,424.75,425.75,425,423.25,8515,0
2018-01-22,11:59:00,425,426.25,425.75,424.25,5891,0
2018-01-22,12:58:00,426,426.75,426.5,425.5,4552,0
2018-01-22,13:20:00,426.5,426.75,425.5,425,3900,0
2018-01-22,19:55:00,423.5,424.75,424,423.5,800,0
2018-01-22,20:59:00,424,424.5,424.25,424,132,0
2018-01-22,21:53:00,424.5,425,424.25,424.25,224,0
2018-01-22,22:30:00,424.25,424.75,424.75,424.25,17,0
2018-01-22,23:58:00,424.75,424.75,424.75,424.25,174,0
2018-01-23,00:59:00,424.75,425,424.5,424.5,173,0
2018-01-23,01:59:00,424.5,424.75,424,424,97,0
2018-01-23,02:59:00,424,424.5,423.75,423.5,584,0
2018-01-23,03:59:00,423.75,423.75,423,422.5,768,0
2018-01-23,04:56:00,422.75,423.75,423.5,422.75,394,0
2018-01-23,05:59:00,423.5,423.75,423.5,423.25,286,0
2018-01-23,06:59:00,423.75,424,423.25,423,423,0
2018-01-23,07:45:00,423.25,425,425,423.25,768,1
2018-01-23,08:59:00,424.75,425,422.25,421.5,6248,0
2018-01-23,09:59:00,422.25,423.25,421.75,421,6014,0
2018-01-23,10:59:00,421.75,422.25,421.75,419.75,10525,0
2018-01-23,11:59:00,421.75,422.25,421,420.5,6125,0
2018-01-23,12:59:00,421,421.5,420.75,419.75,5781,0
2018-01-23,13:20:00,420.75,422,421.75,420.25,3887,0
2018-01-23,19:58:00,422.25,422.5,421.25,420.75,648,0
2018-01-23,20:57:00,421.25,422.25,422,421,342,0
2018-01-23,21:54:00,422,422,421.25,421.25,91,0
2018-01-23,22:44:00,421.5,422.25,422,421.5,223,0
2018-01-23,23:59:00,422,422,421.5,421.25,139,0
2018-01-24,00:59:00,421.5,422.25,420.75,420.75,513,0
2018-01-24,01:59:00,420.75,422,421.75,420.75,537,0
2018-01-24,02:59:00,422,423.25,423,422,899,0
2018-01-24,03:59:00,423,424.25,423.5,423,874,0
2018-01-24,04:53:00,423.75,423.75,423.5,423.25,248,0
2018-01-24,05:59:00,423.25,423.5,423,422.75,269,0
2018-01-24,06:59:00,422.75,424,423.75,422.75,562,0
2018-01-24,07:45:00,424,424.75,424.5,423.75,1120,0
2018-01-24,08:59:00,424.5,429,428.25,424.5,19459,0
2018-01-24,09:59:00,428.25,432.25,432,428.25,21693,0
2018-01-24,10:59:00,432,432.25,431.75,430.25,11279,0
2018-01-24,11:59:00,431.75,433.75,432,431.75,13175,0
2018-01-24,12:59:00,432,433.25,433,431.5,7062,0
2018-01-24,13:20:00,433,433.75,432.5,431.75,7621,0
2018-01-24,19:59:00,433,435,434.5,433,2198,0
2018-01-24,20:59:00,434.25,434.75,434.25,433.75,925,0
2018-01-24,21:56:00,434,435,435,434,478,0
2018-01-24,22:56:00,434.75,435,435,434.75,97,0
2018-01-24,23:55:00,435,435,435,434.5,132,0
2018-01-25,00:59:00,435,435,434.5,434.5,318,0
2018-01-25,01:59:00,434.75,434.75,434.5,434.25,299,0
2018-01-25,02:58:00,434.5,434.5,433.75,433.5,647,0
2018-01-25,03:59:00,433.5,434.5,434.5,433,771,0
2018-01-25,04:59:00,434.5,434.5,433.5,433.25,200,0
2018-01-25,05:59:00,433.5,435.25,435,433.25,766,0
2018-01-25,06:59:00,434.75,435.25,435.25,434.5,992,0
2018-01-25,07:45:00,435.25,437.75,437.25,435,3381,1
2018-01-25,08:59:00,437.5,438.75,431.25,430.75,22561,0
2018-01-25,09:59:00,431,435.25,433.5,429.5,13381,0
2018-01-25,10:59:00,433.5,437,433.75,432.5,10765,0
2018-01-25,11:59:00,433.75,435.75,435.25,432.25,9209,0
2018-01-25,12:59:00,435.25,436.25,436.25,434.25,3865,0
2018-01-25,13:20:00,436,436.25,434.25,434,5287,0
2018-01-25,19:59:00,435,437.25,436.75,434.25,1728,0
