,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.6885,0.8224,0.1094,0.9881,0.1888,0.8977,0.5432,0.8183
2,0.6406,0.8724,0.3915,0.9498,0.486,0.9094,0.6977,0.846
3,0.6813,0.9266,0.5235,0.9609,0.5921,0.9434,0.7678,0.9006
4,0.662,0.95,0.5815,0.964,0.6192,0.9569,0.788,0.9226
5,0.729,0.9118,0.5858,0.9516,0.6496,0.9313,0.7904,0.8851
6,0.7322,0.8763,0.5654,0.9371,0.6381,0.9057,0.7719,0.8503
7,0.6881,0.9251,0.6214,0.9432,0.653,0.9341,0.7935,0.8892
8,0.675,0.9409,0.6407,0.9489,0.6574,0.9449,0.8011,0.905
9,0.6533,0.9351,0.58,0.9516,0.6145,0.9433,0.7789,0.9011
10,0.7259,0.9048,0.4243,0.9715,0.5356,0.937,0.7363,0.889
11,0.7598,0.9107,0.4761,0.9726,0.5854,0.9406,0.763,0.8962
12,0.6421,0.9528,0.5354,0.9692,0.5839,0.9609,0.7724,0.9285
13,0.1109,0.9119,0.2074,0.8313,0.1445,0.8697,0.5071,0.7739
14,0.5864,0.9606,0.6179,0.9553,0.6017,0.9579,0.7798,0.9238
15,0.199,0.9685,0.7774,0.6863,0.3169,0.8033,0.5601,0.6946
16,1,0.9028,0.0117,1,0.0232,0.9489,0.486,0.9029
17,0.75,0.8977,0.0161,0.9994,0.0316,0.9458,0.4887,0.8974
18,0.3205,0.9464,0.7407,0.7446,0.4474,0.8334,0.6404,0.744
average,0.6247,0.9176,0.467011111,0.929188889,0.464938889,0.920233333,0.692572222,0.864916667
dev,0.211893744,0.036176723,0.232514761,0.086199576,0.221718322,0.044181244,0.119347362,0.06630478
