,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.3596,0.9576,0.9103,0.5557,0.5156,0.7033,0.6094,0.632
2,0.741,0.8579,0.4292,0.9583,0.5436,0.9053,0.7245,0.8432
3,0.6997,0.8584,0.2299,0.9793,0.3461,0.9148,0.6305,0.8493
4,0.475,0.9508,0.7522,0.8521,0.5823,0.8987,0.7405,0.837
5,0.6998,0.9078,0.6968,0.909,0.6983,0.9084,0.8033,0.8594
6,0.7509,0.8927,0.6968,0.916,0.7228,0.9042,0.8135,0.8576
7,0.646,0.9274,0.6996,0.9092,0.6717,0.9182,0.795,0.869
8,0.6507,0.9167,0.5874,0.9351,0.6174,0.9258,0.7716,0.8758
9,0.7257,0.8775,0.3915,0.9672,0.5087,0.9202,0.7144,0.8626
10,0.7858,0.8759,0.4624,0.9679,0.5822,0.9196,0.7509,0.8651
11,0.759,0.8833,0.5139,0.9575,0.6128,0.9189,0.7659,0.8659
12,0.5879,0.9017,0.3035,0.9678,0.4004,0.9335,0.667,0.8803
13,0.6627,0.9045,0.2775,0.9798,0.3912,0.9406,0.6659,0.8918
14,0.6411,0.9041,0.2653,0.979,0.3754,0.94,0.6577,0.8906
15,0.6221,0.9041,0.2635,0.9775,0.3702,0.9393,0.6548,0.8893
16,1,0.8739,0.0063,1,0.0126,0.9327,0.4727,0.874
17,0.4654,0.9423,0.5961,0.9059,0.5227,0.9237,0.7232,0.8685
18,0.6531,0.8672,0.2302,0.9763,0.3404,0.9185,0.6295,0.855
average,0.662527778,0.900211111,0.4618,0.927422222,0.489688889,0.909205556,0.699461111,0.853688889
dev,0.139973904,0.030208489,0.236004943,0.100042183,0.171524109,0.052880092,0.085190956,0.057450008
