,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.8919,0.8225,0.1387,0.9958,0.24,0.9009,0.5704,0.8246
2,0.802,0.8022,0.0652,0.9958,0.1205,0.8886,0.5045,0.8022
3,0.653,0.9002,0.4237,0.9585,0.5139,0.9284,0.7212,0.8752
4,0.319,0.9066,0.4178,0.8637,0.3618,0.8846,0.6232,0.8046
5,0.7904,0.9032,0.6824,0.9424,0.7324,0.9224,0.8274,0.8797
6,0.78,0.8887,0.6952,0.9254,0.7351,0.9067,0.8209,0.862
7,0.7198,0.9455,0.7401,0.94,0.7298,0.9427,0.8363,0.9055
8,0.7494,0.9248,0.63,0.9558,0.6845,0.94,0.8123,0.8992
9,0.8035,0.9059,0.5697,0.9675,0.6667,0.9357,0.8012,0.8922
10,0.8819,0.8745,0.4534,0.9843,0.5989,0.9262,0.7625,0.8753
11,0.8033,0.9027,0.576,0.9654,0.6709,0.933,0.8019,0.8886
12,0.6839,0.9319,0.4128,0.9768,0.5149,0.9538,0.7343,0.9157
13,0.7519,0.9348,0.3964,0.9851,0.5191,0.9593,0.7392,0.9249
14,0.8065,0.9268,0.3034,0.9918,0.4409,0.9582,0.6996,0.9222
15,0.2368,0.9025,0.0276,0.9902,0.0495,0.9443,0.4969,0.8948
16,0.2873,0.9175,0.3015,0.9121,0.2942,0.9148,0.6045,0.848
17,0.1486,0.9085,0.0696,0.9586,0.0948,0.9329,0.5138,0.875
18,0.6111,0.9004,0.3607,0.9618,0.4536,0.9301,0.6918,0.876
average,0.651127778,0.899955556,0.403566667,0.9595,0.467861111,0.927922222,0.697883333,0.875872222
dev,0.234470341,0.036349629,0.223304825,0.033929269,0.228929843,0.021866939,0.117741523,0.036353458
