,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.6823,0.841,0.4521,0.9323,0.5438,0.8843,0.7141,0.8155
2,0.747,0.8865,0.4311,0.9682,0.5467,0.9255,0.7361,0.8721
3,0.8333,0.8567,0.0071,0.9998,0.014,0.9227,0.4684,0.8567
4,0.2006,0.9807,0.9357,0.4675,0.3304,0.6332,0.4818,0.526
5,0.7195,0.914,0.6482,0.9367,0.682,0.9252,0.8036,0.8789
6,0.7515,0.8858,0.6513,0.9263,0.6978,0.9056,0.8017,0.8562
7,0.5326,0.9389,0.7625,0.8451,0.6271,0.8895,0.7583,0.8295
8,0.6519,0.9426,0.7527,0.9099,0.6987,0.9259,0.8123,0.8811
9,0.6821,0.9301,0.6865,0.9288,0.6843,0.9294,0.8069,0.8846
10,0.7036,0.9224,0.6766,0.931,0.6899,0.9267,0.8083,0.8814
11,0.7045,0.9236,0.6878,0.9289,0.6961,0.9262,0.8111,0.8813
12,0.7218,0.9212,0.5206,0.9654,0.6049,0.9428,0.7739,0.9001
13,0.6402,0.8564,0.5878,0.8815,0.6129,0.8688,0.7408,0.804
14,0.8233,0.6695,0.2283,0.9696,0.3575,0.7921,0.5748,0.6858
15,0.8343,0.7818,0.5053,0.9464,0.6294,0.8562,0.7428,0.7928
16,0.7835,0.8616,0.6418,0.9263,0.7056,0.8928,0.7992,0.8428
17,0.7939,0.8464,0.5706,0.9411,0.664,0.8912,0.7776,0.8356
18,0.7739,0.8312,0.5629,0.929,0.6517,0.8774,0.7646,0.8186
average,0.698877778,0.877244444,0.572716667,0.907433333,0.579822222,0.884194444,0.732016667,0.824611111
dev,0.145911474,0.071518465,0.207865197,0.114873567,0.178839536,0.072280056,0.108885975,0.089648135
