,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.8168,0.8342,0.356,0.9759,0.4959,0.8995,0.6977,0.8324
2,0.4179,0.9149,0.6149,0.8286,0.4976,0.8696,0.6836,0.793
3,0.6879,0.945,0.6327,0.9565,0.6592,0.9507,0.8049,0.9138
4,0.594,0.954,0.6866,0.9327,0.637,0.9432,0.7901,0.9018
5,0.7507,0.9111,0.6677,0.9389,0.7068,0.9248,0.8158,0.8803
6,0.6736,0.9125,0.7513,0.8769,0.7104,0.8944,0.8024,0.8452
7,0.5607,0.9567,0.8057,0.8718,0.6612,0.9123,0.7868,0.8607
8,0.6717,0.9511,0.7868,0.915,0.7247,0.9327,0.8287,0.8918
9,0.6871,0.9425,0.7409,0.9264,0.713,0.9344,0.8237,0.8932
10,0.7155,0.9338,0.7283,0.9298,0.7218,0.9318,0.8268,0.8904
11,0.7235,0.9369,0.7323,0.9342,0.7279,0.9356,0.8317,0.8958
12,0.6938,0.937,0.5951,0.9582,0.6407,0.9475,0.7941,0.9083
13,0.7455,0.8477,0.5994,0.9159,0.6645,0.8805,0.7725,0.8238
14,0.7763,0.8203,0.6885,0.8776,0.7298,0.8479,0.7889,0.8054
15,0.853,0.8243,0.5932,0.9492,0.6997,0.8824,0.7911,0.831
16,0.808,0.8869,0.6845,0.9383,0.7411,0.9119,0.8265,0.8685
17,0.8428,0.8691,0.6048,0.9588,0.7042,0.9117,0.808,0.864
18,0.8019,0.8561,0.6018,0.9409,0.6876,0.8965,0.792,0.8445
average,0.712261111,0.901894444,0.659472222,0.923644444,0.673505556,0.911522222,0.792516667,0.86355
dev,0.108494945,0.047948753,0.102391962,0.037603602,0.071471537,0.028954113,0.040937646,0.036307903
