,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.8868,0.8548,0.2213,0.9939,0.3542,0.9191,0.6366,0.8562
2,0.8225,0.8739,0.3088,0.9863,0.449,0.9267,0.6879,0.8706
3,0.7121,0.9497,0.6078,0.9679,0.6558,0.9587,0.8073,0.9262
4,0.656,0.9603,0.5658,0.9726,0.6076,0.9664,0.787,0.9381
5,0.792,0.9201,0.6204,0.964,0.6957,0.9415,0.8186,0.9019
6,0.7377,0.9124,0.7032,0.9252,0.7201,0.9188,0.8194,0.8741
7,0.6957,0.9511,0.6957,0.9511,0.6957,0.9511,0.8234,0.9157
8,0.7548,0.9283,0.5499,0.9703,0.6363,0.9488,0.7926,0.9103
9,0.7064,0.9133,0.4658,0.9668,0.5614,0.9393,0.7504,0.8933
10,0.8172,0.9021,0.4552,0.9801,0.5847,0.9395,0.7621,0.8944
11,0.8143,0.8896,0.3485,0.9851,0.4881,0.9349,0.7115,0.8845
12,0.7558,0.9348,0.1537,0.9959,0.2554,0.9644,0.6099,0.932
13,0.5185,0.9335,0.042,0.9971,0.0778,0.9643,0.521,0.9312
14,0.375,0.9328,0.0109,0.9987,0.0213,0.9646,0.4929,0.9317
15,0.75,0.9465,0.2511,0.9937,0.3762,0.9695,0.6729,0.9419
16,0.7833,0.9462,0.267,0.9943,0.3983,0.9696,0.684,0.9422
17,0.7586,0.9474,0.2056,0.9954,0.3235,0.9708,0.6472,0.944
18,0.6667,0.9338,0.1846,0.992,0.2892,0.9621,0.6256,0.928
average,0.722411111,0.923922222,0.36985,0.979466667,0.455016667,0.950561111,0.702794444,0.912016667
dev,0.118409309,0.028577934,0.219528675,0.019532477,0.209549276,0.017667256,0.101205728,0.027572285
