,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.6681,0.9297,0.7119,0.9151,0.6893,0.9223,0.8058,0.8757
2,0.6839,0.9186,0.6327,0.9341,0.6573,0.9263,0.7918,0.8786
3,0.7255,0.9003,0.7068,0.9083,0.716,0.9043,0.8101,0.8568
4,0.6585,0.9067,0.7733,0.846,0.7113,0.8753,0.7933,0.8258
5,0.4078,0.9165,0.7952,0.6607,0.5391,0.7679,0.6535,0.6912
6,0.634,0.9482,0.8219,0.873,0.7158,0.909,0.8124,0.8622
7,0.6125,0.9498,0.7961,0.8845,0.6923,0.916,0.8042,0.868
8,0.6758,0.934,0.7626,0.9018,0.7166,0.9176,0.8171,0.8724
9,0.7502,0.9022,0.7325,0.91,0.7412,0.9061,0.8237,0.8622
10,0.7645,0.8928,0.6881,0.9246,0.7243,0.9084,0.8163,0.8625
11,0.769,0.8627,0.5344,0.948,0.6306,0.9033,0.767,0.8468
12,0.7612,0.8774,0.478,0.9614,0.5873,0.9175,0.7524,0.8625
13,0.7752,0.8929,0.6775,0.9319,0.7231,0.9119,0.8175,0.8664
14,0.7794,0.9023,0.7379,0.9205,0.7581,0.9113,0.8347,0.8702
15,0.6753,0.9262,0.755,0.8944,0.7129,0.91,0.8115,0.863
16,0.6123,0.8959,0.646,0.8816,0.6287,0.8887,0.7587,0.8287
17,0.7353,0.8113,0.2938,0.9663,0.4199,0.882,0.651,0.8039
18,0.6614,0.8361,0.5591,0.8871,0.606,0.8608,0.7334,0.7943
average,0.686105556,0.9002,0.672377778,0.897183333,0.664988889,0.896594444,0.7808,0.843955556
dev,0.089553339,0.03611454,0.133740972,0.0666946,0.085056271,0.036371053,0.054072555,0.045142718
