,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.6997,0.9233,0.6941,0.9251,0.6969,0.9242,0.8105,0.8787
2,0.6775,0.9169,0.6827,0.9151,0.6801,0.916,0.798,0.8669
3,0.7067,0.8009,0.4757,0.9144,0.5686,0.8539,0.7113,0.7817
4,0.3879,0.9876,0.9929,0.2658,0.5579,0.4189,0.4884,0.4978
5,0.5555,0.917,0.7943,0.7814,0.6538,0.8438,0.7488,0.7847
6,0.6282,0.9371,0.8135,0.8523,0.7089,0.8927,0.8008,0.8432
7,0.6391,0.9443,0.8081,0.8769,0.7137,0.9094,0.8116,0.8623
8,0.6669,0.9192,0.7575,0.8794,0.7093,0.8989,0.8041,0.85
9,0.7376,0.8827,0.7276,0.8879,0.7326,0.8853,0.8089,0.8394
10,0.758,0.8847,0.6959,0.9131,0.7256,0.8987,0.8121,0.852
11,0.6336,0.8809,0.6774,0.8589,0.6548,0.8698,0.7623,0.8109
12,0.7112,0.8913,0.6384,0.9196,0.6728,0.9052,0.789,0.853
13,0.7304,0.8678,0.6889,0.8893,0.709,0.8784,0.7937,0.8285
14,0.7332,0.8799,0.7447,0.8735,0.7389,0.8767,0.8078,0.8325
15,0.7072,0.9313,0.773,0.9058,0.7386,0.9184,0.8285,0.8756
16,0.6632,0.9182,0.7366,0.8876,0.698,0.9026,0.8003,0.8527
17,0.6909,0.8871,0.6478,0.9052,0.6686,0.8961,0.7824,0.8418
18,0.7249,0.7653,0.309,0.9505,0.4333,0.8479,0.6406,0.7602
average,0.669538889,0.896416667,0.703227778,0.855655556,0.670077778,0.863161111,0.766616667,0.817327778
dev,0.085935401,0.050946711,0.141939021,0.151686853,0.078192722,0.113380863,0.082671855,0.086188138
