,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.6987,0.915,0.5688,0.9498,0.627,0.9321,0.7796,0.8851
2,0.7307,0.9008,0.3782,0.9759,0.4984,0.9368,0.7176,0.8878
3,0.69,0.9301,0.5217,0.9645,0.5941,0.947,0.7706,0.9062
4,0.6189,0.9561,0.6637,0.9472,0.6405,0.9516,0.7961,0.9148
5,0.7504,0.8806,0.4665,0.9621,0.5754,0.9195,0.7474,0.8647
6,0.473,0.9492,0.8307,0.7739,0.6028,0.8526,0.7277,0.785
7,0.5223,0.9419,0.6817,0.8922,0.5914,0.9164,0.7539,0.8612
8,0.68,0.9494,0.6714,0.9512,0.6757,0.9503,0.813,0.9138
9,0.6869,0.9542,0.6417,0.9623,0.6635,0.9583,0.8109,0.9258
10,0.6331,0.9543,0.6221,0.9563,0.6276,0.9553,0.7914,0.9202
11,0.6853,0.9566,0.6423,0.9639,0.6631,0.9602,0.8117,0.9289
12,0.5404,0.9377,0.5423,0.9373,0.5414,0.9375,0.7394,0.89
13,0.7244,0.825,0.3075,0.9654,0.4318,0.8897,0.6607,0.8152
14,0.8309,0.8275,0.4812,0.9622,0.6094,0.8898,0.7496,0.8281
15,0.7868,0.8496,0.387,0.9706,0.5188,0.9061,0.7125,0.8429
16,0.7568,0.803,0.0833,0.9929,0.1501,0.8879,0.519,0.8019
17,0.3634,0.8664,0.5034,0.785,0.4221,0.8237,0.6229,0.7298
18,0.7185,0.8172,0.1016,0.9902,0.178,0.8954,0.5367,0.8144
average,0.660583333,0.900811111,0.505283333,0.93905,0.53395,0.917233333,0.725594444,0.861988889
dev,0.118363758,0.055617484,0.196856171,0.061961983,0.153381927,0.038394516,0.088110095,0.056535807
