,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.7441,0.8431,0.6373,0.899,0.6866,0.8702,0.7784,0.8164
2,0.7932,0.8576,0.6539,0.9244,0.7169,0.8897,0.8033,0.8413
3,0.7479,0.8832,0.7059,0.9034,0.7263,0.8932,0.8097,0.8463
4,0.7458,0.8751,0.6953,0.9001,0.7197,0.8874,0.8036,0.8394
5,0.8185,0.7636,0.4828,0.9398,0.6074,0.8426,0.725,0.7753
6,0.6504,0.9122,0.7672,0.8543,0.704,0.8823,0.7931,0.8316
7,0.5938,0.9333,0.6806,0.9056,0.6342,0.9193,0.7767,0.8677
8,0.744,0.884,0.6324,0.9279,0.6837,0.9054,0.7946,0.8544
9,0.6034,0.9304,0.6292,0.9229,0.6161,0.9266,0.7713,0.8768
10,0.6199,0.9037,0.6436,0.8944,0.6315,0.899,0.7653,0.8415
11,0.6667,0.9103,0.5487,0.9435,0.6019,0.9266,0.7643,0.876
12,0.7551,0.863,0.2242,0.9853,0.3458,0.9201,0.6329,0.8576
13,0.7632,0.8079,0.5685,0.9114,0.6516,0.8566,0.7541,0.7968
14,0.8693,0.8039,0.5701,0.9536,0.6886,0.8724,0.7805,0.819
15,0.8312,0.8475,0.5397,0.9589,0.6545,0.8998,0.7771,0.8446
16,0.7624,0.7916,0.3702,0.954,0.4984,0.8652,0.6818,0.7875
17,0.6748,0.7995,0.3774,0.9317,0.484,0.8606,0.6723,0.7805
18,0.6358,0.8225,0.3926,0.926,0.4855,0.8712,0.6783,0.794
average,0.723305556,0.857355556,0.5622,0.924233333,0.618705556,0.888233333,0.753461111,0.830372222
dev,0.081665152,0.05091302,0.142585149,0.030012527,0.103024032,0.025175829,0.052674976,0.032417004
