,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.7949,0.8887,0.7816,0.8963,0.7882,0.8925,0.8403,0.8574
2,0.7476,0.891,0.7729,0.8768,0.76,0.8838,0.8219,0.8434
3,0.7375,0.8852,0.7391,0.8844,0.7383,0.8848,0.8115,0.84
4,0.7252,0.8959,0.7034,0.9054,0.7141,0.9006,0.8074,0.8525
5,0.7113,0.929,0.738,0.9196,0.7244,0.9243,0.8243,0.8812
6,0.6413,0.9471,0.7726,0.904,0.7009,0.9251,0.813,0.8801
7,0.7168,0.9329,0.8007,0.8976,0.7564,0.9149,0.8357,0.8739
8,0.7677,0.8817,0.7777,0.8756,0.7727,0.8787,0.8257,0.8418
9,0.7821,0.8835,0.7562,0.8977,0.7689,0.8905,0.8297,0.8514
10,0.8266,0.882,0.7649,0.9164,0.7946,0.8989,0.8467,0.8645
11,0.8089,0.889,0.7513,0.9181,0.7791,0.9033,0.8412,0.8655
12,0.5735,0.8786,0.5521,0.8876,0.5626,0.8831,0.7228,0.8155
13,0.4175,0.9252,0.8689,0.5722,0.564,0.7071,0.6355,0.6496
14,0.7502,0.8824,0.6527,0.9231,0.6981,0.9023,0.8002,0.8523
15,0.7446,0.9126,0.7591,0.9062,0.7518,0.9094,0.8306,0.8672
16,0.7041,0.9225,0.7749,0.8917,0.7378,0.9068,0.8223,0.8625
17,0.6611,0.8632,0.6211,0.8825,0.6404,0.8728,0.7566,0.8121
18,0.5552,0.7887,0.4785,0.8355,0.514,0.8114,0.6627,0.7282
average,0.703672222,0.893288889,0.725872222,0.877261111,0.709238889,0.882794444,0.796005556,0.835505556
dev,0.102598927,0.034842079,0.094367403,0.078902249,0.08407375,0.050553285,0.061666575,0.058144227
