,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.7924,0.8912,0.8162,0.8756,0.8041,0.8833,0.8437,0.8538
2,0.7733,0.8808,0.7893,0.8706,0.7812,0.8756,0.8284,0.8414
3,0.7832,0.8751,0.764,0.8866,0.7735,0.8808,0.8272,0.8438
4,0.7604,0.8618,0.6934,0.8974,0.7254,0.8792,0.8023,0.8322
5,0.6853,0.9114,0.7455,0.8843,0.7142,0.8977,0.8059,0.8493
6,0.621,0.9478,0.7969,0.8834,0.698,0.9144,0.8062,0.8667
7,0.7277,0.9142,0.7989,0.8775,0.7617,0.8955,0.8286,0.8547
8,0.7355,0.8537,0.7786,0.8219,0.7564,0.8375,0.797,0.805
9,0.7769,0.8612,0.731,0.8882,0.7533,0.8745,0.8139,0.8336
10,0.8043,0.8576,0.7705,0.8806,0.787,0.869,0.828,0.8377
11,0.8086,0.8931,0.8008,0.8978,0.8047,0.8954,0.8501,0.8638
12,0.6331,0.8942,0.6096,0.9033,0.6211,0.8987,0.7599,0.8402
13,0.6676,0.8984,0.761,0.848,0.7112,0.8725,0.7919,0.8231
14,0.7045,0.8708,0.6772,0.8845,0.6906,0.8776,0.7841,0.8246
15,0.7479,0.9099,0.7717,0.8986,0.7596,0.9042,0.8319,0.863
16,0.7212,0.9201,0.7759,0.8959,0.7475,0.9079,0.8277,0.865
17,0.7491,0.8948,0.7125,0.9111,0.7304,0.9029,0.8166,0.8572
18,0.4895,0.8591,0.7762,0.6277,0.6004,0.7254,0.6629,0.6745
average,0.721194444,0.888622222,0.753844444,0.8685,0.734461111,0.877338889,0.805905556,0.834977778
dev,0.079881011,0.025892096,0.052141642,0.063560208,0.056234092,0.04203426,0.042011448,0.043406242
