,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.740196078,0.81211499,0.452095808,0.937203791,0.56133829,0.870187019,0.715762654,0.799660441
2,0.884297521,0.703947368,0.253554502,0.981651376,0.394106814,0.819923372,0.607015093,0.722362869
3,0.894957983,0.706624606,0.432926829,0.964131994,0.583561644,0.815533981,0.699547812,0.74432296
4,0.864238411,0.738738739,0.529411765,0.941176471,0.656603774,0.827760252,0.742182013,0.770588235
5,0.845528455,0.720682303,0.442553191,0.946778711,0.581005587,0.818401937,0.699703762,0.746621622
6,0.876106195,0.75529661,0.461538462,0.962213225,0.604580153,0.846290801,0.725435477,0.778632479
7,0.829268293,0.800466744,0.613995485,0.924528302,0.705577173,0.858036273,0.781806723,0.808438819
8,0.786486486,0.818404908,0.662870159,0.894101877,0.719406675,0.854580397,0.786993536,0.808438819
9,0.85625,0.71875,0.529980658,0.931034483,0.654719235,0.811234487,0.732976861,0.755912162
10,0.828571429,0.746268657,0.609942639,0.900900901,0.702643172,0.816326531,0.759484851,0.772918419
11,0.844783715,0.800505051,0.67755102,0.912230216,0.75198188,0.852723605,0.802352742,0.815189873
12,0.741463415,0.790513834,0.656587473,0.849858357,0.696449026,0.819112628,0.757780827,0.773310522
13,0.745882353,0.749014455,0.624015748,0.840707965,0.679528403,0.792216817,0.73587261,0.747892074
14,0.708411215,0.79331307,0.73592233,0.769911504,0.721904762,0.781437126,0.751670944,0.755238894
15,0.696356275,0.820143885,0.73347548,0.791666667,0.71443406,0.80565371,0.760043885,0.768713204
16,1,0.613120269,0.006479482,1,0.012875536,0.76016684,0.386521188,0.61409396
17,0.876712329,0.604092527,0.125736739,0.986918605,0.219931271,0.749448124,0.484689698,0.620718463
18,0.431304348,0.945945946,0.995983936,0.050798258,0.601941748,0.096418733,0.34918024,0.447346251
average,0.802823028,0.757663553,0.530256761,0.865878484,0.586810511,0.777525146,0.682167829,0.736133337
dev,0.120264409,0.078756349,0.232686672,0.213389794,0.19393729,0.173071795,0.135811789,0.090879759
