,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.865671642,0.605442177,0.785714286,0.729508197,0.823757263,0.661710037,0.74273365,0.768251273
2,0.876832845,0.65805169,0.776623377,0.797590361,0.82369146,0.721132898,0.772412179,0.783966245
3,0.834656085,0.741339492,0.849259758,0.719730942,0.841894596,0.730375427,0.786135012,0.800672834
4,0.841634738,0.71990172,0.852522639,0.70263789,0.847043702,0.711165049,0.779104375,0.8
5,0.846424385,0.70694864,0.881562882,0.64109589,0.863636364,0.672413793,0.768025078,0.807432432
6,0.901990812,0.626692456,0.753196931,0.835051546,0.820905923,0.716022099,0.768464011,0.78034188
7,0.849331713,0.723756906,0.874843554,0.678756477,0.86189889,0.700534759,0.781216825,0.810970464
8,0.869822485,0.632612967,0.758709677,0.785365854,0.810475534,0.700761697,0.755618616,0.767932489
9,0.876325088,0.681229773,0.715728716,0.857433809,0.787926926,0.759242561,0.773584743,0.774493243
10,0.867897727,0.703092784,0.809271523,0.785714286,0.837559973,0.74211099,0.789835481,0.800672834
11,0.883333333,0.677419355,0.809160305,0.789473684,0.844621514,0.729166667,0.78689409,0.802531646
12,0.852205006,0.742424242,0.89375,0.66395664,0.872483221,0.701001431,0.786742326,0.821214713
13,0.838254172,0.722358722,0.852480418,0.7,0.845307443,0.711003628,0.778155535,0.798482293
14,0.804571429,0.830188679,0.928759894,0.606896552,0.862216779,0.701195219,0.781705999,0.811399832
15,0.814006889,0.798742138,0.917205692,0.610576923,0.862530414,0.692098093,0.777314253,0.809924306
16,0.993939394,0.417721519,0.215223097,0.997674419,0.353829558,0.588881263,0.47135541,0.497483221
17,0.923076923,0.613168724,0.605042017,0.925465839,0.730964467,0.737623762,0.734294115,0.73433584
18,0.897087379,0.65327381,0.664748201,0.892276423,0.763636364,0.754295533,0.758965948,0.759056445
avarage,0.868725669,0.6807981,0.77465572,0.762178096,0.803021133,0.70726305,0.755142092,0.773842333
dev,0.043366464,0.089433339,0.16412333,0.109856833,0.118109859,0.039152547,0.072465843,0.072510722
