,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0,0.743436358,0,1,0,0.852840259,0.42642013,0.743436358
2,0,0.763612218,0,1,0,0.865963855,0.432981928,0.763612218
3,0,0.815095583,0,1,0,0.898129653,0.449064827,0.815095583
4,0,0.857613711,0,1,0,0.923349894,0.461674947,0.857613711
5,0.769230769,0.762412529,0.013831259,0.998690528,0.027173913,0.864701436,0.445937675,0.762441938
6,0.885245902,0.7119918,0.060200669,0.996652319,0.112734864,0.830609805,0.471672335,0.715528782
7,0.888888889,0.790193462,0.01255887,0.999578059,0.024767802,0.882637854,0.453702828,0.790488859
8,0.5,0.793402199,0.001610306,0.999580185,0.003210273,0.88463682,0.443923546,0.793206793
9,0.666666667,0.812956811,0.003539823,0.999591503,0.007042254,0.896665445,0.451853849,0.812811152
10,0.75,0.79151475,0.009448819,0.99916318,0.018662519,0.883299427,0.450980973,0.791404959
11,0,0.829575597,0,1,0,0.906850308,0.453425154,0.829575597
12,0,0.864218912,0,1,0,0.927164623,0.463582311,0.864218912
13,1,0.863872255,0.002923977,1,0.005830904,0.926965089,0.466397996,0.863926576
14,1,0.863958432,0.003460208,1,0.006896552,0.927014698,0.466955625,0.864022663
15,0,0.868497954,0,1,0,0.92962152,0.46481076,0.868497954
16,0,0.867074102,0,1,0,0.928805237,0.464402619,0.867074102
17,0,0.865555556,0,1,0,0.927933294,0.463966647,0.865555556
18,0,0.811860941,0,1,0,0.896162528,0.448081264,0.811860941
average,0.358890679,0.815380176,0.005976329,0.999625321,0.011462171,0.89740843,0.454435301,0.815576259
dev,0.427303366,0.048597339,0.01425643,0.000826622,0.026773452,0.030139612,0.01224283,0.048164907
