,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.678500986,0.714285714,0.996138996,0.02004008,0.807195933,0.038986355,0.423091144,0.678827362
2,0.691157347,0,1,0,0.817377932,0,0.408688966,0.691157347
3,0.946452477,0.457036115,0.618547682,0.901719902,0.748148148,0.60661157,0.677379859,0.692903226
4,1,0.242978445,0.016129032,1,0.031746032,0.39096164,0.211353836,0.252258065
5,1,0.317449664,0.046860356,1,0.089525515,0.481915436,0.285720475,0.33961039
6,0.975903614,0.363825364,0.081081081,0.996204934,0.149722736,0.532994924,0.34135883,0.397116645
7,1,0.321500335,0.040719697,1,0.078252957,0.486568677,0.282410817,0.340494792
8,0.988764045,0.318074191,0.234042553,0.992610837,0.378494624,0.481769277,0.43013195,0.434810952
9,0.992565056,0.305511811,0.232375979,0.994871795,0.376586742,0.46746988,0.422028311,0.42560104
10,0.98989899,0.3281366,0.178019982,0.995495495,0.301770593,0.493579006,0.397674799,0.412944984
11,0.980079681,0.311093871,0.216931217,0.987684729,0.355234657,0.473156342,0.4141955,0.42012987
12,1,0.244334278,0.054915855,1,0.10411419,0.392714855,0.248414522,0.276119403
13,1,0.264253394,0.177125506,1,0.30094583,0.418038654,0.359492242,0.36484375
14,0.774791474,0.666666667,0.998805257,0.008163265,0.872651357,0.016129032,0.444390195,0.774491682
15,0.775486827,1,1,0.005076142,0.873548387,0.01010101,0.441824699,0.775743707
16,0.77245509,0,1,0,0.871621622,0,0.435810811,0.77245509
17,0.756521739,0,1,0,0.861386139,0,0.430693069,0.756521739
18,0.712,0,1,0,0.831775701,0,0.41588785,0.712
average,0.890809851,0.325285914,0.493982955,0.605659288,0.491672172,0.293944259,0.392808215,0.528779447
dev,0.1291138,0.263792345,0.434725298,0.49377171,0.333212757,0.238578626,0.101444367,0.194398469
