,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.776119403,0.746609565,0.226579521,0.972118959,0.350758853,0.844570044,0.597664449,0.749185668
2,0.880434783,0.710235131,0.162,0.989402697,0.273648649,0.82689211,0.550270379,0.720416125
3,0.93877551,0.741505663,0.105990783,0.997311828,0.19047619,0.850592281,0.520534236,0.747741935
4,1,0.755326017,0.005249344,1,0.010443864,0.860610519,0.435527191,0.755641522
5,0.888888889,0.687108014,0.176146789,0.987975952,0.294027565,0.810521989,0.552274777,0.701231367
6,0.919254658,0.677867056,0.251273345,0.98618491,0.394666667,0.803463203,0.599064935,0.703267974
7,1,0.743069642,0.138321995,1,0.243027888,0.852598914,0.547813401,0.753246753
8,0.955555556,0.728552279,0.095982143,0.998163453,0.174442191,0.842309182,0.508375687,0.735198439
9,1,0.689542484,0.024640657,1,0.048096192,0.816247582,0.432171887,0.691958495
10,1,0.667966212,0.019193858,1,0.037664783,0.800934944,0.419299863,0.670109748
11,1,0.719948018,0.009195402,1,0.018223235,0.837174159,0.427698697,0.720674012
12,1,0.778932779,0.00623053,1,0.012383901,0.875730425,0.444057163,0.779238754
13,0.865671642,0.820101351,0.21402214,0.990816327,0.343195266,0.8974122,0.620303733,0.822541966
14,0.888888889,0.818818819,0.209606987,0.992718447,0.339222615,0.897421832,0.618322223,0.822412156
15,0.797752809,0.862433862,0.405714286,0.973134328,0.537878788,0.914446003,0.726162395,0.855621302
16,0.807017544,0.850515464,0.345864662,0.97826087,0.484210526,0.909926471,0.697068498,0.846635368
17,0.8,0.828915663,0.144578313,0.991354467,0.244897959,0.902887139,0.573892549,0.827906977
18,0,0.755656109,0,1,0,0.860824742,0.430412371,0.755656109
average,0.862131093,0.754616896,0.141143931,0.992080124,0.222070285,0.855809097,0.538939691,0.758815815
dev,0.229501058,0.060271782,0.120960686,0.009434322,0.171354321,0.037091036,0.094708407,0.055769239
