,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.995327103,0.389099167,0.208823529,0.998058252,0.345218801,0.559912854,0.452565827,0.473615635
2,0.984790875,0.396078431,0.25170068,0.992141454,0.400928793,0.566143498,0.483536145,0.496749025
3,0.996575342,0.36645469,0.267463235,0.997835498,0.42173913,0.536046512,0.478892821,0.48516129
4,0.988023952,0.353327855,0.295434199,0.99078341,0.454858718,0.520896426,0.487877572,0.490006447
5,0.974874372,0.43930131,0.376699029,0.980506823,0.543417367,0.606755127,0.575086247,0.577446533
6,0.964879852,0.546006067,0.537590113,0.966010733,0.69047619,0.697674419,0.694075305,0.694117647
7,0.971615721,0.480591497,0.441906653,0.975609756,0.607508532,0.643962848,0.62573569,0.626623377
8,0.993846154,0.391089109,0.304429783,0.995798319,0.466089466,0.561611374,0.51385042,0.518542615
9,0.983425414,0.400847458,0.334901223,0.987473904,0.499649123,0.570223026,0.534936074,0.537613489
10,0.996453901,0.413575375,0.274414063,0.998095238,0.430321593,0.584821429,0.507571511,0.519690123
11,0.995633188,0.385844749,0.220289855,0.998031496,0.360759494,0.556531284,0.458645389,0.476344783
12,0.994623656,0.334392375,0.180840665,0.997630332,0.306038048,0.500892326,0.403465187,0.419377163
13,0.99009901,0.333651096,0.22246941,0.994318182,0.363306085,0.499643112,0.431474599,0.439648281
14,0.994186047,0.332576617,0.225296443,0.996598639,0.367346939,0.498723404,0.433035172,0.440645774
15,0.725443787,0,1,0,0.840877915,0,0.420438957,0.725443787
16,0.719874804,0,1,0,0.837124659,0,0.418562329,0.719874804
17,0.720930233,0,1,0,0.837837838,0,0.418918919,0.720930233
18,0.647058824,0,1,0,0.785714286,0,0.392857143,0.647058824
average,0.924314568,0.309046433,0.452347716,0.770494002,0.531067388,0.439102091,0.485084739,0.556049435
dev,0.122899574,0.177831124,0.31346775,0.423875868,0.18774201,0.246536468,0.080774362,0.105766009
