,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.891304348,0.828673835,0.339779006,0.987190436,0.492,0.90101325,0.696506625,0.834311807
2,0.888489209,0.771721959,0.460820896,0.969246032,0.606879607,0.859278804,0.733079205,0.792746114
3,0.811797753,0.813186813,0.566666667,0.934888241,0.66743649,0.869801085,0.768618787,0.812865497
4,0.815384615,0.863636364,0.549222798,0.95826087,0.656346749,0.908491344,0.782419047,0.85546875
5,0.946859903,0.808526552,0.433628319,0.98992674,0.594840668,0.890078221,0.742459445,0.827072539
6,0.912280702,0.824367089,0.539419087,0.976569822,0.677966102,0.894036894,0.786001498,0.840542285
7,0.94488189,0.726501767,0.236686391,0.993236715,0.378548896,0.839183673,0.608866285,0.744487678
8,0.897142857,0.801173881,0.36682243,0.983783784,0.520729685,0.883137889,0.701933787,0.812093628
9,0.894308943,0.815286624,0.296495957,0.988841202,0.44534413,0.893716059,0.669530094,0.821614583
10,0.71454219,0.790010194,0.658940397,0.829764454,0.685615848,0.809399478,0.747507663,0.762678804
11,0.671084337,0.861971831,0.850381679,0.691525424,0.75016835,0.767398119,0.758783235,0.759090909
12,0.924460432,0.711145997,0.4112,0.977346278,0.569213732,0.823262154,0.696237943,0.74935567
13,0,0.651192779,0,1,0,0.788754393,0.394377196,0.651192779
14,1,0.645316804,0.04805915,1,0.091710758,0.784428631,0.438069695,0.651556157
15,0.867768595,0.761904762,0.461538462,0.960784314,0.602582496,0.849864499,0.726223498,0.782061369
16,0.859223301,0.762342135,0.4609375,0.958152958,0.6,0.849104859,0.72455243,0.780872795
17,0.860262009,0.8046875,0.611801242,0.941499086,0.715063521,0.867733783,0.791398652,0.819332566
18,0.872611465,0.767123288,0.53515625,0.951456311,0.663438257,0.849404117,0.756421187,0.791916168
average,0.82068903,0.77826501,0.434864235,0.949581815,0.539882516,0.851560403,0.695721459,0.782736672
dev,0.219458037,0.062083187,0.20566311,0.075200581,0.203814383,0.042483447,0.111482491,0.057454155
