,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.982922201,0.355864811,0.444253859,0.975476839,0.611931483,0.521485798,0.56670864,0.571428571
2,0.961538462,0.545130641,0.637996219,0.944444444,0.767045455,0.69126506,0.729155257,0.734455959
3,0.919191919,0.574468085,0.63891675,0.896678967,0.753846154,0.700288184,0.727067169,0.729694607
4,0.981707317,0.375,0.298978644,0.986928105,0.458362989,0.543491302,0.500927146,0.504557292
5,0.969004894,0.489795918,0.555659495,0.96,0.706302021,0.648648649,0.677475335,0.680051813
6,0.993993994,0.389802632,0.308480895,0.995798319,0.47083926,0.560283688,0.515561474,0.519690123
7,0.995012469,0.453111306,0.390029326,0.996146435,0.560393258,0.622891566,0.591642412,0.594033722
8,0.94829932,0.521793275,0.644773358,0.916849015,0.767621145,0.665079365,0.716350255,0.725617685
9,0.982646421,0.377674419,0.403743316,0.980676329,0.572331017,0.545332438,0.558831727,0.559244792
10,0.915966387,0.514316013,0.54336989,0.906542056,0.682102628,0.656292287,0.669197458,0.66970091
11,0.87518797,0.683428571,0.677532014,0.878120411,0.763779528,0.768637532,0.76620853,0.766233766
12,0.903597122,0.677946324,0.694690265,0.896604938,0.785490932,0.772093023,0.778791978,0.778994845
13,1,0.441778405,0.144864865,1,0.253068933,0.612824278,0.432946605,0.490006447
14,1,0.429355281,0.023474178,1,0.04587156,0.600767754,0.323319657,0.437077131
15,0.911591356,0.654855643,0.63823934,0.917279412,0.750809061,0.764165391,0.757487226,0.757671125
16,0.87007874,0.690685413,0.715210356,0.85620915,0.785079929,0.76459144,0.774835684,0.775301764
17,0.867256637,0.71942446,0.770137525,0.833333333,0.815816857,0.772200772,0.794008815,0.796317606
18,0.862464183,0.70846395,0.763959391,0.824817518,0.810228802,0.76222597,0.786227386,0.788922156
average,0.941136633,0.533494175,0.516350538,0.931439182,0.631162279,0.665142472,0.648152375,0.659944462
dev,0.050543436,0.128226637,0.21580449,0.058965648,0.210862703,0.088932376,0.138686762,0.11967494
