,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.884297521,0.766619519,0.244851259,0.987249545,0.383512545,0.863057325,0.623284935,0.775895765
2,0.92173913,0.77512298,0.248826291,0.991906475,0.391866913,0.870216963,0.631041938,0.786085826
3,0.895238095,0.834602076,0.282282282,0.99096138,0.429223744,0.90608565,0.667654697,0.838709677
4,0.95,0.824619457,0.125412541,0.998397436,0.221574344,0.903225806,0.562400075,0.827852998
5,0.890322581,0.760086455,0.292993631,0.984141791,0.440894569,0.857723577,0.649309073,0.773169151
6,0.861313869,0.765923567,0.445283019,0.962,0.587064677,0.852836879,0.719950778,0.783006536
7,0.888235294,0.830656934,0.394255875,0.98357822,0.546112116,0.900672734,0.723392425,0.837012987
8,0.958762887,0.786805556,0.2325,0.99648197,0.374245473,0.879317035,0.626781254,0.797657775
9,0.964705882,0.78242965,0.205513784,0.997375328,0.338842975,0.876923077,0.607883026,0.792477302
10,0.966666667,0.763536669,0.201388889,0.997314235,0.333333333,0.864906832,0.599120083,0.775338928
11,0.9625,0.812713602,0.219373219,0.997483221,0.357308585,0.89566855,0.626488567,0.820479585
12,0.91025641,0.859351988,0.270992366,0.994037479,0.417647059,0.921800948,0.669724003,0.862116992
13,0.819548872,0.908025248,0.516587678,0.976721629,0.63372093,0.941121495,0.787421213,0.898550725
14,0.8,0.908008658,0.53038674,0.972190035,0.637873754,0.939003917,0.788438836,0.89559387
15,0.765306122,0.91598916,0.547445255,0.967095851,0.638297872,0.940848991,0.789573432,0.898325359
16,0.759493671,0.916515426,0.566037736,0.963740458,0.648648649,0.939534884,0.794091766,0.896825397
17,0.804878049,0.902631579,0.471428571,0.977207977,0.594594595,0.938440492,0.766517544,0.893111639
18,1,0.817307692,0.095238095,1,0.173913043,0.899470899,0.536691971,0.820754717
average,0.889070281,0.829497012,0.327266513,0.985437946,0.452704176,0.899492003,0.67609809,0.831831402
dev,0.073692967,0.05854284,0.150874272,0.012744307,0.147693757,0.031543135,0.083183093,0.047977554
