,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.808149406,0.683473389,0.893896714,0.519148936,0.84886313,0.590084643,0.719473887,0.779153094
2,0.778108712,0.764102564,0.957836847,0.333333333,0.858668858,0.464174455,0.661421656,0.7763329
3,0.888111888,0.603448276,0.863211555,0.656836461,0.875484705,0.629011553,0.752248129,0.813548387
4,0.985024958,0.366315789,0.495812395,0.974789916,0.659610028,0.532517215,0.596063621,0.606060606
5,0.9771529,0.441478439,0.505454545,0.970654628,0.666267226,0.60691602,0.636591623,0.639014906
6,0.961165049,0.487684729,0.487684729,0.961165049,0.647058824,0.647058824,0.647058824,0.647058824
7,1,0.394449117,0.327731092,1,0.493670886,0.565741858,0.529706372,0.532467532
8,0.975088968,0.421538462,0.492805755,0.967058824,0.654719235,0.587142857,0.620931046,0.623942746
9,0.993690852,0.335510204,0.279007972,0.995157385,0.435684647,0.501831502,0.468758075,0.470817121
10,0.98615917,0.353174603,0.259090909,0.991091314,0.410367171,0.520772382,0.465569776,0.471271788
11,0.990049751,0.36196319,0.353463588,0.990407674,0.520942408,0.530166881,0.525554644,0.525599482
12,0.995515695,0.272052762,0.200904977,0.996978852,0.334337349,0.42746114,0.380899245,0.384401114
13,0.968695652,0.380809595,0.574226804,0.933823529,0.721035599,0.541001065,0.631018332,0.652979066
14,0.88742515,0.602870813,0.899271845,0.572727273,0.893309222,0.587412587,0.740360905,0.83045977
15,0.888544892,0.547368421,0.86969697,0.590909091,0.879019908,0.568306011,0.72366296,0.811004785
16,0.894632207,0.582677165,0.894632207,0.582677165,0.894632207,0.582677165,0.738654686,0.831746032
17,0.86908078,0.64516129,0.934131737,0.459770115,0.9004329,0.536912752,0.718672826,0.836104513
18,0.795238095,1,1,0.044444444,0.885941645,0.085106383,0.485524014,0.797169811
average,0.92454634,0.513559934,0.627158924,0.752276333,0.698891442,0.528016405,0.613453923,0.668285138
dev,0.07497182,0.18377066,0.281715741,0.289675359,0.192554326,0.123401314,0.113274367,0.14709228
