,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.882352941,0.730208333,0.148026316,0.991513437,0.253521127,0.841031794,0.54727646,0.737883284
2,0.926829268,0.764014467,0.127090301,0.996462264,0.223529412,0.864892528,0.54421097,0.76983435
3,0.745098039,0.794093519,0.131487889,0.986748216,0.223529412,0.88,0.551764706,0.792125984
4,0.820512821,0.821018062,0.226950355,0.986193294,0.355555556,0.896057348,0.625806452,0.820987654
5,0.851851852,0.753488372,0.409799555,0.961995249,0.553383459,0.845070423,0.699226941,0.769945778
6,0.859375,0.764220183,0.390995261,0.968604651,0.537459283,0.854358974,0.695909129,0.778471139
7,0.873684211,0.813368056,0.27852349,0.987355111,0.422391858,0.891956211,0.657174034,0.817963111
8,1,0.747832939,0.041916168,1,0.08045977,0.855725879,0.468092825,0.750584567
9,0.9,0.759871072,0.131195335,0.994725738,0.229007634,0.86158063,0.545294132,0.765298218
10,0.853658537,0.813856427,0.23890785,0.987841945,0.373333333,0.892448513,0.632890923,0.81640625
11,0.944444444,0.803968254,0.064393939,0.999013807,0.120567376,0.890941073,0.505754224,0.805946792
12,0.918918919,0.774590164,0.110032362,0.996835443,0.196531792,0.871771218,0.534151505,0.778838504
13,0.80952381,0.678853755,0.365234375,0.939808482,0.503364738,0.788296041,0.645830389,0.70313757
14,0.835051546,0.737211635,0.481188119,0.938697318,0.610552764,0.825842697,0.71819773,0.75931677
15,0.933333333,0.692667707,0.034313725,0.998875141,0.066193853,0.818056195,0.442125024,0.695451041
16,0.95,0.715918367,0.140740741,0.996590909,0.24516129,0.833254157,0.539207724,0.726848249
17,0.9,0.696540881,0.02278481,0.998872604,0.044444444,0.820750347,0.432597396,0.698127925
18,0,0.704528012,0,1,0,0.82665466,0.41332733,0.704528012
average,0.833590818,0.753680567,0.185754477,0.985007423,0.279943728,0.853260483,0.566602105,0.760649733
dev,0.216539373,0.044628175,0.14610734,0.019668609,0.187486518,0.030819234,0.094984415,0.042217051
