,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.721327968,0.823529412,0.995833333,0.048109966,0.83663944,0.090909091,0.463774265,0.723046489
2,0.72854641,1,1,0.015873016,0.84295846,0.03125,0.43710423,0.72972973
3,0.742676168,1,1,0.021084337,0.852339846,0.041297935,0.44681889,0.744094488
4,0.759129759,1,1,0.028213166,0.863074205,0.054878049,0.458976127,0.760802469
5,0.716950527,0.74137931,0.983314794,0.109693878,0.829268293,0.191111111,0.510189702,0.718048025
6,0.815732759,0.703389831,0.878190255,0.592857143,0.845810056,0.643410853,0.744610454,0.784711388
7,0.920704846,0.522968198,0.698996656,0.845714286,0.794676806,0.64628821,0.720482508,0.740176423
8,0.980392157,0.390776699,0.472689076,0.972809668,0.6378455,0.557575758,0.597710629,0.601714731
9,1,0.283248731,0.302371542,1,0.464339909,0.441455696,0.452897803,0.453137103
10,0.992565056,0.302670623,0.274691358,0.993506494,0.430298147,0.46398787,0.447143008,0.44765625
11,0.981818182,0.350503919,0.394572025,0.978125,0.562918838,0.516075845,0.539497342,0.540688576
12,0.986486486,0.340473506,0.384210526,0.983713355,0.553030303,0.505862647,0.529446475,0.530628481
13,0.881422925,0.588842975,0.770737327,0.76,0.822372465,0.663562282,0.742967373,0.767497989
14,0.857843137,0.597633136,0.658720201,0.822810591,0.745209368,0.692373608,0.718791488,0.721273292
15,0.905096661,0.582417582,0.628815629,0.887029289,0.742074928,0.703150912,0.72261292,0.723978412
16,1,0.409881061,0.229390681,1,0.373177843,0.581440623,0.477309233,0.498054475
17,0.964285714,0.362521891,0.156431054,0.988066826,0.269192423,0.530429212,0.399810817,0.428237129
18,0,0.334612433,0,1,0,0.501437608,0.250718804,0.334612433
average,0.830832153,0.574158295,0.601609137,0.669311501,0.636957046,0.436472073,0.536714559,0.624893771
dev,0.233430028,0.252059777,0.334107622,0.412631346,0.247104357,0.240254908,0.141464392,0.144854745
