,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.793209877,0.841735053,0.655612245,0.914649682,0.717877095,0.876678877,0.797277986,0.82837723
2,0.781163435,0.823600973,0.660421546,0.895502646,0.715736041,0.858048162,0.786892101,0.810650888
3,0.783109405,0.845112782,0.798434442,0.832592593,0.790697674,0.83880597,0.814751822,0.817875211
4,0.730508475,0.859296482,0.836893204,0.763392857,0.780090498,0.808510638,0.794300568,0.795282224
5,0.688766114,0.860719875,0.807775378,0.764951321,0.743538767,0.810014728,0.776776747,0.781725888
6,0.736141907,0.881284916,0.79616307,0.841333333,0.764976959,0.860845839,0.812911399,0.825192802
7,0.71722365,0.878940731,0.744,0.863692689,0.730366492,0.87125,0.800808246,0.82571912
8,0.779141104,0.793465578,0.589327146,0.904255319,0.671070013,0.845245494,0.758157754,0.789518174
9,0.80787037,0.791722296,0.691089109,0.877218935,0.74493063,0.832280702,0.788605666,0.797629128
10,0.862068966,0.801614764,0.615212528,0.940460081,0.718015666,0.865504359,0.791760012,0.817875211
11,0.829581994,0.798165138,0.594470046,0.929238985,0.69261745,0.85872918,0.775673315,0.806424345
12,0.799426934,0.796817625,0.626966292,0.902912621,0.702770781,0.846553966,0.774662374,0.797598628
13,0.842783505,0.779171895,0.650099404,0.910557185,0.734006734,0.839756592,0.786881663,0.8
14,0.822072072,0.815261044,0.725646123,0.885174419,0.770855333,0.848780488,0.80981791,0.817800168
15,0.730684327,0.884196185,0.795673077,0.841763943,0.761795167,0.862458472,0.812126819,0.825610783
16,0.841924399,0.802222222,0.579196217,0.940104167,0.68627451,0.865707434,0.775990972,0.811922754
17,0.917808219,0.74616172,0.44766147,0.975903614,0.601796407,0.845707657,0.723752032,0.777591973
18,0.911504425,0.667287978,0.223913043,0.986225895,0.359511344,0.795997777,0.57775456,0.690556492
average,0.79861051,0.814820959,0.657697463,0.887218349,0.704829309,0.846159796,0.775494553,0.800963946
dev,0.063801274,0.05358937,0.148674358,0.061864361,0.09726574,0.022536024,0.054073885,0.031577002
