,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.880769231,0.659949622,0.835766423,0.738028169,0.857677903,0.696808511,0.777243207,0.806287171
2,0.907360406,0.663291139,0.843160377,0.782089552,0.87408313,0.717808219,0.795945674,0.825866441
3,0.851590106,0.738872404,0.891491985,0.664,0.871084337,0.699438202,0.78526127,0.819561551
4,0.814159292,0.869257951,0.952134541,0.594202899,0.877757901,0.705882353,0.791820127,0.827295703
5,0.835978836,0.860759494,0.959902795,0.568245125,0.893665158,0.684563758,0.789114458,0.840947547
6,0.877300613,0.735795455,0.88490099,0.721448468,0.881084412,0.728551336,0.804817874,0.83461868
7,0.897466828,0.694050992,0.873239437,0.742424242,0.885187388,0.717423133,0.801305261,0.836717428
8,0.869976359,0.741839763,0.894289186,0.694444444,0.881965249,0.717360115,0.799662682,0.833474218
9,0.832342449,0.797058824,0.910273082,0.65776699,0.869565217,0.720744681,0.795154949,0.822184589
10,0.828775268,0.756521739,0.892445583,0.644444444,0.859432799,0.696,0.7777164,0.807757167
11,0.860879905,0.733918129,0.888343558,0.682065217,0.874396135,0.707042254,0.790719194,0.824175824
12,0.882282996,0.741538462,0.898305085,0.708823529,0.890221956,0.72481203,0.807516993,0.843053173
13,0.844262295,0.773413897,0.905778894,0.658097686,0.873939394,0.711111111,0.792525253,0.824472574
14,0.831395349,0.809667674,0.919023136,0.648910412,0.873015873,0.720430108,0.79672299,0.825356843
15,0.868983957,0.665148064,0.815558344,0.748717949,0.841423948,0.704463209,0.772943578,0.793597304
16,0.881953867,0.676211454,0.815558344,0.779187817,0.847457627,0.724056604,0.785757115,0.803526448
17,0.902046784,0.68359375,0.792041078,0.839328537,0.843472317,0.753498385,0.798485351,0.808528428
18,0.924825175,0.649837134,0.711021505,0.902714932,0.803951368,0.755681818,0.779816593,0.782462057
average,0.866241651,0.736151441,0.871290797,0.709718912,0.86663234,0.715870879,0.791251609,0.819993508
dev,0.031022655,0.066849581,0.060489008,0.083104873,0.021744595,0.018311529,0.00987633,0.016540197
