,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.970588235,0.774278215,0.071274298,0.999322493,0.132796781,0.872522922,0.502659851,0.777720474
2,0.882352941,0.812673451,0.035714286,0.99886299,0.068649886,0.896199949,0.482424917,0.813217072
3,0.428571429,0.842474227,0.007792208,0.998045921,0.015306122,0.913685152,0.464495637,0.841282895
4,0.695652174,0.853836784,0.042553191,0.996682464,0.080200501,0.919746337,0.499973419,0.85237329
5,1,0.736241337,0.013719512,1,0.027067669,0.848086405,0.437577037,0.737205524
6,0.846153846,0.72951832,0.016467066,0.998872604,0.032305433,0.843207233,0.437756333,0.73013923
7,1,0.811661074,0.008830022,1,0.01750547,0.89604075,0.45677311,0.811976549
8,1,0.804777595,0.008368201,1,0.01659751,0.891830215,0.454213862,0.805098684
9,0.5,0.816543817,0.008849558,0.997997998,0.017391304,0.898198198,0.457794751,0.815510204
10,0.6,0.835110747,0.014705882,0.998039216,0.028708134,0.909334524,0.469021329,0.834150327
11,1,0.856319473,0.002857143,1,0.005698006,0.922599246,0.464148626,0.856378601
12,1,0.843723673,0.015915119,1,0.031331593,0.915238748,0.47328517,0.844117647
13,0.882882883,0.685537373,0.121137206,0.991682662,0.213043478,0.810669456,0.511856467,0.694772344
14,0.834710744,0.664095973,0.114124294,0.987261146,0.200795229,0.794057377,0.497426303,0.672505092
15,0.909090909,0.729541735,0.01490313,0.999439462,0.029325513,0.843424787,0.43637515,0.730346232
16,1,0.743243243,0.012598425,1,0.024883359,0.852713178,0.438798269,0.744081633
17,0,0.767100977,0,1,0,0.868202765,0.434101382,0.767100977
18,0,0.775050302,0,1,0,0.873271367,0.436635684,0.775050302
average,0.752777953,0.78231824,0.028322752,0.998122609,0.052311444,0.876057145,0.464184294,0.783501504
deev,0.326901391,0.057976139,0.036806838,0.003378373,0.064826376,0.037753223,0.025737578,0.055706525
