,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.72754491,0.777777778,0.994542974,0.048780488,0.840345821,0.091803279,0.46607455,0.728431373
2,0.734320557,0.857142857,0.998815166,0.019292605,0.846385542,0.037735849,0.442060696,0.735064935
3,0.745082612,1,1,0.021148036,0.853922453,0.041420118,0.447671286,0.746478873
4,0.757716049,1,1,0.01875,0.862159789,0.036809816,0.449484803,0.758832565
5,0.718072289,0.775510204,0.987845304,0.097686375,0.831627907,0.173515982,0.502571944,0.720247295
6,0.813504823,0.693409742,0.876443418,0.581730769,0.843802112,0.632679739,0.738240925,0.780811232
7,0.939344262,0.492138365,0.639508929,0.894285714,0.760956175,0.634888438,0.697922307,0.711075441
8,0.982261641,0.384615385,0.463874346,0.975609756,0.630156472,0.551724138,0.590940305,0.594699922
9,0.995215311,0.319173364,0.412289395,0.992857143,0.583041345,0.48305821,0.533049778,0.538401862
10,0.993730408,0.322916667,0.327817994,0.993589744,0.493001555,0.487421384,0.490211469,0.49022674
11,0.97826087,0.339207048,0.375,0.974683544,0.542168675,0.503267974,0.522718324,0.523510972
12,0.979214781,0.352798054,0.443514644,0.969899666,0.610511159,0.517395183,0.563953171,0.568924303
13,0.845070423,0.608695652,0.824742268,0.643243243,0.834782609,0.625492773,0.730137691,0.77071601
14,0.911937378,0.575289575,0.585427136,0.908536585,0.713083397,0.704491726,0.708787561,0.708850932
15,0.832,0.652650823,0.766584767,0.739130435,0.797953964,0.693203883,0.745578924,0.756360833
16,1,0.37670068,0.129453682,1,0.229232387,0.54725139,0.388241888,0.429571984
17,0,0.326053042,0,1,0,0.491764706,0.245882353,0.326053042
18,0.962264151,0.362573099,0.117919075,0.99086758,0.210092688,0.53088685,0.370489769,0.411358404
average,0.828641137,0.567591796,0.607987728,0.659449538,0.637956892,0.432489524,0.535223208,0.627756484
dev,0.23270566,0.238361556,0.339309341,0.413476718,0.258665644,0.238511004,0.143110811,0.144477071
