,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.812030075,0.822761194,0.532019704,0.946351931,0.642857143,0.880239521,0.761548332,0.820627803
2,0.759398496,0.859232176,0.56741573,0.93625498,0.649517685,0.896091516,0.7728046,0.839705882
3,0.786885246,0.867021277,0.561403509,0.949514563,0.655290102,0.90639481,0.780842456,0.852769679
4,0.772277228,0.880952381,0.527027027,0.957486137,0.626506024,0.917626218,0.772066121,0.865021771
5,0.856164384,0.832713755,0.581395349,0.955223881,0.692520776,0.889771599,0.791146187,0.837719298
6,0.827380952,0.828402367,0.615044248,0.935412027,0.705583756,0.878661088,0.792122422,0.828148148
7,0.763157895,0.880392157,0.655367232,0.925773196,0.705167173,0.902512563,0.803839868,0.85347432
8,0.751724138,0.845283019,0.570680628,0.925619835,0.648809524,0.883629191,0.766219358,0.825185185
9,0.768211921,0.855787476,0.604166667,0.927983539,0.67638484,0.890424482,0.783404661,0.836283186
10,0.738562092,0.891428571,0.664705882,0.921259843,0.699690402,0.906098742,0.802894572,0.856932153
11,0.776119403,0.843575419,0.553191489,0.937888199,0.645962733,0.888235294,0.767099014,0.830104322
12,0.820224719,0.801405975,0.392473118,0.966101695,0.530909091,0.876080692,0.703494891,0.803951368
13,0.803680982,0.76122449,0.528225806,0.920987654,0.637469586,0.833519553,0.73549457,0.771822358
14,0.764227642,0.744779582,0.630872483,0.846965699,0.691176471,0.792592593,0.741884532,0.751846381
15,0.855,0.810526316,0.655172414,0.929951691,0.74186551,0.866141732,0.804003621,0.823703704
16,0.831858407,0.829596413,0.712121212,0.906862745,0.767346939,0.866510539,0.816928739,0.830357143
17,0.777777778,0.846666667,0.717213115,0.883990719,0.746268657,0.86492622,0.805597438,0.823703704
18,0.771300448,0.841304348,0.702040816,0.883561644,0.735042735,0.861915367,0.798479051,0.818448023
average,0.790887878,0.835725199,0.598363135,0.925399443,0.677687175,0.877853984,0.77777058,0.826100246
dev,0.03535229,0.038565767,0.081269665,0.029699544,0.055678397,0.02921276,0.02902455,0.028116745
