,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.897959184,0.776061776,0.602739726,0.952606635,0.721311475,0.855319149,0.788315312,0.80952381
2,0.85840708,0.811764706,0.668965517,0.928251121,0.751937984,0.866108787,0.809023386,0.826086957
3,0.837209302,0.882845188,0.794117647,0.909482759,0.81509434,0.89596603,0.855530185,0.866847826
4,0.812903226,0.902777778,0.857142857,0.870535714,0.834437086,0.886363636,0.860400361,0.865229111
5,0.631355932,0.88372093,0.881656805,0.635983264,0.735802469,0.739659367,0.737730918,0.737745098
6,0.623318386,0.889273356,0.812865497,0.753665689,0.705583756,0.815873016,0.760728386,0.7734375
7,0.649746193,0.942643392,0.847682119,0.845637584,0.735632184,0.891509434,0.813570809,0.846153846
8,0.788617886,0.849484536,0.72659176,0.887931034,0.756335283,0.868282403,0.812308843,0.829001368
9,0.709401709,0.898387097,0.72489083,0.8912,0.717062635,0.894779116,0.805920876,0.846604215
10,0.747081712,0.868458274,0.673684211,0.904270987,0.708487085,0.886002886,0.797244985,0.836099585
11,0.895833333,0.787878788,0.290540541,0.987341772,0.43877551,0.876404494,0.657590002,0.797421731
12,0.90990991,0.767008388,0.287749288,0.987995198,0.437229437,0.863588667,0.650409052,0.780405405
13,0.856557377,0.667711599,0.39658444,0.948071217,0.542153048,0.783568363,0.662860705,0.706078268
14,0.862973761,0.771871539,0.589641434,0.936827957,0.700591716,0.846387371,0.773489543,0.796950241
15,0.809322034,0.773216031,0.451536643,0.946172249,0.579666161,0.850995159,0.71533066,0.779984114
16,0.824817518,0.775950668,0.509009009,0.940224159,0.629526462,0.850225225,0.739875844,0.786688051
17,0.959770115,0.753975678,0.388372093,0.991389914,0.552980132,0.8565356,0.704757866,0.782783588
18,0.893203883,0.771996216,0.432941176,0.973747017,0.583201268,0.86121372,0.722207494,0.791765637
average,0.809354919,0.820834774,0.607595089,0.905074126,0.663656002,0.854932357,0.759294179,0.80326702
dev,0.099911559,0.071204265,0.198277493,0.089098382,0.117253232,0.040191452,0.064624266,0.042352478
