,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.871657754,0.717647059,0.772511848,0.835616438,0.819095477,0.772151899,0.795623688,0.798319328
2,0.849514563,0.734567901,0.802752294,0.793333333,0.825471698,0.762820513,0.794146105,0.798913043
3,0.844339623,0.756410256,0.824884793,0.781456954,0.834498834,0.768729642,0.801614238,0.807065217
4,0.879828326,0.746376812,0.854166667,0.786259542,0.866807611,0.765799257,0.816303434,0.830188679
5,0.784565916,0.81443299,0.93129771,0.54109589,0.851657941,0.650205761,0.750931851,0.791666667
6,0.849002849,0.732919255,0.873900293,0.69005848,0.861271676,0.710843373,0.786057525,0.8125
7,0.900568182,0.601626016,0.763855422,0.808743169,0.826597132,0.68997669,0.758286911,0.777591973
8,0.90872211,0.668067227,0.850094877,0.779411765,0.878431373,0.719457014,0.798944193,0.830369357
9,0.919928826,0.650684932,0.835218094,0.808510638,0.875529213,0.721062619,0.798295916,0.827868852
10,0.857791225,0.683168317,0.85520362,0.687707641,0.856495468,0.685430464,0.770962966,0.802904564
11,0.88028169,0.662234043,0.831117021,0.745508982,0.85499316,0.701408451,0.778200805,0.804788214
12,0.883292383,0.664864865,0.852906287,0.721407625,0.867833434,0.691983122,0.779908278,0.815033784
13,0.87517337,0.641666667,0.785803238,0.773869347,0.82808399,0.701594533,0.764839261,0.78184846
14,0.738479263,0.748677249,0.870923913,0.554901961,0.79925187,0.637387387,0.718319629,0.741573034
15,0.858176556,0.718309859,0.7875166,0.806324111,0.82132964,0.759776536,0.790553088,0.795075457
16,0.883900929,0.68718802,0.752305665,0.846311475,0.812811388,0.758494031,0.78565271,0.789093825
17,0.951318458,0.598666667,0.609090909,0.949260042,0.742676168,0.734260016,0.738468092,0.7385358
18,0.921686747,0.575163399,0.585459184,0.918580376,0.716068643,0.707395498,0.711732071,0.711797308
average,0.869901598,0.689037307,0.802167135,0.768242098,0.829939151,0.718820934,0.774380042,0.791951865
dev,0.049239516,0.062803175,0.087090103,0.104154514,0.043436934,0.040419768,0.029059278,0.032473958
