,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.836363636,0.777777778,0.646586345,0.907216495,0.729331823,0.837525493,0.783428658,0.796941376
2,0.814117647,0.762532982,0.657794677,0.879756469,0.7276551,0.816961131,0.772308115,0.781065089
3,0.859701493,0.741480611,0.566929134,0.930678466,0.683274021,0.825376063,0.754325042,0.774873524
4,0.815013405,0.74601227,0.594911937,0.898079764,0.687782805,0.815013405,0.751398105,0.767676768
5,0.762836186,0.805950841,0.675324675,0.865277778,0.71641791,0.834561286,0.775489598,0.791032149
6,0.70074813,0.885267275,0.761517615,0.849812265,0.72987013,0.867177522,0.798523826,0.821917808
7,0.778781038,0.841891892,0.746753247,0.86407767,0.762430939,0.85284052,0.80763573,0.818258664
8,0.799625468,0.817901235,0.783486239,0.832025118,0.791473587,0.824902724,0.808188155,0.80964467
9,0.817966903,0.791831357,0.686507937,0.886430678,0.746494067,0.836464857,0.791479462,0.801184433
10,0.875,0.763636364,0.666666667,0.91875,0.756756757,0.834042553,0.795399655,0.802698145
11,0.749379653,0.816666667,0.678651685,0.863143631,0.712264151,0.839262187,0.775763169,0.793744717
12,0.745928339,0.818393481,0.594805195,0.900128041,0.661849711,0.857317073,0.759583392,0.799313894
13,0.815864023,0.805054152,0.64,0.911444142,0.717310087,0.854952077,0.786131082,0.808277027
14,0.876865672,0.747562297,0.502136752,0.954356846,0.638586957,0.838396112,0.738491534,0.77665827
15,0.75,0.788071066,0.642398287,0.861303745,0.692041522,0.82306163,0.757551576,0.775252525
16,0.839622642,0.788329519,0.590707965,0.931081081,0.693506494,0.85377943,0.773642962,0.802013423
17,0.880398671,0.777901786,0.57112069,0.950886767,0.692810458,0.855739718,0.774275088,0.803675856
18,1,0.603478261,0.07505071,1,0.139622642,0.752711497,0.446167069,0.615838248
average,0.817678495,0.782207768,0.615630542,0.900247164,0.682193287,0.834449182,0.758321234,0.785559255
dev,0.068383051,0.057439473,0.152779345,0.042753537,0.140380497,0.02532129,0.080292237,0.045039054
