,precision_other,precision_rise,recall_other,recall_rise,f1_other,f1_rise,f1_macro,accuracy
1,0.878130217,0.69550173,0.749287749,0.846315789,0.808608762,0.763532764,0.786070763,0.7884452
2,0.860986547,0.733463035,0.807854137,0.80212766,0.83357453,0.766260163,0.799917346,0.805579036
3,0.932142857,0.650159744,0.704453441,0.914606742,0.802459646,0.760037348,0.781248497,0.783305228
4,0.944347826,0.619902121,0.699742268,0.922330097,0.803849001,0.741463415,0.772656208,0.776936027
5,0.968978102,0.542586751,0.646772229,0.952908587,0.775748722,0.691457286,0.733603004,0.740270728
6,0.973262032,0.527182867,0.655462185,0.955223881,0.783357245,0.67940552,0.731381383,0.741438356
7,0.890156919,0.651452282,0.787878788,0.803069054,0.835900871,0.719358534,0.777629702,0.792899408
8,0.822873082,0.756989247,0.839260313,0.734864301,0.830985915,0.745762712,0.788374314,0.796954315
9,0.823848238,0.795045045,0.86981402,0.730848861,0.846207376,0.761596548,0.803901962,0.813028765
10,0.789081886,0.815789474,0.900849858,0.645833333,0.841269841,0.720930233,0.781100037,0.797639123
11,0.865569273,0.724669604,0.834656085,0.770491803,0.84983165,0.746878547,0.798355098,0.811496196
12,0.914327917,0.670756646,0.793589744,0.849740933,0.849691146,0.749714286,0.799702716,0.812178388
13,0.933467742,0.559593023,0.604438642,0.921052632,0.733755943,0.696202532,0.714979237,0.716216216
14,0.89037037,0.67248062,0.780519481,0.824228029,0.83183391,0.740661686,0.786247798,0.795969773
15,0.871657754,0.725,0.843467012,0.768674699,0.857330703,0.74619883,0.801764767,0.817340067
16,0.884344147,0.703933747,0.814285714,0.805687204,0.847870183,0.751381215,0.799625699,0.811241611
17,0.869369369,0.672316384,0.768924303,0.804054054,0.816067653,0.732307692,0.774187673,0.781954887
18,0.873737374,0.637436762,0.707084469,0.834437086,0.781626506,0.722753346,0.752189926,0.755686605
average,0.888147314,0.675236616,0.767130024,0.827027486,0.818331645,0.735327925,0.776829785,0.785476663
dev,0.049719261,0.080054394,0.082257697,0.08337679,0.033125395,0.025617619,0.026712798,0.029148175
