,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.6919,0.9337,0.7913,0.893,0.7382,0.9129,0.8256,0.8693
2,0.7077,0.9136,0.7813,0.8776,0.7427,0.8952,0.819,0.8511
3,0.7549,0.8875,0.7375,0.8964,0.7461,0.8919,0.819,0.8484
4,0.8096,0.8878,0.7098,0.9322,0.7564,0.9095,0.833,0.868
5,0.773,0.9096,0.7226,0.9294,0.747,0.9194,0.8332,0.8777
6,0.76,0.911,0.7308,0.9227,0.7451,0.9168,0.831,0.8746
7,0.7912,0.9154,0.7531,0.9308,0.7716,0.923,0.8473,0.8849
8,0.7657,0.8829,0.7117,0.909,0.7377,0.8958,0.8167,0.8508
9,0.8253,0.7327,0.3593,0.9585,0.5007,0.8305,0.6656,0.747
10,0.8033,0.8357,0.5807,0.9375,0.6741,0.8837,0.7789,0.8285
11,0.8089,0.8876,0.7237,0.9273,0.7639,0.907,0.8355,0.8666
12,0.7701,0.9245,0.7778,0.9214,0.7739,0.923,0.8484,0.8851
13,0.7697,0.8861,0.7301,0.9057,0.7493,0.8958,0.8226,0.8528
14,0.7316,0.8647,0.7022,0.8808,0.7166,0.8727,0.7947,0.8243
15,0.7301,0.8733,0.6635,0.9044,0.6952,0.8886,0.7919,0.8368
16,0.7326,0.9111,0.7921,0.8805,0.7612,0.8955,0.8284,0.8546
17,0.7618,0.8733,0.7265,0.8924,0.7437,0.8828,0.8132,0.8391
18,0.685,0.8514,0.7183,0.8301,0.7013,0.8406,0.7709,0.7921
average,0.759577778,0.882327778,0.706238889,0.907205556,0.725816667,0.893594444,0.809716667,0.847316667
dev,0.040465418,0.045358037,0.099660926,0.029557073,0.062168739,0.025694208,0.041931166,0.034364418
