,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.7828,0.9487,0.8332,0.9303,0.8072,0.9394,0.8733,0.9078
2,0.7705,0.8897,0.7199,0.9133,0.7443,0.9013,0.8228,0.8576
3,0.8038,0.8769,0.754,0.905,0.7781,0.8907,0.8344,0.8535
4,0.8036,0.8886,0.7696,0.9072,0.7862,0.8978,0.842,0.8617
5,0.7967,0.9091,0.7795,0.9173,0.788,0.9132,0.8506,0.8768
6,0.7687,0.9297,0.8219,0.9049,0.7944,0.9171,0.8558,0.8819
7,0.8134,0.9315,0.8271,0.9253,0.8202,0.9284,0.8743,0.8975
8,0.8052,0.9034,0.776,0.9178,0.7903,0.9105,0.8504,0.8745
9,0.8332,0.7905,0.5945,0.9278,0.6939,0.8537,0.7738,0.802
10,0.834,0.8301,0.6687,0.924,0.7423,0.8745,0.8084,0.8312
11,0.8205,0.8783,0.7491,0.917,0.7832,0.8972,0.8402,0.8606
12,0.8217,0.9006,0.755,0.9312,0.787,0.9156,0.8513,0.8791
13,0.7806,0.8724,0.7515,0.8894,0.7657,0.8808,0.8233,0.842
14,0.6446,0.8335,0.727,0.7732,0.6833,0.8022,0.7427,0.7565
15,0.7335,0.9187,0.8299,0.8644,0.7787,0.8907,0.8347,0.8537
16,0.7407,0.9181,0.8344,0.8641,0.7848,0.8903,0.8375,0.8546
17,0.7963,0.8911,0.7739,0.9033,0.785,0.8972,0.8411,0.8609
18,0.8624,0.7411,0.3834,0.9665,0.5308,0.839,0.6849,0.7602
average,0.789566667,0.880666667,0.741588889,0.904555556,0.757966667,0.891088889,0.824527778,0.850672222
dev,0.048478243,0.05253531,0.108312288,0.040489421,0.06682327,0.032977299,0.047356095,0.041140016
