,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.772,0.826,0.1293,0.9908,0.2216,0.901,0.5613,0.8243
2,0.8176,0.8772,0.3833,0.981,0.5219,0.9262,0.7241,0.8721
3,0.7147,0.9423,0.6064,0.9637,0.6561,0.9529,0.8045,0.9171
4,0.6536,0.9607,0.6188,0.966,0.6357,0.9633,0.7995,0.9334
5,0.7739,0.9263,0.6546,0.9578,0.7093,0.9418,0.8255,0.903
6,0.7535,0.8886,0.62,0.9373,0.6803,0.9123,0.7963,0.8623
7,0.7247,0.9364,0.6415,0.9558,0.6806,0.946,0.8133,0.9076
8,0.7074,0.9393,0.6251,0.9573,0.6637,0.9482,0.806,0.9103
9,0.7107,0.9409,0.6073,0.962,0.6549,0.9513,0.8031,0.9147
10,0.7607,0.9226,0.5556,0.9681,0.6421,0.9448,0.7935,0.9043
11,0.7439,0.926,0.5749,0.9641,0.6486,0.9447,0.7966,0.9044
12,0.3394,0.9489,0.4159,0.9306,0.3738,0.9397,0.6567,0.8899
13,0.6877,0.9621,0.5391,0.9795,0.6044,0.9708,0.7876,0.9455
14,0.6882,0.9505,0.3926,0.985,0.5,0.9675,0.7337,0.9389
15,0.4854,0.9654,0.5837,0.9494,0.53,0.9574,0.7437,0.9218
16,0.6444,0.9324,0.1436,0.9933,0.2348,0.9619,0.5984,0.9275
17,0.7302,0.9486,0.3407,0.9897,0.4646,0.9687,0.7167,0.9409
18,0.8049,0.9275,0.33,0.9908,0.4681,0.9581,0.7131,0.9223
average,0.695161111,0.928983333,0.4868,0.9679,0.549472222,0.947588889,0.748533333,0.907794444
dev,0.11557002,0.034421851,0.167325512,0.01858054,0.14931953,0.018894969,0.076468994,0.030446143
