,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.2105,0.8183,0.0147,0.9877,0.0276,0.895,0.4613,0.8105
2,0.7798,0.8673,0.2835,0.9832,0.4158,0.9216,0.6687,0.8618
3,0.6459,0.9318,0.5086,0.9601,0.5691,0.9458,0.7574,0.9036
4,0.4211,0.9424,0.4544,0.9346,0.4371,0.9385,0.6878,0.8891
5,0.7101,0.8955,0.4972,0.955,0.5849,0.9243,0.7546,0.872
6,0.7071,0.8877,0.6156,0.9225,0.6582,0.9048,0.7815,0.851
7,0.6697,0.9316,0.6267,0.9427,0.6475,0.9371,0.7923,0.8933
8,0.7397,0.9288,0.5508,0.968,0.6314,0.948,0.7897,0.9088
9,0.7194,0.9114,0.4282,0.9724,0.5369,0.9409,0.7389,0.8952
10,0.7948,0.8774,0.2835,0.9859,0.4179,0.9285,0.6732,0.8726
11,0.7896,0.875,0.2953,0.9843,0.4298,0.9264,0.6781,0.8696
12,0.7563,0.9212,0.1731,0.9943,0.2817,0.9563,0.619,0.9177
13,0.6405,0.9448,0.3799,0.9803,0.4769,0.9622,0.7196,0.9295
14,1,0.918,0.0119,1,0.0236,0.9572,0.4904,0.9181
15,0.75,0.9166,0.0109,0.9997,0.0216,0.9563,0.489,0.9164
16,0,0.9157,0,0.9996,0,0.9558,0.4779,0.9153
17,0.5,0.9207,0.0652,0.994,0.1154,0.9559,0.5357,0.9161
18,0.3097,0.9462,0.4795,0.8954,0.3763,0.9201,0.6482,0.8584
average,0.619122222,0.908355556,0.3155,0.969983333,0.369538889,0.937483333,0.653516667,0.888833333
dev,0.243809307,0.032923462,0.221753812,0.029732419,0.234412806,0.019372395,0.115252328,0.031027521
