,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.5193,0.9271,0.6609,0.8758,0.5816,0.9007,0.7411,0.8395
2,0.8008,0.8912,0.3137,0.9863,0.4508,0.9363,0.6936,0.8859
3,0.6853,0.9335,0.5513,0.9613,0.611,0.9472,0.7791,0.907
4,0.6412,0.9579,0.6793,0.9504,0.6597,0.9541,0.8069,0.9192
5,0.7478,0.8975,0.5539,0.9544,0.6364,0.925,0.7807,0.8757
6,0.4388,0.9669,0.8961,0.7261,0.5891,0.8294,0.7092,0.7589
7,0.5254,0.9469,0.6987,0.895,0.5997,0.9202,0.76,0.867
8,0.6372,0.9546,0.7047,0.9393,0.6692,0.9469,0.808,0.9085
9,0.6877,0.9567,0.6517,0.963,0.6692,0.9599,0.8145,0.9284
10,0.645,0.9608,0.6693,0.9566,0.6569,0.9587,0.8078,0.9262
11,0.6625,0.947,0.5537,0.9658,0.6032,0.9563,0.7798,0.9213
12,0.6562,0.9409,0.5424,0.9625,0.5939,0.9516,0.7728,0.9135
13,0.7709,0.8602,0.4711,0.9588,0.5849,0.9068,0.7458,0.8478
14,0.7391,0.8618,0.6213,0.915,0.6751,0.8876,0.7813,0.8329
15,0.7256,0.861,0.4432,0.9537,0.5502,0.905,0.7276,0.8431
16,0.735,0.815,0.1473,0.9861,0.2454,0.8924,0.5689,0.8117
17,1,0.8062,0.0092,1,0.0182,0.8927,0.4555,0.8065
18,0.5659,0.8668,0.439,0.9155,0.4945,0.8905,0.6925,0.82
average,0.676872222,0.908444444,0.533711111,0.936977778,0.549388889,0.920072222,0.734727778,0.867394444
dev,0.124786315,0.05210221,0.211471021,0.061413196,0.167717283,0.034920074,0.091542069,0.049902487
