,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.5419,0.8877,0.4724,0.9126,0.5048,0.9,0.7024,0.8336
2,0.7936,0.9121,0.4676,0.9785,0.5885,0.9441,0.7663,0.9016
3,0.7033,0.9503,0.6175,0.9656,0.6576,0.9579,0.8078,0.9251
4,0.6504,0.9651,0.6894,0.9587,0.6693,0.9619,0.8156,0.9316
5,0.7554,0.9153,0.667,0.9434,0.7085,0.9291,0.8188,0.886
6,0.5332,0.9068,0.6504,0.8565,0.586,0.8809,0.7334,0.815
7,0.5137,0.9668,0.7816,0.8958,0.6199,0.93,0.7749,0.8817
8,0.6764,0.9572,0.7159,0.9489,0.6956,0.953,0.8243,0.9186
9,0.6869,0.9529,0.6661,0.957,0.6763,0.955,0.8156,0.9209
10,0.6858,0.9498,0.6073,0.9639,0.6442,0.9568,0.8005,0.9229
11,0.5581,0.9518,0.5828,0.947,0.5702,0.9494,0.7598,0.9095
12,0.5867,0.9392,0.4901,0.958,0.5341,0.9485,0.7413,0.9072
13,0.731,0.8429,0.5353,0.9268,0.6181,0.8828,0.7504,0.8207
14,0.8131,0.8427,0.577,0.9447,0.675,0.8908,0.7829,0.8365
15,0.7706,0.8992,0.5881,0.9545,0.667,0.9261,0.7966,0.879
16,0.7647,0.8878,0.4908,0.9639,0.5979,0.9243,0.7611,0.8725
17,0.8555,0.8745,0.3598,0.9866,0.5066,0.9271,0.7168,0.873
18,0.5618,0.932,0.6683,0.8971,0.6104,0.9142,0.7623,0.8594
average,0.676783333,0.918561111,0.590411111,0.942194444,0.618333333,0.92955,0.773933333,0.883044444
dev,0.106337345,0.03966381,0.105672702,0.032891094,0.061859937,0.026528436,0.036518231,0.037546649
