,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.8324,0.8534,0.2146,0.9906,0.3412,0.9169,0.6291,0.8525
2,0.7705,0.9113,0.4512,0.9767,0.5691,0.9429,0.756,0.8991
3,0.7608,0.9458,0.5761,0.9761,0.6557,0.9607,0.8082,0.9294
4,0.6403,0.955,0.6111,0.96,0.6254,0.9575,0.7914,0.9236
5,0.3898,0.9068,0.7283,0.6988,0.5078,0.7893,0.6486,0.7049
6,0.4273,0.9758,0.9324,0.6857,0.586,0.8054,0.6957,0.7353
7,0.46,0.9676,0.7997,0.8645,0.584,0.9131,0.7486,0.8563
8,0.6828,0.9531,0.6948,0.9506,0.6887,0.9518,0.8203,0.9166
9,0.7011,0.9494,0.6387,0.9614,0.6684,0.9554,0.8119,0.9214
10,0.6583,0.9474,0.583,0.9613,0.6184,0.9543,0.7863,0.9183
11,0.6527,0.95,0.5556,0.9662,0.6002,0.9581,0.7791,0.9241
12,0.6749,0.9545,0.6344,0.9617,0.654,0.958,0.806,0.9252
13,0.7798,0.8105,0.3989,0.958,0.5278,0.8781,0.7029,0.8062
14,0.8141,0.8309,0.5354,0.9492,0.646,0.8861,0.766,0.8277
15,0.8247,0.8767,0.4774,0.9734,0.6047,0.9225,0.7636,0.8704
16,0.9003,0.8594,0.3287,0.9912,0.4816,0.9206,0.7011,0.8623
17,0.8085,0.8682,0.3288,0.9827,0.4675,0.9219,0.6947,0.8638
18,0.5791,0.9,0.4826,0.9299,0.5265,0.9147,0.7206,0.8554
average,0.686522222,0.911988889,0.553983333,0.929888889,0.575166667,0.917072222,0.746116667,0.86625
dev,0.14572934,0.050967612,0.177332129,0.090932651,0.087333398,0.050284693,0.057272417,0.065161377
