,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.6931,0.8837,0.6361,0.9076,0.6634,0.8955,0.7794,0.8405
2,0.4123,0.9067,0.668,0.7722,0.5099,0.8341,0.672,0.7521
3,0.6143,0.8771,0.5055,0.9175,0.5547,0.8968,0.7257,0.8324
4,0.7953,0.8645,0.387,0.9752,0.5206,0.9165,0.7186,0.8578
5,0.751,0.8724,0.5786,0.9376,0.6536,0.9038,0.7787,0.8494
6,0.7842,0.8706,0.5815,0.9462,0.6678,0.9068,0.7873,0.8545
7,0.7065,0.9162,0.7014,0.9181,0.704,0.9172,0.8106,0.8706
8,0.6848,0.9085,0.6519,0.9201,0.6679,0.9143,0.7911,0.8637
9,0.664,0.9178,0.6587,0.9195,0.6614,0.9187,0.79,0.8688
10,0.6635,0.9271,0.6359,0.9348,0.6494,0.9309,0.7902,0.8846
11,0.6629,0.9076,0.555,0.9394,0.6042,0.9232,0.7637,0.8714
12,0.5607,0.8708,0.411,0.925,0.4743,0.8971,0.6857,0.8279
13,0.6144,0.8911,0.7086,0.8427,0.6581,0.8662,0.7622,0.8077
14,0.7204,0.7967,0.5239,0.9017,0.6066,0.846,0.7263,0.7786
15,0.704,0.8784,0.5828,0.9248,0.6377,0.901,0.7693,0.8445
16,0.8259,0.8866,0.5744,0.9649,0.6776,0.9241,0.8008,0.8771
17,0.742,0.9067,0.7119,0.9188,0.7266,0.9127,0.8197,0.8677
18,0.7116,0.9046,0.7094,0.9055,0.7105,0.9051,0.8078,0.857
average,0.683938889,0.888172222,0.598977778,0.915088889,0.630461111,0.900555556,0.765505556,0.844794444
dev,0.095018321,0.029666614,0.096859592,0.045243874,0.071872797,0.026434942,0.04282287,0.03489592
