,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,0.7474,0.832,0.4369,0.9497,0.5515,0.8869,0.7192,0.8194
2,0.5948,0.8986,0.6061,0.8943,0.6004,0.8965,0.7484,0.8355
3,0.6051,0.9055,0.6302,0.896,0.6174,0.9007,0.759,0.8423
4,0.5662,0.9257,0.6667,0.8904,0.6123,0.9077,0.76,0.8509
5,0.734,0.8697,0.6106,0.9215,0.6667,0.8949,0.7808,0.8402
6,0.7725,0.8399,0.5427,0.9376,0.6375,0.8861,0.7618,0.8266
7,0.6889,0.9147,0.6863,0.9157,0.6876,0.9152,0.8014,0.8666
8,0.6692,0.9148,0.6692,0.9148,0.6692,0.9148,0.792,0.8645
9,0.6653,0.9035,0.6092,0.9227,0.636,0.913,0.7745,0.8596
10,0.6435,0.9181,0.6123,0.9276,0.6275,0.9229,0.7752,0.8722
11,0.6889,0.8825,0.4306,0.9565,0.5299,0.918,0.724,0.8604
12,0.5311,0.8712,0.4531,0.9024,0.489,0.8865,0.6877,0.8143
13,0.6722,0.8639,0.7132,0.8396,0.6921,0.8515,0.7718,0.7997
14,0.5847,0.8204,0.7562,0.6746,0.6595,0.7404,0.6999,0.7054
15,0.7166,0.8323,0.5799,0.9009,0.641,0.8652,0.7531,0.804
16,0.7815,0.8404,0.6005,0.9261,0.6791,0.8812,0.7802,0.8266
17,0.6997,0.8549,0.6694,0.8715,0.6842,0.8631,0.7737,0.809
18,0.7124,0.8905,0.724,0.8847,0.7182,0.8876,0.8029,0.8393
average,0.670777778,0.876588889,0.61095,0.895922222,0.633283333,0.885122222,0.7592,0.829805556
dev,0.071340448,0.034120132,0.095114385,0.061981834,0.060143243,0.041325531,0.032685759,0.038241792
