,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.7008,0.8495,0.6692,0.8673,0.6846,0.8583,0.7715,0.8045
2,0.7846,0.8826,0.6948,0.9232,0.737,0.9025,0.8197,0.8577
3,0.7555,0.8668,0.6496,0.9156,0.6986,0.8905,0.7945,0.8394
4,0.7948,0.9079,0.7284,0.9344,0.7601,0.9209,0.8405,0.8811
5,0.7459,0.8069,0.5219,0.9183,0.6141,0.859,0.7366,0.7935
6,0.5947,0.8587,0.6,0.856,0.5973,0.8574,0.7274,0.7894
7,0.6013,0.884,0.4948,0.9214,0.5429,0.9023,0.7226,0.839
8,0.7246,0.8994,0.6024,0.9395,0.6579,0.919,0.7885,0.8691
9,0.611,0.925,0.6202,0.9223,0.6155,0.9236,0.7696,0.8726
10,0.6491,0.9207,0.6556,0.9186,0.6523,0.9196,0.786,0.8694
11,0.3345,0.9354,0.7891,0.6605,0.4699,0.7743,0.6221,0.6834
12,1,0.8267,0.0044,1,0.0087,0.9051,0.4569,0.8268
13,0.8377,0.7808,0.2817,0.9791,0.4216,0.8688,0.6452,0.7861
14,0.8033,0.7971,0.5197,0.9368,0.6311,0.8614,0.7462,0.7985
15,0.4916,0.856,0.7026,0.7089,0.5785,0.7755,0.677,0.707
16,0.7657,0.7679,0.2563,0.9691,0.384,0.8568,0.6204,0.7676
17,0.7403,0.8035,0.3664,0.9527,0.4902,0.8718,0.681,0.7951
18,0.6399,0.8708,0.6497,0.8659,0.6447,0.8684,0.7565,0.8079
average,0.698627778,0.857761111,0.544822222,0.899422222,0.566055556,0.874177778,0.720122222,0.81045
dev,0.145410238,0.051197991,0.200374398,0.086896155,0.173351459,0.043739463,0.092105429,0.054419636
