,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1
16,0.86,0,1,0,0.92,0,0.46,0.86
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
average,0.9922222222,0.9444444444,1,0.9444444444,0.9955555556,0.9444444444,0.97,0.9922222222
dev,0.03299831646,0.2357022604,0,0.2357022604,0.01885618083,0.2357022604,0.1272792206,0.03299831646
