,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,0.96,0,1,0,0.98,0,0.49,0.96
2,0.98,0,1,0,0.99,0,0.49,0.98
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
average,0.9945454545,0.8181818182,1,0.8181818182,0.9972727273,0.8181818182,0.9072727273,0.9945454545
dev,0.01293339581,0.4045199175,0,0.4045199175,0.006466697907,0.4045199175,0.2063051579,0.01293339581
