,precision_fall,precision_other,recall_fall,recall_other,f1_fall,f1_other,f1_macro,accuracy
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,0.85,0,1,0,0.92,0,0.46,0.85
11,0.86,0,1,0,0.92,0,0.46,0.86
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
average,0.9776923077,0.8461538462,1,0.8461538462,0.9876923077,0.8461538462,0.9169230769,0.9776923077
dev,0.05449064846,0.3755338081,0,0.3755338081,0.03004270465,0.3755338081,0.2027882564,0.05449064846
